"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","AVG","RC","TB","XBH","HBP","IBB","SH","SF","GIDP","Sl","CYC"
"Freddie Freeman","ATL","1B","1","CP DLT","31","","271","4.52","60","214",".341","64.8","137","37","3","7","0","0","6","2","0"
"Marcell Ozuna","(N/A)","OF","2","BART","30","","243","4.05","60","228",".338","64.6","145","32","0","3","0","1","3","0","0"
"Jose Ramirez","CLE","3B","3","Nunez","28","","243","4.19","58","219",".292","52.0","133","34","3","0","0","1","2","0","0"
"Fernando Tatis Jr.","SD","SS","4","MSBC","21","","238","4.03","59","224",".277","45.0","128","30","5","1","0","1","6","1","0"
"Manny Machado","SD","3B","5","Nunez","28","","236.5","3.94","60","224",".304","43.8","130","29","0","4","0","4","9","2","0"
"Trea Turner","WSH","SS","6","NT 4","27","","235","3.98","59","233",".335","51.5","137","31","2","0","0","2","5","1","0"
"Jose Abreu","CHW","1B","7","Ass","33","","231","3.85","60","240",".317","50.9","148","34","3","1","0","1","10","0","0"
"Mookie Betts","LAD","OF","8","NT 13","28","","227","4.13","55","219",".292","45.3","123","26","2","1","0","1","2","0","0"
"Juan Soto","WSH","OF","9","BFT","22","","222.5","4.73","47","154",".351","54.5","107","27","1","12","0","0","1","0","0"
"Bryce Harper","PHI","OF","10","Nunez","28","","219.5","3.78","58","190",".268","44.5","103","24","2","8","1","2","5","0","0"
"Mike Trout","LAA","OF","11","BART","29","","217.5","4.1","53","199",".281","49.2","120","28","3","4","0","4","1","0","0"
"Luke Voit","NYY","1B","12","VP","29","","208.5","3.72","56","213",".277","43.3","130","27","3","0","0","1","4","1","0"
"Ronald Acuna Jr.","ATL","OF","13","Nunez","22","","194","4.22","46","160",".250","39.9","93","25","4","2","0","0","3","0","0"
"Trevor Story","COL","SS","14","NCNF","28","","193.5","3.28","59","235",".289","41.5","122","28","0","1","0","0","5","0","0"
"Whit Merrifield","KC","OF","15","Luka","31","","192.5","3.21","60","248",".282","34.2","109","21","4","0","0","1","3","0","0"
"Kyle Tucker","HOU","OF","16","MBC","23","","191","3.29","58","209",".268","34.6","107","27","0","2","0","1","2","0","0"
"Mike Yastrzemski","SF","OF","17","MBC","30","","191","3.54","54","192",".297","45.3","109","28","3","2","0","0","2","0","0"
"Dansby Swanson","ATL","SS","18","Luka","26","","188.5","3.14","60","237",".274","40.3","110","25","4","0","0","1","0","0","0"
"Corey Seager","LAD","SS","19","Ass","26","","188","3.62","52","212",".307","41.6","124","28","1","0","0","2","8","0","0"
"DJ LeMahieu","(N/A)","2B","20","BART","32","","185.5","3.71","50","195",".364","49.0","115","22","2","0","0","1","3","0","0"
"Kyle Seager","SEA","3B","21","NT 4","33","","184","3.07","60","203",".241","33.0","88","21","7","3","0","6","4","1","0"
"Wil Myers","SD","OF","22","NT 13","30","","183","3.33","55","198",".288","43.7","120","31","2","0","0","0","0","2","0"
"Trent Grisham","SD","OF","23","DEAL","24","","182.5","3.09","59","215",".251","36.6","98","21","3","0","1","1","1","0","0"
"Kole Calhoun","ARI","OF","24","Ass","33","","181","3.35","54","190",".226","33.4","100","25","6","0","0","4","6","0","0"
