"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","AVG","RC","TB","XBH","HBP","IBB","SH","SF","GIDP","Sl","CYC"
"George Springer","(N/A)","OF","25","ZL","31","","180.5","3.54","51","189",".265","36.9","102","22","5","0","0","2","3","0","0"
"Brandon Lowe","TB","2B","26","VP","26","","180","3.21","56","193",".269","40.4","107","25","4","0","0","2","2","0","0"
"Michael Conforto","NYM","OF","27","MSBC","27","","180","3.33","54","202",".322","41.8","104","21","7","0","0","0","6","0","0"
"Cody Bellinger","LAD","OF","28","Ass","25","","179","3.2","56","213",".239","32.6","97","22","0","2","0","0","4","0","0"
"Cavan Biggio","TOR","2B","29","MBC","25","","178","3.02","59","220",".250","39.1","95","24","3","0","0","0","2","0","0"
"Eddie Rosario","(N/A)","OF","30","BFT","29","","177","3.11","57","210",".257","31.2","100","20","0","2","0","2","3","1","0"
"Starling Marte","MIA","OF","31","NT 4","32","","175","2.87","61","228",".281","32.2","98","21","9","1","0","1","5","0","0"
"Charlie Blackmon","COL","OF","32","BART","34","","174","2.95","59","221",".303","34.8","99","19","2","4","0","5","4","2","0"
"Didi Gregorius","PHI","SS","33","Ass","30","","174","2.9","60","215",".284","34.1","105","22","4","3","1","2","4","2","0"
"Nelson Cruz","(N/A)","UT","34","Ass","40","","174","3.28","53","185",".303","41.8","110","22","4","5","0","0","8","0","0"
"Anthony Rendon","LAA","3B","35","MBC","30","","173","3.33","52","189",".286","39.2","94","21","5","2","0","0","10","0","0"
"Xander Bogaerts","BOS","SS","36","NT 13","28","","172.5","3.08","56","203",".300","37.6","102","19","0","2","0","1","3","0","0"
"Francisco Lindor","CLE","SS","37","VP","27","","170.5","2.84","60","236",".258","31.1","98","21","4","2","0","2","8","0","0"
"Eloy Jimenez","CHW","OF","38","DEAL","24","","168","3.05","55","213",".296","38.4","119","28","0","0","0","1","4","0","0"
"Dominic Smith","NYM","1B,OF","39","BFT","25","","168","3.36","50","177",".316","41.8","109","32","5","0","0","3","2","1","0"
"Vladimir Guerrero Jr.","TOR","1B","40","DEAL","21","","167","2.78","60","221",".262","32.7","102","24","2","1","0","0","6","0","0"
"AJ Pollock","LAD","OF","41","MBC","33","","166.5","3.03","55","196",".276","31.5","111","25","0","1","0","2","6","0","0"
"Andrew McCutchen","PHI","OF","42","MBC","34","","166.5","2.92","57","217",".253","30.7","94","19","1","0","0","1","4","0","0"
"Lourdes Gurriel Jr.","TOR","OF","43","DEAL","27","","166","2.91","57","208",".308","35.8","111","25","0","0","0","2","7","0","0"
"Teoscar Hernandez","TOR","OF","44","NT 4","28","","166","3.32","50","190",".289","36.0","110","23","1","0","0","1","4","0","0"
"Randal Grichuk","TOR","OF","45","NT 4","29","","165.5","3.01","55","216",".273","30.6","104","21","0","1","0","2","5","0","0"
"Mark Canha","OAK","OF","46","DEAL","31","","164","2.78","59","191",".246","34.1","78","19","10","1","0","5","2","0","0"
"Christian Yelich","MIL","OF","47","NCNF","29","","163.5","2.82","58","200",".205","32.4","86","20","1","2","0","0","4","0","0"
"Adalberto Mondesi","KC","SS","48","NCNF","25","","162.5","2.75","59","219",".256","22.7","91","20","1","0","2","0","4","0","0"
"Christian Walker","ARI","1B","49","NT 13","29","","160.5","2.82","57","218",".271","32.2","100","26","3","0","0","3","6","0","0"
"Tim Anderson","CHW","SS","50","BFT","27","","160","3.27","49","208",".322","37.4","110","22","2","0","0","1","4","0","0"
"Tommy La Stella","(N/A)","2B","51","CP DLT","31","","160","2.91","55","196",".281","32.7","88","21","2","0","1","2","6","0","0"
"Kyle Lewis","SEA","OF","52","NT 4","25","","159.5","2.75","58","206",".262","33.5","90","14","0","0","0","2","5","0","0"
"Nick Castellanos","CIN","OF","53","BFT","28","","157.5","2.62","60","218",".225","30.0","106","27","4","1","0","1","5","1","0"
"Kevin Pillar","COL","OF","54","BART","31","","157.5","2.92","54","208",".288","30.8","96","21","2","1","0","0","4","1","0"
"Paul Goldschmidt","STL","1B","55","NT 4","33","","157","2.71","58","191",".304","39.6","89","19","1","0","0","1","4","0","0"
"Pete Alonso","NYM","1B","56","BART","26","","156.5","2.75","57","208",".231","33.7","102","22","6","4","0","1","4","0","0"
"Wilmer Flores","SF","UT","57","DEAL","29","","155.5","2.83","55","198",".268","30.7","102","24","1","1","0","1","5","0","0"
"Matt Olson","OAK","1B","58","CP DLT","26","","155","2.58","60","210",".195","29.5","89","19","1","2","0","0","2","2","0"
"Ian Happ","CHC","OF","59","DEAL","26","","154.5","2.71","57","198",".258","37.0","100","24","2","1","1","0","1","0","0"
"Carlos Santana","KC","1B","60","MSBC","34","","154","2.57","60","206",".199","27.7","72","15","1","1","0","1","5","0","0"
"Brandon Nimmo","NYM","OF","61","DEAL","27","","153.5","2.79","55","186",".280","39.2","90","19","6","0","0","0","1","0","0"
"Adam Duvall","(N/A)","OF","62","Luka","32","","153.5","2.69","57","190",".237","30.8","101","24","3","0","0","1","2","1","0"
"Luis Robert","CHW","OF","63","MSBC","23","","152","2.71","56","202",".233","25.8","88","19","1","0","0","2","4","0","0"
"Anthony Rizzo","CHC","1B","64","ZL","31","","152","2.62","58","203",".222","29.0","84","17","10","4","0","2","6","0","0"
"Eugenio Suarez","CIN","3B","65","NCNF","29","","151.5","2.66","57","198",".202","29.3","93","23","2","1","0","1","5","0","0"
"Chris Taylor","LAD","SS,OF","66","DEAL","30","","151.5","2.71","56","185",".270","32.5","88","20","2","0","1","0","3","0","0"
"Brandon Belt","SF","1B","67","MSBC","32","","151","2.96","51","149",".309","37.9","88","23","0","1","0","0","5","0","0"
"Maikel Franco","(N/A)","3B","68","NT 4","28","","150","2.5","60","223",".278","32.3","102","24","0","1","0","4","4","0","0"
"Jackie Bradley Jr.","(N/A)","OF","69","ZL","30","","150","2.73","55","191",".283","31.9","86","18","2","1","0","1","2","0","0"
"J.T. Realmuto","(N/A)","C","70","NT 13","29","","149","3.17","47","173",".266","29.8","85","17","6","0","0","0","3","0","0"
"Miguel Cabrera","DET","UT","71","MSBC","37","","149","2.61","57","204",".250","28.8","85","14","1","1","0","2","3","0","0"
"Jesus Aguilar","MIA","1B","72","Luka","30","","148.5","2.91","51","188",".277","29.9","86","18","1","0","0","4","5","0","0"
"Max Muncy","LAD","1B","73","NCNF","30","","147","2.53","58","203",".192","28.6","79","16","4","2","0","2","3","0","0"
"Robbie Grossman","OAK","OF","74","MSBC","31","","146.5","2.87","51","166",".241","28.8","80","22","5","2","0","0","1","0","0"
"Franmil Reyes","CLE","UT","75","DEAL","25","","146","2.47","59","211",".275","32.4","95","19","1","0","0","5","6","0","0"
"Aaron Hicks","NYY","OF","76","CP DLT","31","","145.5","2.69","54","169",".225","28.7","70","18","1","1","0","0","4","0","0"
"Jurickson Profar","SD","OF","77","MSBC","27","","145","2.59","56","180",".278","27.2","77","13","4","0","1","2","1","0","0"
"Alex Verdugo","BOS","OF","78","BFT","24","","142.5","2.69","53","201",".308","35.1","96","22","2","1","0","1","4","0","0"
"Joey Votto","CIN","1B","79","VP","37","","142.5","2.64","54","186",".226","30.6","83","19","0","1","0","0","5","0","0"
"Jeimer Candelario","DET","1B","80","BART","27","","142","2.73","52","185",".297","34.4","93","21","1","0","0","0","3","0","0"
"Alex Dickerson","SF","OF","81","BFT","30","","142","2.73","52","151",".298","31.1","87","21","2","2","0","1","5","0","0"
"Robinson Cano","NYM","2B","82","NCNF","38","","141.5","2.89","49","171",".316","29.9","93","19","1","1","0","1","7","0","0"
"Rhys Hoskins","PHI","1B","83","Luka","27","","141","3.44","41","151",".245","30.7","76","19","5","0","0","0","4","0","0"
"Jesse Winker","CIN","UT","84","BART","27","","140.5","2.6","54","149",".255","33.3","81","19","5","0","0","1","3","0","0"
"Rafael Devers","BOS","3B","85","VP","24","","140","2.46","57","232",".263","32.3","112","28","3","0","0","0","8","0","0"
"Cesar Hernandez","CLE","2B","86","BART","30","","138.5","2.39","58","233",".283","34.8","95","23","2","0","1","0","3","0","0"
"Salvador Perez","KC","C","87","BART","30","","137","3.7","37","150",".333","34.0","95","23","2","0","0","1","0","0","0"
"J.P. Crawford","SEA","SS","88","CP DLT","25","","137","2.58","53","204",".255","23.2","69","11","3","0","0","2","4","0","0"
"Willson Contreras","CHC","C","89","BFT","28","","136.5","2.39","57","189",".243","27.4","77","17","14","1","0","2","6","0","0"
"David Fletcher","LAA","SS","90","NT 13","26","","136.5","2.79","49","207",".319","32.8","88","16","0","0","1","2","4","0","0"
"Anthony Santander","BAL","OF","91","NCNF","26","","136.5","3.69","37","153",".261","26.8","88","25","2","3","0","0","2","0","0"
"Renato Nunez","(N/A)","1B","92","NCNF","26","","136.5","2.62","52","195",".256","30.9","96","22","3","0","0","1","4","0","0"
"Hanser Alberto","(N/A)","2B","93","NT 13","28","","136.5","2.53","54","219",".283","24.4","86","18","3","0","2","2","6","0","0"
"Asdrubal Cabrera","WSH","1B","94","MSBC","35","","136","2.62","52","190",".242","24.9","85","20","0","0","0","4","6","0","0"
"Max Kepler","MIN","OF","95","NT 4","27","","134","2.79","48","171",".228","25.7","75","18","2","0","0","1","1","0","0"
"Gio Urshela","NYY","3B","96","MSBC","29","","134","3.12","43","151",".298","26.3","74","17","1","0","0","4","6","1","0"
"Michael Brantley","(N/A)","UT","97","ZL","33","","134","2.91","46","170",".300","29.7","81","20","0","0","0","0","3","0","0"
"David Peralta","ARI","OF","98","NT 4","33","","133.5","2.47","54","203",".300","29.3","88","16","0","0","0","2","4","0","0"
"Jean Segura","PHI","2B,3B","99","ZL","30","","133","2.46","54","192",".266","26.8","81","14","1","2","1","0","6","0","0"
"Eric Hosmer","SD","1B","100","BFT","31","","133","3.5","38","143",".287","24.2","74","15","2","0","0","2","3","1","0"
"Brian Anderson","MIA","3B","101","BFT","27","","132","2.24","59","200",".255","33.6","93","19","6","1","0","1","2","0","0"
"Jake Cronenworth","SD","2B","102","Nunez","26","","131.5","2.44","54","172",".285","28.5","82","22","1","0","0","1","4","1","0"
"Nick Solak","TEX","OF","103","Nunez","25","","130","2.24","58","209",".268","22.9","72","12","2","0","0","4","6","0","0"
"Kyle Schwarber","(N/A)","OF","104","MSBC","27","","129.5","2.19","59","191",".188","24.6","75","17","3","1","0","0","3","1","0"
"Travis d'Arnaud","ATL","C","105","ZL","31","","129","2.93","44","165",".321","31.7","88","17","2","0","0","1","8","0","0"
"Yuli Gurriel","HOU","1B","106","ZL","36","","127.5","2.24","57","211",".232","20.6","81","19","2","0","0","5","6","0","0"
"Nolan Arenado","COL","3B","107","ZL","29","","127","2.65","48","182",".253","22.1","79","17","0","3","0","4","7","0","0"
"Nick Ahmed","ARI","SS","108","BFT","30","","127","2.23","57","199",".266","26.5","80","16","0","0","0","0","3","0","0"
"J.D. Martinez","BOS","UT","109","VP","33","","126.5","2.34","54","211",".213","23.3","82","23","2","3","0","2","6","1","0"
"Austin Nola","SD","C","110","BART","30","","126.5","2.64","48","161",".273","27.4","76","17","3","1","0","2","3","0","0"
"Dylan Moore","SEA","OF","111","VP","28","","125.5","3.3","38","137",".255","22.3","68","17","8","0","0","0","4","0","0"
"Clint Frazier","NYY","OF","112","Ass","26","","125.5","3.22","39","131",".267","26.9","67","15","3","0","0","1","5","0","0"
"Jason Heyward","CHC","OF","113","ZL","31","","125.5","2.51","50","147",".265","29.0","67","14","2","1","0","2","1","0","0"
"Raimel Tapia","COL","OF","114","NCNF","26","","125","2.45","51","184",".321","26.9","74","11","2","0","1","3","3","0","0"
"Jeff McNeil","NYM","OF","115","ZL","28","","124.5","2.39","52","183",".311","31.8","83","18","3","2","0","3","3","0","0"
"Christian Vazquez","BOS","C","116","Nunez","30","","124.5","2.65","47","173",".283","24.7","79","16","0","0","0","0","6","1","0"
"Victor Reyes","DET","OF","117","Luka","26","","124.5","2.18","57","202",".277","23.5","79","13","2","0","0","0","4","0","0"
"Evan Longoria","SF","3B","118","BFT","35","","124.5","2.35","53","193",".254","20.8","82","18","2","0","0","3","10","0","0"
"Keston Hiura","MIL","2B","119","VP","24","","124","2.1","59","217",".212","24.9","89","17","11","2","0","2","7","0","0"
"Will Smith","LAD","C","120","ZL","25","","124","3.35","37","114",".289","27.6","66","17","2","1","0","1","2","0","0"
"Ramon Laureano","OAK","OF","121","VP","26","","124","2.3","54","183",".213","23.1","67","15","12","0","0","3","7","0","0"
"Marcus Semien","(N/A)","SS","122","NT 13","30","","124","2.34","53","211",".223","25.0","79","17","0","0","0","0","3","0","0"
"Colin Moran","PIT","1B","123","BART","28","","123","2.37","52","178",".247","25.1","84","20","2","0","0","1","9","0","0"
"Adam Frazier","PIT","2B","124","NT 4","29","","122","2.1","58","209",".230","21.9","76","14","3","0","1","0","3","0","0"
"Mitch Moreland","SD","1B","125","FA","35","","121.5","2.89","42","136",".265","26.9","75","19","1","2","0","0","0","0","0"
"Isiah Kiner-Falefa","TEX","3B","126","NCNF","25","","121","2.09","58","211",".280","23.1","78","10","2","0","0","1","6","0","0"
"Justin Turner","(N/A)","3B","127","BART","36","","120","2.86","42","150",".307","29.2","69","14","6","0","0","1","2","0","0"
"Rio Ruiz","BAL","3B","128","Nunez","26","","120","2.22","54","185",".222","21.2","79","20","0","1","1","1","4","0","0"
"Alex Bregman","HOU","3B","129","Luka","26","","118","2.81","42","153",".242","25.6","69","19","2","1","0","1","2","0","0"
"Yasmani Grandal","CHW","C","130","MSBC","32","","117.5","2.55","46","161",".230","25.1","68","15","1","0","0","2","4","0","0"
"J.D. Davis","NYM","3B","131","BFT","27","","117.5","2.1","56","190",".247","28.1","74","15","7","1","0","1","8","0","0"
"Joey Gallo","TEX","OF","132","Luka","27","","117.5","2.06","57","193",".181","24.4","73","18","4","2","0","0","0","0","0"
"Alec Bohm","PHI","3B","133","NT 13","24","","117","2.66","44","160",".338","30.4","77","15","2","0","0","2","4","0","0"
"Corey Dickerson","MIA","OF","134","DEAL","31","","115.5","2.22","52","194",".258","23.0","78","13","0","1","0","0","5","0","0"
"Carlos Correa","HOU","SS","135","MSBC","26","","115","1.98","58","201",".264","25.1","77","14","3","2","0","1","4","0","0"
"Jorge Polanco","MIN","SS","136","ZL","27","","115","2.09","55","209",".258","20.3","74","12","1","0","2","1","7","0","0"
"Joey Wendle","TB","2B,3B","137","DEAL","30","","115","2.3","50","168",".286","25.0","73","15","5","1","0","1","1","0","0"
"Tommy Edman","STL","3B,OF","138","DEAL","25","","114.5","2.08","55","204",".250","22.3","75","13","5","0","0","2","5","0","0"
"Hunter Dozier","KC","1B,OF","139","NT 4","29","","114.5","2.6","44","158",".228","22.7","62","12","1","0","0","0","3","0","0"
"Jonathan Schoop","DET","2B","140","BFT","29","","114.5","2.6","44","162",".278","22.3","77","14","4","0","0","2","8","1","0"
"Shohei Ohtani","LAA","UT","141","Luka","26","","114","2.48","46","153",".190","16.6","56","13","0","0","0","0","3","0","0"
"Kolten Wong","(N/A)","2B","142","CP DLT","30","","114","2.15","53","181",".265","21.6","59","7","4","1","2","1","1","0","0"
"Miguel Rojas","MIA","SS","143","BFT","31","","114","2.85","40","125",".304","25.0","62","15","2","2","0","0","1","0","0"
"Brandon Crawford","SF","SS","144","BFT","33","","113.5","2.1","54","172",".256","25.4","80","20","4","2","0","2","3","1","0"
"Jose Iglesias","LAA","SS","145","BART","30","","113.5","2.91","39","142",".373","31.8","79","20","4","0","0","1","1","0","0"
"Josh Reddick","(N/A)","OF","146","Ass","33","","113","2.02","56","188",".245","22.2","71","16","0","0","0","1","5","0","0"
"Miguel Sano","MIN","1B","147","NCNF","27","","110.5","2.08","53","186",".204","24.7","89","25","1","1","0","0","3","0","0"
"Orlando Arcia","MIL","SS","148","FA","26","","110.5","1.87","59","173",".260","20.1","72","16","1","0","0","1","10","0","0"
"Jose Altuve","HOU","2B","149","NCNF","30","","110","2.29","48","192",".219","17.5","66","14","1","0","0","0","5","0","0"
"Willy Adames","TB","SS","150","VP","25","","110","2.04","54","185",".259","29.0","89","24","0","0","0","0","4","1","0"
"Yoan Moncada","CHW","3B","151","Ass","25","","109.5","2.11","52","200",".225","26.7","77","17","1","0","0","2","1","0","0"
"Byron Buxton","MIN","OF","152","CP DLT","26","","109.5","2.81","39","130",".254","18.5","75","16","1","0","0","2","2","0","0"
"Donovan Solano","SF","2B","153","DEAL","33","","108.5","2.01","54","190",".326","32.3","88","19","2","0","0","1","2","0","0"
"Mike Moustakas","CIN","2B","154","NT 13","32","","107","2.43","44","139",".230","21.2","65","17","4","1","0","2","5","0","0"
"Austin Riley","ATL","3B","155","Luka","23","","107","2.1","51","188",".239","22.7","78","16","1","1","0","1","5","0","0"
"Ketel Marte","ARI","2B","156","NT 13","27","","106.5","2.37","45","181",".287","24.1","74","17","4","0","0","3","2","0","0"
"Yoshi Tsutsugo","TB","UT","157","MBC","29","","106.5","2.09","51","157",".197","19.7","62","14","1","1","0","1","5","0","0"
"Rowdy Tellez","TOR","1B","158","FA","25","","105.5","3.01","35","113",".283","21.1","61","13","1","1","0","2","1","0","0"
"Brad Miller","STL","UT","159","FA","31","","105.5","2.2","48","142",".232","24.5","64","16","3","1","0","1","2","0","0"
"Jared Walsh","LAA","1B","160","ZL","27","","105","3.28","32","99",".293","21.3","64","15","1","0","0","3","0","1","0"
"Kevin Kiermaier","TB","OF","161","FA","30","","103.5","2.11","49","138",".217","16.7","50","11","1","1","0","0","2","0","0"
"Manuel Margot","TB","OF","162","DEAL","26","","101.5","2.16","47","145",".269","16.5","51","10","0","0","0","1","0","0","0"
"Josh Bell","PIT","1B","163","Nunez","28","","100.5","1.76","57","195",".226","22.2","71","11","2","4","0","4","3","0","0"
"Adam Eaton","CHW","OF","164","Luka","32","","100.5","2.45","41","159",".226","16.4","61","16","1","1","4","0","4","0","0"
"Bryan Reynolds","PIT","OF","165","FA","25","","100","1.82","55","185",".189","18.7","66","15","1","0","0","0","2","0","0"
"Jon Berti","MIA","2B","166","BFT","30","","99","2.54","39","120",".258","17.7","42","7","3","0","2","1","1","0","0"
"Ty France","SEA","UT","167","BART","26","","98","2.28","43","141",".305","24.3","66","14","3","0","0","0","3","0","0"
"Bo Bichette","TOR","SS","168","Luka","22","","97.5","3.36","29","123",".301","19.5","63","15","0","1","0","0","2","0","0"
"Jorge Soler","KC","UT","169","BART","28","","97.5","2.27","43","149",".228","22.1","66","16","3","0","0","1","3","0","0"
"Ryan Braun","MIL","OF","170","FA","37","","97.5","2.5","39","129",".233","15.5","63","16","2","0","0","1","6","0","0"
"Brian Goodwin","(N/A)","OF","171","MSBC","30","","97.5","1.95","50","144",".215","18.9","60","16","1","1","0","2","1","0","0"
"Brett Gardner","NYY","OF","172","FA","37","","97","1.98","49","130",".223","19.5","51","11","1","0","0","1","0","0","0"
"Mauricio Dubon","SF","OF","173","NCNF","26","","96.5","1.79","54","157",".274","19.3","61","9","1","0","1","2","4","0","0"
"Garrett Cooper","MIA","UT","174","BFT","29","","96.5","2.84","34","120",".283","20.0","60","14","2","0","0","0","5","0","0"
"Aaron Judge","NYY","OF","175","Ass","28","","96","3.43","28","101",".257","16.7","56","12","2","0","0","0","5","0","0"
"Matt Chapman","OAK","3B","176","CP DLT","27","","94.5","2.55","37","142",".232","20.6","76","21","1","0","0","1","2","0","0"
"Avisail Garcia","MIL","OF","177","NT 13","29","","94.5","1.78","53","181",".238","20.2","59","12","6","2","0","0","2","0","0"
"Shogo Akiyama","CIN","OF","178","MBC","32","","94","1.74","54","155",".245","17.8","46","7","2","0","0","0","1","0","0"
"Martin Maldonado","HOU","C","179","Ass","34","","94","2","47","135",".215","19.4","51","10","1","0","2","0","2","0","0"
"Stephen Piscotty","OAK","OF","180","CP DLT","29","","94","2.09","45","159",".226","14.7","57","11","1","0","1","1","4","2","0"
"Justin Upton","LAA","OF","181","FA","33","","93","2.21","42","147",".204","16.1","62","14","7","0","0","1","6","0","0"
"Albert Pujols","LAA","1B","182","MSBC","40","","93","2.38","39","152",".224","15.3","60","14","1","1","0","1","4","1","0"
"Javier Baez","CHC","SS","183","NT 4","28","","92.5","1.57","59","222",".203","16.9","80","18","4","0","0","2","8","0","0"
"Willi Castro","DET","SS","184","FA","23","","92.5","2.57","36","129",".349","27.2","71","12","1","0","1","2","0","0","0"
"Ryan Mountcastle","BAL","OF","185","ZL","23","","91.5","2.61","35","126",".333","23.7","62","10","1","0","0","2","2","0","0"
"Eduardo Escobar","ARI","3B","186","ZL","31","","91.5","1.69","54","203",".212","17.7","68","14","2","4","0","2","5","0","0"
"Garrett Hampson","COL","2B,OF","187","Nunez","26","","91","1.72","53","167",".234","18.3","64","12","0","0","3","1","1","0","0"
"Pedro Severino","BAL","C","188","DEAL","27","","90.5","1.89","48","160",".250","20.2","62","11","1","0","1","0","3","0","0"
"Austin Slater","SF","UT","189","BART","28","","90","2.9","31","85",".282","17.9","43","8","2","0","1","0","2","0","0"
"Sean Murphy","OAK","C","190","Luka","26","","89.5","2.08","43","116",".233","19.0","53","12","0","0","0","0","6","0","0"
"Tyler O'Neill","STL","OF","191","CP DLT","25","","89.5","1.79","50","139",".173","12.8","50","12","2","0","0","1","3","0","0"
"Jedd Gyorko","MIL","1B","192","FA","32","","89.5","2.13","42","117",".248","19.1","59","12","1","1","0","2","4","0","0"
"Andres Gimenez","NYM","SS","193","VP","22","","89","1.82","49","118",".263","16.4","47","8","6","0","0","1","0","0","0"
"Cedric Mullins","BAL","OF","194","FA","26","","89","1.85","48","140",".271","17.5","57","10","1","0","4","0","0","0","0"
"Edwin Encarnacion","CHW","UT","195","Nunez","37","","89","2.02","44","159",".157","15.2","60","15","4","0","0","1","3","0","0"
"Jonathan Villar","TOR","2B,SS","196","BART","29","","88","1.69","52","185",".232","15.6","54","7","0","1","1","2","2","0","0"
"Pat Valaika","BAL","SS","197","FA","28","","88","1.69","52","141",".277","19.3","67","12","0","0","1","0","3","0","0"
"Ozzie Albies","ATL","2B","198","DEAL","23","","87.5","3.02","29","118",".271","16.9","55","11","1","0","0","0","0","0","0"
"Freddy Galvis","CIN","SS","199","FA","31","","87.5","1.86","47","141",".220","16.7","57","12","5","0","0","0","5","0","0"
"Ryan McMahon","COL","2B","200","Ass","26","","87","1.67","52","172",".215","20.8","72","16","2","0","0","1","4","0","0"
"David Bote","CHC","3B","201","FA","27","","87","1.93","45","125",".200","14.7","51","11","2","0","0","1","6","0","0"
"Marwin Gonzalez","MIN","2B,3B","202","Ass","31","","87","1.64","53","175",".211","17.2","56","9","3","0","0","4","1","0","0"
"Matt Carpenter","STL","3B","203","FA","35","","86","1.72","50","140",".186","16.4","44","10","6","1","0","0","1","1","0"
"Travis Shaw","(N/A)","3B","204","FA","30","","86","1.72","50","163",".239","20.2","67","16","0","0","0","1","4","0","0"
"Ke'Bryan Hayes","PIT","3B","205","NT 4","23","","85.5","3.56","24","85",".376","25.3","58","14","1","2","0","0","2","0","0"
"Evan White","SEA","1B","206","VP","24","","84.5","1.56","54","182",".176","15.5","63","15","1","0","0","1","3","0","0"
"Matt Kemp","COL","UT","207","FA","36","","84.5","1.97","43","117",".239","15.2","49","9","0","1","0","0","5","0","0"
"Yandy Diaz","TB","3B","208","FA","29","","84","2.47","34","114",".307","19.2","44","5","1","1","0","0","6","0","0"
"Joc Pederson","(N/A)","OF","209","MBC","28","","83.5","1.94","43","121",".190","12.9","48","11","5","0","0","0","5","0","0"
"Danny Jansen","TOR","C","210","CP DLT","25","","83.5","1.94","43","120",".183","14.7","43","9","2","0","3","1","1","1","0"
"Victor Robles","WSH","OF","211","VP","23","","83","1.6","52","168",".220","16.5","53","9","9","0","1","2","0","0","0"
"Hunter Renfroe","BOS","OF","212","MBC","28","","82.5","1.96","42","122",".156","12.0","48","13","2","0","0","1","3","0","0"
"Paul DeJong","STL","SS","213","Nunez","27","","81.5","1.81","45","152",".250","17.3","53","9","1","0","0","4","4","1","0"
"Niko Goodrum","DET","SS","214","FA","28","","81.5","1.9","43","158",".184","13.6","53","13","0","0","0","3","4","0","0"
"Kurt Suzuki","(N/A)","C","215","FA","37","","81.5","2.47","33","111",".270","15.2","44","10","4","0","0","3","4","0","0"
"Daniel Vogelbach","MIL","UT","216","FA","27","","81","2.08","39","115",".209","15.5","45","9","1","1","0","0","3","0","0"
"Tim Lopes","SEA","OF","217","VP","26","","81","1.76","46","143",".238","14.3","52","14","2","0","0","0","2","0","0"
"Nick Markakis","ATL","OF","218","VP","37","","80","2.16","37","130",".254","14.5","51","16","1","0","0","0","5","0","0"
"Shin-Soo Choo","TEX","OF","219","FA","38","","79.5","2.41","33","110",".236","14.3","44","8","2","1","0","2","1","0","0"
