"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"Bryce Harper","PHI","OF","1","Nunez","28","","614","4.01","153","521","118","172","38","1","42","99","124","131","6","4",".330",".460",".649","1.109"
"Paul Goldschmidt","STL","1B","2","NT 4","33","","611.5","3.85","159","567","103","182","38","2","33","110","118","151","21","5",".321",".435",".570","1.005"
"Josh Donaldson","MIN","3B","3","MBC","35","","582.5","3.69","158","620","122","184","41","2","41","123","73","133","6","0",".297",".371",".568",".939"
"Jose Bautista","(N/A)","OF","4","FA","40","","582.5","3.81","153","543","108","136","29","3","40","114","110","106","8","2",".250",".377",".536",".913"
"Mike Trout","LAA","OF","5","BART","29","","573","3.6","159","575","104","172","32","6","41","90","92","158","11","7",".299",".402",".590",".991"
"AJ Pollock","LAD","OF","6","MBC","33","","571.5","3.64","157","609","111","192","39","6","20","76","53","89","39","7",".315",".367",".498",".865"
"Joey Votto","CIN","1B","7","VP","37","","552","3.49","158","545","95","171","33","2","29","80","143","135","11","3",".314",".459",".541","1.000"
"Anthony Rizzo","CHC","1B","8","ZL","31","","551.5","3.45","160","586","94","163","38","3","31","101","78","105","17","6",".278",".387",".512",".899"
"Nolan Arenado","COL","3B","9","ZL","29","","532","3.39","157","616","97","177","43","4","42","130","34","110","2","5",".287",".323",".575",".898"
"Edwin Encarnacion","CHW","UT","10","Nunez","37","","531.5","3.64","146","528","94","146","31","0","39","111","77","98","3","2",".277",".372",".557",".929"
"Chris Davis","BAL","1B","11","FA","34","","521","3.26","160","573","100","150","31","0","47","117","84","208","2","3",".262",".361",".562",".923"
"Manny Machado","SD","3B","12","Nunez","28","","520.5","3.21","162","633","102","181","30","1","35","86","70","111","20","8",".286",".359",".502",".861"
"Andrew McCutchen","PHI","OF","13","MBC","34","","518.5","3.3","157","566","91","165","36","3","23","96","98","133","11","5",".292",".401",".488",".889"
"Jose Altuve","HOU","2B","14","NCNF","30","","515","3.34","154","638","86","200","40","4","15","66","33","67","38","13",".313",".353",".459",".812"
"Yoenis Cespedes","NYM","UT","15","FA","35","","514","3.23","159","633","101","184","42","6","35","105","33","141","7","5",".291",".328",".542",".870"
"Charlie Blackmon","COL","OF","16","BART","34","","503.5","3.21","157","614","93","176","31","9","17","58","46","112","43","13",".287",".347",".450",".797"
"Nelson Cruz","(N/A)","UT","17","Ass","40","","494.5","3.25","152","590","90","178","22","1","44","93","59","164","3","2",".302",".369",".566",".936"
"Mookie Betts","LAD","OF","18","NT 13","28","","493","3.4","145","597","92","174","42","8","18","77","46","82","21","6",".291",".341",".479",".820"
"Albert Pujols","LAA","1B","19","MSBC","40","","486","3.1","157","602","85","147","22","0","40","95","50","72","5","3",".244",".307",".480",".787"
"J.D. Martinez","BOS","UT","20","VP","33","","482.5","3.05","158","596","93","168","33","2","38","102","53","178","3","2",".282",".344",".535",".879"
"Eric Hosmer","SD","1B","21","BFT","31","","480.5","3.04","158","599","98","178","33","5","18","93","61","108","7","3",".297",".363",".459",".822"
"Dee Strange-Gordon","SEA","2B,OF","22","FA","32","","475.5","3.28","145","615","88","205","24","8","4","46","25","91","58","20",".333",".359",".418",".776"
"Michael Brantley","(N/A)","UT","23","ZL","33","","467.5","3.41","137","529","68","164","45","0","15","84","60","51","15","1",".310",".379",".480",".859"
"Lorenzo Cain","MIL","OF","24","FA","34","","466","3.33","140","551","101","169","34","6","16","72","37","98","28","6",".307",".361",".477",".838"
"Ryan Braun","MIL","OF","25","FA","37","","465.5","3.33","140","506","87","144","27","3","25","84","54","115","24","4",".285",".356",".498",".854"
"Matt Carpenter","STL","3B","26","FA","35","","463.5","3.01","154","574","101","156","44","3","28","84","81","151","4","3",".272",".365",".505",".871"
"Buster Posey","SF","C","27","FA","33","","462.5","3.08","150","557","74","177","28","0","19","95","56","52","2","0",".318",".379",".470",".849"
"Brian Dozier","(N/A)","2B","28","FA","33","","455.5","2.9","157","628","101","148","39","4","28","77","61","148","12","4",".236",".307",".444",".751"
"Starling Marte","MIA","OF","29","NT 4","32","","453","2.96","153","579","84","166","30","2","19","81","27","123","30","10",".287",".337",".444",".780"
"Carlos Gonzalez","(N/A)","OF","30","FA","35","","453","2.96","153","554","87","150","25","2","40","97","46","133","2","0",".271",".325",".540",".864"
"Jose Abreu","CHW","1B","31","Ass","33","","451.5","2.93","154","613","88","178","34","3","30","101","39","140","0","0",".290",".347",".502",".850"
"Todd Frazier","NYM","3B","32","FA","34","","446","2.84","157","619","82","158","43","1","35","89","44","137","13","8",".255",".309",".498",".806"
"Adam Eaton","CHW","OF","33","Luka","32","","442.5","2.89","153","610","98","175","28","9","14","56","58","131","18","8",".287",".361",".431",".792"
"Shin-Soo Choo","TEX","OF","34","FA","38","","441","2.96","149","555","94","153","32","3","22","82","76","147","4","2",".276",".375",".463",".838"
"Adrian Gonzalez","(N/A)","1B","35","FA","38","","439.5","2.82","156","571","76","157","33","0","28","90","62","107","0","1",".275",".350",".480",".830"
"Carlos Santana","KC","1B","36","MSBC","34","","438.5","2.85","154","550","72","127","29","2","19","85","108","122","11","3",".231",".357",".395",".752"
"Justin Upton","LAA","OF","37","FA","33","","434.5","2.9","150","542","85","136","26","3","26","81","68","159","19","5",".251",".336",".454",".790"
"Dexter Fowler","STL","OF","38","FA","34","","434.5","2.79","156","596","102","149","29","8","17","46","84","154","20","7",".250",".346",".411",".757"
"Kris Bryant","CHC","3B","39","Ass","28","","433","2.87","151","559","87","154","31","5","26","99","77","199","13","4",".275",".369",".488",".858"
"Ian Kinsler","(N/A)","2B","40","FA","38","","432.5","2.81","154","624","94","185","35","7","11","73","43","80","10","6",".296",".342",".428",".770"
"Jason Heyward","CHC","OF","41","ZL","31","","431","2.8","154","547","79","160","33","4","13","60","56","90","23","3",".293",".359",".439",".797"
"Kyle Seager","SEA","3B","42","NT 4","33","","427.5","2.66","161","623","85","166","37","0","26","74","54","98","6","6",".266",".328",".451",".779"
"Brett Gardner","NYY","OF","43","FA","37","","427.5","2.83","151","571","94","148","26","3","16","66","68","135","20","5",".259",".343",".399",".742"
"Robinson Cano","NYM","2B","44","NCNF","38","","422","2.71","156","624","82","179","34","1","21","79","43","107","2","6",".287",".334",".446",".779"
"Matt Kemp","COL","UT","45","FA","36","","420","2.73","154","596","80","158","31","3","23","100","39","147","12","2",".265",".312",".443",".755"
"Ben Revere","(N/A)","OF","46","FA","32","","415","2.73","152","592","84","181","22","7","2","45","32","64","31","7",".306",".342",".377",".719"
"Jason Kipnis","CHC","2B","47","FA","33","","411","2.91","141","565","86","171","43","7","9","52","57","107","12","8",".303",".372",".451",".823"
"Jay Bruce","PHI","OF","48","FA","33","","409.5","2.61","157","580","72","131","35","4","26","87","58","145","9","5",".226",".294",".434",".729"
"Josh Reddick","(N/A)","OF","49","Ass","33","","406.5","2.73","149","526","67","143","25","4","20","77","49","65","10","2",".272",".333",".449",".781"
