"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"Xander Bogaerts","BOS","SS","50","NT 13","28","","404","2.59","156","613","84","196","35","3","7","81","32","101","10","2",".320",".355",".421",".776"
"Mike Moustakas","CIN","2B","51","NT 13","32","","402.5","2.74","147","549","73","156","34","1","22","82","43","76","1","2",".284",".348",".470",".817"
"Miguel Cabrera","DET","UT","52","MSBC","37","","400.5","3.37","119","429","64","145","28","1","18","76","77","82","1","1",".338",".440",".534",".974"
"Kevin Pillar","COL","OF","53","BART","31","","400","2.52","159","586","76","163","31","2","12","56","28","85","25","4",".278",".314",".399",".713"
"Brandon Phillips","(N/A)","2B","54","FA","39","","400","2.7","148","588","69","173","19","2","12","70","27","68","23","3",".294",".328",".395",".723"
"Adam Lind","(N/A)","1B","55","FA","37","","398.5","2.67","149","502","72","139","32","0","20","87","66","100","0","0",".277",".360",".460",".820"
"Gregory Polanco","PIT","OF","56","FA","29","","394","2.58","153","593","83","152","35","6","9","52","55","121","27","10",".256",".320",".381",".701"
"Kole Calhoun","ARI","OF","57","Ass","33","","392.5","2.47","159","630","78","161","23","2","26","83","45","164","4","1",".256",".308",".422",".731"
"Adam Jones","ARI","OF","58","FA","35","","392","2.86","137","546","74","147","25","3","27","82","24","102","3","1",".269",".308",".474",".782"
"DJ LeMahieu","(N/A)","2B","59","BART","32","","390","2.6","150","564","85","170","21","5","6","61","50","107","23","3",".301",".358",".388",".746"
"Gerardo Parra","WSH","OF","60","FA","33","","389.5","2.51","155","547","83","159","36","5","14","51","28","92","14","4",".291",".328",".452",".780"
"Nick Markakis","ATL","OF","61","VP","37","","388","2.49","156","612","73","181","38","1","3","53","70","83","2","1",".296",".370",".376",".746"
"Melky Cabrera","NYM","OF","62","FA","36","","388","2.46","158","629","70","172","36","2","12","77","40","88","3","0",".273",".314",".394",".709"
"David Peralta","ARI","OF","63","NT 4","33","","386.5","2.59","149","462","61","144","26","10","17","78","44","107","9","4",".312",".371",".522",".893"
"Evan Longoria","SF","3B","64","BFT","35","","386","2.41","160","604","74","163","35","1","21","73","51","132","3","1",".270",".328",".435",".764"
"Evan Gattis","(N/A)","C","65","FA","34","","386","2.52","153","566","66","139","20","11","27","88","30","119","0","1",".246",".285",".463",".748"
"Logan Forsythe","MIA","2B","66","FA","33","","383.5","2.51","153","540","69","152","33","2","17","68","55","111","9","4",".281",".359",".444",".804"
"Matt Duffy","NYY","3B","67","FA","29","","379.5","2.55","149","573","77","169","28","6","12","77","30","96","12","0",".295",".334",".428",".762"
"Trevor Plouffe","(N/A)","3B","68","FA","34","","379","2.49","152","573","74","140","35","4","22","86","50","124","2","1",".244",".307",".435",".742"
"Brandon Belt","SF","1B","69","MSBC","32","","368.5","2.69","137","492","73","138","33","5","18","68","56","147","9","3",".280",".356",".478",".834"
"Ben Zobrist","(N/A)","2B","70","FA","39","","368.5","2.92","126","467","76","129","36","3","13","56","62","56","3","4",".276",".359",".450",".809"
"Lucas Duda","(N/A)","1B","71","FA","34","","367","2.72","135","471","67","115","33","0","27","73","66","138","0","2",".244",".352",".486",".838"
"Ender Inciarte","ATL","OF","72","FA","30","","361","2.73","132","524","73","159","27","5","6","45","26","58","21","10",".303",".338",".408",".747"
"Brian McCann","(N/A)","C","73","FA","36","","360","2.67","135","465","68","108","15","1","26","94","52","97","0","0",".232",".320",".437",".756"
"Neil Walker","PHI","2B","74","FA","35","","359","2.38","151","543","69","146","32","3","16","71","44","110","4","1",".269",".328",".427",".756"
"Russell Martin","(N/A)","C","75","FA","37","","359","2.78","129","441","76","106","23","2","23","77","53","106","4","5",".240",".329",".458",".787"
"Elvis Andrus","TEX","SS","76","FA","32","","358","2.24","160","596","69","154","34","2","7","62","46","78","25","9",".258",".309",".357",".667"
"Yunel Escobar","(N/A)","3B","77","FA","38","","357","2.57","139","535","75","168","25","1","9","56","45","70","2","2",".314",".375",".415",".790"
"Jhonny Peralta","(N/A)","3B,SS","78","FA","38","","356","2.3","155","579","64","159","26","1","17","71","50","111","1","4",".275",".334",".411",".745"
"Brandon Crawford","SF","SS","79","BFT","33","","354","2.48","143","507","65","130","33","4","21","84","39","119","6","4",".256",".321",".462",".782"
"Billy Burns","(N/A)","OF","80","FA","31","","350.5","2.8","125","520","70","153","18","9","5","42","26","81","26","8",".294",".334",".392",".726"
"Cameron Maybin","CHC","OF","81","FA","33","","345.5","2.45","141","505","65","135","18","2","10","59","45","102","23","6",".267",".327",".370",".697"
"Daniel Murphy","COL","1B","82","BART","35","","344","2.65","130","499","56","140","38","2","14","73","31","38","2","2",".281",".322",".449",".770"
"Yangervis Solarte","ATL","3B","83","FA","33","","340","2.24","152","526","63","142","33","4","14","63","34","56","1","0",".270",".320",".428",".748"
"Kolten Wong","(N/A)","2B","84","CP DLT","30","","339","2.26","150","557","71","146","28","4","11","61","36","95","15","8",".262",".321",".386",".707"
"Mitch Moreland","SD","1B","85","FA","35","","336.5","2.55","132","471","51","131","27","0","23","85","32","112","1","0",".278",".330",".482",".812"
"Freddie Freeman","ATL","1B","86","CP DLT","31","","332.5","2.82","118","416","62","115","27","0","18","66","56","98","3","1",".276",".370",".471",".841"
"Joc Pederson","(N/A)","OF","87","MBC","28","","332.5","2.2","151","480","67","101","19","1","26","54","92","170","4","7",".210",".346",".417",".763"
"Chris Coghlan","(N/A)","OF","88","FA","35","","332.5","2.25","148","440","64","110","25","6","16","41","58","94","11","2",".250",".341",".443",".784"
"Christian Yelich","MIL","OF","89","NCNF","29","","330.5","2.62","126","476","63","143","30","2","7","44","47","101","16","5",".300",".366",".416",".782"
"Stephen Vogt","ARI","C","90","FA","36","","324.5","2.39","136","445","58","116","21","3","18","71","56","97","0","2",".261",".341",".443",".783"
"Alexei Ramirez","SD","SS","91","FA","39","","323.5","2.1","154","583","54","145","33","0","10","62","31","68","17","7",".249",".285",".357",".642"
"Carlos Correa","HOU","SS","92","MSBC","26","","321.5","3.25","99","387","52","108","22","1","22","68","40","78","14","4",".279",".345",".512",".857"
"Delino DeShields","(N/A)","OF","93","FA","28","","321","2.65","121","425","83","111","22","10","2","37","53","101","25","8",".261",".344",".374",".718"
"Alcides Escobar","(N/A)","SS","94","FA","34","","319.5","2.16","148","612","76","157","20","5","3","47","26","75","17","5",".257",".293",".320",".614"
"Asdrubal Cabrera","WSH","1B","95","MSBC","35","","319","2.23","143","505","66","134","28","5","15","58","36","107","6","3",".265",".315",".430",".744"
"Kevin Kiermaier","TB","OF","96","FA","30","","317.5","2.1","151","505","62","133","25","12","10","40","24","95","18","5",".263",".298",".420",".718"
"Salvador Perez","KC","C","97","BART","30","","316","2.23","142","531","52","138","25","0","21","70","13","82","1","0",".260",".280",".426",".706"
"Mark Trumbo","(N/A)","UT","98","FA","34","","314","2.21","142","508","62","133","23","3","22","64","36","132","0","0",".262",".310",".449",".759"
"Mark Canha","OAK","OF","99","DEAL","31","","310","2.5","124","441","61","112","22","3","16","70","33","96","7","2",".254",".315",".426",".742"
"Billy Hamilton","CHC","OF","100","FA","30","","308","2.7","114","412","56","93","8","3","4","28","28","75","57","8",".226",".274",".289",".563"
"Erick Aybar","(N/A)","SS","101","FA","36","","306.5","1.96","156","597","74","161","30","1","3","44","25","73","15","6",".270",".301",".338",".639"
"Avisail Garcia","MIL","OF","102","NT 13","29","","304.5","2.06","148","553","66","142","17","2","13","59","36","141","7","7",".257",".309",".365",".675"
"Jimmy Rollins","(N/A)","SS","103","FA","42","","304","2.11","144","517","71","116","24","3","13","41","44","86","12","8",".224",".285",".358",".643"
"George Springer","(N/A)","OF","104","ZL","31","","303.5","2.98","102","388","59","107","19","2","16","41","50","109","16","4",".276",".367",".459",".826"
"Khris Davis","OAK","UT","105","Ass","32","","303.5","2.51","121","392","54","97","16","2","27","66","44","122","6","2",".247",".323",".505",".828"
"Odubel Herrera","PHI","OF","106","FA","28","","301.5","2.05","147","495","64","147","30","3","8","41","28","129","16","8",".297",".344",".418",".762"
"Justin Turner","(N/A)","3B","107","BART","36","","299","2.37","126","385","55","113","26","1","16","60","36","71","5","2",".294",".370",".491",".861"
"Carlos Gomez","(N/A)","OF","108","FA","35","","299","2.6","115","435","61","111","29","1","12","56","31","101","17","9",".255",".314",".409",".724"
"Derek Norris","(N/A)","C","109","FA","31","","297.5","2.02","147","515","65","129","33","2","14","62","35","131","4","1",".250",".305",".404",".709"
"Andrelton Simmons","(N/A)","SS","110","CP DLT","31","","297","2.02","147","535","60","142","23","2","4","44","39","48","5","3",".265",".321",".338",".660"
"Howie Kendrick","WSH","UT","111","FA","37","","297","2.54","117","464","64","137","22","2","9","54","27","82","6","2",".295",".336",".409",".746"
"Luis Valbuena","(N/A)","3B","112","FA","35","","296","2.24","132","434","62","97","18","0","25","56","50","106","1","0",".224",".310",".438",".748"
"Logan Morrison","MIL","UT","113","FA","33","","292.5","2","146","457","47","103","15","3","17","54","47","81","8","4",".225",".302",".383",".685"
"Jacoby Ellsbury","(N/A)","OF","114","FA","37","","292.5","2.64","111","452","66","116","15","2","7","33","35","86","21","9",".257",".318",".345",".663"
"Joe Panik","TOR","2B","115","FA","30","","291.5","2.92","100","382","59","119","27","2","8","37","38","42","3","2",".312",".378",".455",".833"
"Chase Headley","(N/A)","3B","116","FA","36","","291","1.87","156","580","74","150","29","1","11","62","51","135","0","2",".259",".324",".369",".693"
"Danny Valencia","(N/A)","1B,3B","117","FA","36","","289.5","2.76","105","345","59","100","23","1","18","66","29","80","2","2",".290",".345",".519",".864"
"Anthony Gose","CLE","OF","118","FA","30","","289","2.06","140","485","73","123","24","8","5","26","45","145","23","11",".254",".321",".367",".688"
"Jace Peterson","(N/A)","OF","119","FA","30","","287.5","1.89","152","528","55","126","23","5","6","52","56","120","12","10",".239",".314",".335",".649"
"Didi Gregorius","PHI","SS","120","Ass","30","","287","1.85","155","525","57","139","24","2","9","56","33","85","5","3",".265",".318",".370",".688"
"Austin Jackson","(N/A)","OF","121","FA","33","","286.5","2.11","136","491","56","131","25","3","9","48","29","126","17","10",".267",".311",".385",".696"
"Francisco Lindor","CLE","SS","122","VP","27","","286","2.89","99","390","50","122","22","4","12","51","27","69","12","2",".313",".353",".482",".835"
"Nick Castellanos","CIN","OF","123","BFT","28","","284.5","1.85","154","549","42","140","33","6","15","73","39","152","0","3",".255",".303",".419",".721"
"Justin Bour","LAA","1B","124","FA","32","","283.5","2.2","129","409","42","107","20","0","23","73","34","101","0","0",".262",".321",".479",".800"
"Pedro Alvarez","(N/A)","1B","125","FA","33","","283.5","1.89","150","437","60","106","18","0","27","77","48","131","2","0",".243",".318",".469",".787"
"Eddie Rosario","(N/A)","OF","126","BFT","29","","282","2.31","122","453","60","121","18","15","13","50","15","118","11","6",".267",".289",".459",".748"
"Rougned Odor","TEX","2B","127","FA","26","","281.5","2.35","120","426","54","111","21","9","16","61","23","79","6","7",".261",".316",".465",".781"
"Jung Ho Kang","MIL","3B","128","FA","33","","281","2.23","126","421","60","121","24","2","15","58","28","99","5","4",".287",".355",".461",".816"
"Ian Desmond","COL","OF","129","FA","35","","280","1.79","156","583","69","136","27","2","19","62","45","187","13","5",".233",".290",".384",".674"
"Jean Segura","PHI","2B,3B","130","ZL","30","","276.5","1.95","142","560","57","144","16","5","6","50","13","93","25","6",".257",".281",".336",".616"
"Hanley Ramirez","CLE","1B","131","FA","36","","274.5","2.61","105","401","59","100","12","1","19","53","21","71","6","3",".249",".291",".426",".717"
"Brett Lawrie","(N/A)","2B","132","FA","30","","273.5","1.84","149","562","64","146","29","3","16","60","28","144","5","2",".260",".299",".407",".706"
"Giancarlo Stanton","NYY","UT","133","VP","31","","272.5","3.68","74","279","47","74","12","1","27","67","34","95","4","2",".265",".346",".606",".952"
"Wilmer Flores","SF","UT","134","DEAL","29","","272.5","1.99","137","483","55","127","22","0","16","59","19","63","0","1",".263",".295",".408",".703"
"Freddy Galvis","CIN","SS","135","FA","31","","271","1.79","151","559","63","147","14","5","7","50","30","103","10","1",".263",".302",".343",".645"
"Francisco Cervelli","MIA","C","136","FA","34","","271","2.08","130","451","56","133","17","5","7","43","46","94","1","1",".295",".370",".401",".771"
"Brock Holt","WSH","3B","137","FA","32","","270","2.09","129","454","56","127","27","6","2","45","46","97","8","1",".280",".349",".379",".727"
"Seth Smith","(N/A)","OF","138","FA","38","","268.5","1.97","136","395","54","98","31","5","12","42","47","99","0","0",".248",".330",".443",".773"
"Eduardo Escobar","ARI","3B","139","ZL","31","","266","2.09","127","409","48","107","31","4","12","58","28","86","2","3",".262",".309",".445",".754"
"Starlin Castro","WSH","2B","140","MBC","30","","266","1.76","151","547","52","145","23","2","11","69","21","91","5","5",".265",".296",".375",".671"
"Brandon Moss","(N/A)","1B","141","FA","37","","265.5","1.83","145","469","47","106","24","2","19","58","49","148","0","1",".226",".304",".407",".711"
"Ryan Zimmerman","WSH","1B","142","FA","36","","265","2.79","95","346","43","86","25","1","16","73","33","79","1","0",".249",".308",".465",".773"
"J.T. Realmuto","(N/A)","C","143","NT 13","29","","264","2.1","126","441","49","114","21","7","10","47","19","70","8","4",".259",".290",".406",".696"
"Angel Pagan","SF","OF","144","FA","39","","264","1.98","133","512","55","134","21","3","3","37","32","93","12","4",".262",".303",".332",".635"
"Marcus Semien","(N/A)","SS","145","NT 13","30","","263.5","1.7","155","556","65","143","23","7","15","45","42","132","11","5",".257",".310",".405",".715"
"Michael A. Taylor","KC","OF","146","FA","29","","263.5","1.91","138","472","49","108","15","2","14","63","35","158","16","3",".229",".282",".358",".640"
"A.J. Pierzynski","ATL","C","147","FA","43","","262","2.32","113","407","38","122","24","1","9","49","19","37","0","2",".300",".339",".430",".769"
"Dustin Pedroia","BOS","2B","148","FA","37","","261.5","2.81","93","381","46","111","19","1","12","42","38","51","2","2",".291",".356",".441",".797"
"Yadier Molina","STL","C","149","NT 4","38","","260.5","1.92","136","488","34","132","23","2","4","61","32","59","3","1",".270",".310",".350",".660"
"Adeiny Hechavarria","ATL","2B","150","FA","31","","259","1.99","130","470","54","132","17","6","5","48","23","78","7","2",".281",".315",".374",".689"
"Brad Miller","STL","UT","151","FA","31","","255.5","1.77","144","438","44","113","22","4","11","46","47","101","13","4",".258",".329",".402",".730"
"Alex Gordon","KC","OF","152","FA","36","","255","2.45","104","354","40","96","18","0","13","48","49","92","2","5",".271",".377",".432",".809"
"Chris Colabello","TOR","1B","153","FA","37","","253.5","2.51","101","333","55","107","19","1","15","54","22","96","2","0",".321",".367",".520",".886"
"Johnny Giavotella","CHW","2B","154","FA","33","","253.5","1.97","129","453","51","123","25","5","4","49","32","59","2","1",".272",".318",".375",".694"
"Rajai Davis","(N/A)","OF","155","FA","40","","252.5","2.25","112","341","55","88","16","11","8","30","22","76","18","8",".258",".306",".440",".746"
"Chris Carter","(N/A)","1B","156","FA","33","","251.5","1.95","129","391","50","78","17","0","24","64","57","151","1","2",".199",".307",".427",".734"
"Norichika Aoki","(N/A)","OF","157","FA","38","","251.5","2.7","93","355","42","102","12","3","5","26","30","25","14","5",".287",".353",".380",".733"
"Gregor Blanco","(N/A)","OF","158","FA","36","","251.5","2.19","115","327","59","95","19","3","5","26","40","59","13","5",".291",".368",".413",".781"
"Cesar Hernandez","CLE","2B","159","BART","30","","251","1.98","127","405","57","110","20","4","1","35","40","86","19","5",".272",".339",".348",".687"
"Addison Russell","(N/A)","SS","160","FA","26","","250","1.76","142","475","60","115","29","1","13","54","42","149","4","3",".242",".307",".389",".696"
"Yasmani Grandal","CHW","C","161","MSBC","32","","247","2.15","115","355","43","83","12","0","16","47","65","92","0","1",".234",".353",".403",".756"
"Aaron Hicks","NYY","OF","162","CP DLT","31","","247","2.55","97","352","48","90","11","3","11","33","34","66","13","3",".256",".323",".398",".721"
"Marcell Ozuna","(N/A)","OF","163","BART","30","","245.5","2","123","459","47","119","27","0","10","44","30","110","2","3",".259",".308",".383",".691"
"Chris Owings","COL","2B","164","FA","29","","244.5","1.66","147","515","59","117","27","5","4","43","26","144","16","4",".227",".264",".322",".587"
"Steven Souza Jr.","(N/A)","OF","165","FA","31","","244.5","2.22","110","373","59","84","15","1","16","40","46","144","12","6",".225",".318",".399",".717"
"Randal Grichuk","TOR","OF","166","NT 4","29","","244","2.37","103","323","49","89","23","7","17","47","22","110","4","2",".276",".329",".548",".877"
"Miguel Sano","MIN","1B","167","NCNF","27","","242","3.02","80","279","46","75","17","1","18","52","53","119","1","1",".269",".385",".530",".916"
"Chris Young","(N/A)","OF","168","FA","37","","238","1.7","140","318","53","80","20","1","14","42","30","73","3","1",".252",".320",".453",".773"
"Wilson Ramos","NYM","C","169","MBC","33","","237.5","1.86","128","475","41","109","16","0","15","68","21","101","0","0",".229",".258",".358",".616"
"David Murphy","(N/A)","OF","170","FA","39","","236","1.79","132","361","38","102","18","1","10","50","20","49","0","2",".283",".318",".421",".739"
"Yonder Alonso","SD","1B","171","FA","33","","233.5","2.27","103","354","50","100","18","1","5","31","42","48","2","5",".282",".361",".381",".742"
"Danny Espinosa","(N/A)","2B","172","FA","33","","233","1.97","118","367","59","88","21","1","13","37","33","106","5","2",".240",".311",".409",".719"
"Juan Lagares","(N/A)","OF","173","FA","31","","230.5","1.61","143","441","47","114","16","5","6","41","16","87","7","3",".259",".289",".358",".647"
"Maikel Franco","(N/A)","3B","174","NT 4","28","","230","2.88","80","304","45","85","22","1","14","50","26","52","1","0",".280",".343",".497",".840"
"Jonathan Lucroy","PHI","C","175","FA","34","","229.5","2.23","103","371","51","98","20","3","7","43","36","64","1","0",".264",".326",".391",".717"
"Jedd Gyorko","MIL","1B","176","FA","32","","228","1.78","128","421","34","104","15","0","16","57","27","107","0","1",".247",".297",".397",".694"
"Jose Iglesias","LAA","SS","177","BART","30","","227","1.89","120","416","44","125","17","3","2","23","25","44","11","8",".300",".347",".370",".717"
"Josh Harrison","WSH","2B","178","FA","33","","227","1.99","114","418","57","120","29","1","4","28","19","71","10","8",".287",".327",".390",".717"
"C.J. Cron","DET","1B","179","FA","30","","226.5","2","113","378","37","99","17","1","16","51","17","82","3","1",".262",".300",".439",".739"
"Alejandro De Aza","(N/A)","OF","180","FA","36","","224.5","1.97","114","325","51","85","17","7","7","35","31","84","7","5",".262",".333",".422",".755"
"Pablo Sandoval","ATL","UT","181","FA","34","","224","1.78","126","470","43","115","25","1","10","47","25","73","0","0",".245",".292",".366",".658"
"Jake Marisnick","NYM","OF","182","FA","29","","222","1.67","133","339","46","80","15","4","9","36","18","105","24","9",".236",".281",".383",".665"
"Welington Castillo","WSH","C","183","FA","33","","222","2.02","110","342","42","81","15","1","19","57","25","92","0","0",".237",".296",".453",".750"
"Justin Smoak","SF","1B","184","FA","34","","221","1.67","132","296","44","67","16","1","18","59","29","86","0","0",".226",".299",".470",".768"
"Kurt Suzuki","(N/A)","C","185","FA","37","","219","1.67","131","433","36","104","17","0","5","50","29","59","0","0",".240",".296",".314",".610"
"Ryan Goins","(N/A)","UT","186","FA","32","","216","1.69","128","376","52","94","16","4","5","45","39","83","2","1",".250",".318",".354",".672"
"Ben Paulsen","(N/A)","1B","187","FA","33","","215","1.85","116","325","42","90","19","4","11","49","23","92","1","2",".277",".326",".462",".787"
"Juan Uribe","CLE","3B","188","FA","41","","214","1.8","119","360","40","91","17","0","14","43","34","80","2","0",".253",".320",".417",".737"
"Michael Bourn","ARI","OF","189","FA","37","","213.5","1.51","141","425","39","101","15","2","0","30","46","107","17","7",".238",".310",".282",".592"
"Clint Robinson","WSH","1B","190","FA","35","","212.5","1.69","126","309","44","84","15","1","10","34","37","52","0","0",".272",".358",".424",".782"
"Jorge Soler","KC","UT","191","BART","28","","209","2.07","101","366","39","96","18","1","10","47","32","121","3","1",".262",".324",".399",".723"
"Miguel Montero","(N/A)","C","192","FA","37","","208.5","1.85","113","347","36","86","11","0","15","53","49","103","1","1",".248",".345",".409",".754"
"Yasmany Tomas","ARI","OF","193","FA","30","","206","1.75","118","406","40","111","19","3","9","48","17","110","5","2",".273",".305",".401",".707"
"Nick Ahmed","ARI","SS","194","BFT","30","","205","1.53","134","421","49","95","17","6","9","34","29","81","4","5",".226",".275",".359",".634"
"Jimmy Paredes","(N/A)","2B,OF","195","FA","32","","204.5","1.97","104","363","46","100","17","2","10","42","19","111","4","4",".275",".310",".416",".726"
"Alex Rios","(N/A)","OF","196","FA","39","","204","1.94","105","385","40","98","22","2","4","32","15","67","9","0",".255",".287",".353",".640"
"Kyle Schwarber","(N/A)","OF","197","MSBC","27","","203.5","2.95","69","232","52","57","6","1","16","43","36","77","3","3",".246",".355",".487",".842"
"Marwin Gonzalez","MIN","2B,3B","198","Ass","31","","202.5","1.69","120","344","44","96","18","1","12","34","16","74","4","5",".279",".317",".442",".759"
