"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","IP","W%","QS","BS","WP","HB","IBB","1B","2B","3B","HR","HR/9","K/9","BB/9","BR/9","BAA"
"Jack Flaherty","STL","SP","40","MSBC","25","","187","6.68","28","151",".471","10","0","6","11","3","70","17","1","20","1.19","10.85","3.52","10.61",".199"
"Brad Hand","CLE","RP","41","Ass","30","","186.5","2.7","69","72",".286","0","7","2","9","2","27","16","1","8","1.00","13.25","3.50","11.13",".198"
"Felipe Vazquez","(N/A)","RP","42","FA","29","","185.5","2.65","70","70",".667","0","5","3","1","2","47","12","0","4","0.51","11.44","3.09","11.31",".232"
"Andrew Heaney","LAA","SP","43","NT 13","29","","179.5","5.98","30","180",".474","17","0","9","8","0","110","31","3","27","1.35","9.00","2.25","11.20",".248"
"Trevor Williams","(N/A)","SP","44","VP","28","","176.67","5.7","31","170.2",".583","17","0","4","4","3","95","33","3","15","0.79","6.64","2.90","10.81",".231"
"Jhoulys Chacin","ATL","SP","45","FA","32","","175.67","5.02","35","192.2",".652","12","0","5","11","3","98","32","5","18","0.84","7.29","3.32","10.98",".220"
"Kyle Gibson","TEX","SP","46","FA","33","","172.17","5.38","32","196.2",".435","18","0","8","4","2","121","30","3","23","1.05","8.19","3.62","11.90",".241"
"Kenley Jansen","LAD","RP","47","Ass","33","","171.17","2.48","69","71.2",".167","0","4","0","2","1","32","8","1","13","1.63","10.30","2.13","9.17",".201"
"Rich Hill","MIN","SP","48","FA","40","","171.17","6.85","25","132.2",".688","10","0","2","8","3","62","23","3","20","1.36","10.18","2.78","10.65",".219"
"Stephen Strasburg","WSH","SP","49","ZL","32","","171","7.77","22","130",".588","13","0","5","8","2","74","23","3","18","1.25","10.80","2.63","11.35",".240"
"Cole Hamels","ATL","SP","50","FA","36","","170.67","5.33","32","190.2",".429","16","0","7","19","0","113","29","5","29","1.37","8.87","3.07","12.27",".246"
"Kirby Yates","(N/A)","RP","51","Ass","33","","170.5","2.62","65","63",".625","0","1","2","4","0","31","4","0","6","0.86","12.86","2.43","8.86",".181"
"Anibal Sanchez","WSH","SP","52","FA","36","","170.17","6.81","25","136.2",".538","12","0","4","4","0","68","21","2","15","0.99","8.89","2.77","10.01",".213"
"Julio Teheran","LAA","SP","53","FA","29","","165.67","5.34","31","175.2",".500","17","0","2","9","3","67","25","4","26","1.33","8.30","4.30","11.02",".196"
"Sean Newcomb","ATL","SP","54","FA","27","","165","5.32","31","164",".571","16","0","4","1","1","94","21","4","18","0.99","8.78","4.45","12.02",".226"
"Wade Davis","(N/A)","RP","55","FA","35","","164.83","2.39","69","65.1",".333","0","6","6","2","0","25","7","3","8","1.10","10.74","3.58","9.78",".185"
"Ross Stripling","TOR","SP","56","FA","31","","162.5","4.92","33","122",".571","9","0","3","1","2","77","27","1","18","1.33","10.03","1.62","10.77",".257"
