"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"C.J. Cron","DET","1B","89","FA","30","","360","2.57","140","501","68","127","28","1","30","74","37","145","1","2",".253",".323",".493",".816"
"Josh Bell","PIT","1B","90","Nunez","28","","359","2.43","148","501","74","131","31","4","12","62","77","104","2","5",".261",".357",".411",".768"
"Jose Abreu","CHW","1B","91","Ass","33","","358","2.8","128","499","68","132","36","1","22","78","37","109","2","0",".265",".325",".473",".798"
"Corey Dickerson","MIA","OF","92","DEAL","31","","356","2.64","135","504","65","151","35","7","13","55","21","80","8","3",".300",".330",".474",".804"
"Ben Zobrist","(N/A)","2B","93","FA","39","","355","2.55","139","455","67","139","28","3","9","58","55","60","3","4",".305",".378",".440",".817"
"Chris Taylor","LAD","SS,OF","94","DEAL","30","","350.5","2.26","155","536","85","136","35","8","17","63","55","178","9","6",".254",".331",".444",".775"
"Odubel Herrera","PHI","OF","95","FA","28","","350.5","2.37","148","550","64","140","19","3","22","71","38","122","5","2",".255",".310",".420",".730"
"Jason Kipnis","CHC","2B","96","FA","33","","349.5","2.38","147","530","65","122","28","1","18","75","60","112","7","1",".230",".315",".389",".704"
"Joey Wendle","TB","2B,3B","97","DEAL","30","","346.5","2.49","139","487","62","146","33","6","7","61","37","96","16","4",".300",".354",".435",".789"
"Adam Jones","ARI","OF","98","FA","35","","346","2.39","145","580","54","163","35","0","15","63","24","93","7","1",".281",".313",".419",".732"
"Matt Kemp","COL","UT","99","FA","36","","344","2.36","146","462","62","134","25","0","21","85","36","115","0","0",".290",".338",".481",".818"
"Starlin Castro","WSH","2B","100","MBC","30","","341","2.21","154","593","76","165","32","2","12","54","48","124","6","4",".278",".329",".400",".729"
"Tim Anderson","CHW","SS","101","BFT","27","","340.5","2.23","153","567","77","136","28","3","20","64","30","149","26","8",".240",".281",".406",".687"
"Kyle Schwarber","(N/A)","OF","102","MSBC","27","","339.5","2.48","137","428","64","102","14","3","26","61","78","140","4","3",".238",".356",".467",".823"
"Carlos Gonzalez","(N/A)","OF","103","FA","35","","338","2.56","132","463","71","128","32","4","16","64","37","113","5","2",".276",".329",".467",".796"
"Yasmani Grandal","CHW","C","104","MSBC","32","","337.5","2.41","140","440","65","106","23","2","24","68","72","124","2","1",".241",".349",".466",".815"
"AJ Pollock","LAD","OF","105","MBC","33","","335","2.96","113","413","61","106","21","5","21","65","31","100","13","2",".257",".316",".484",".800"
"Yonder Alonso","SD","1B","106","FA","33","","334.5","2.31","145","516","64","129","19","0","23","83","51","123","0","0",".250",".317",".421",".738"
"Nomar Mazara","(N/A)","OF","107","NCNF","25","","333","2.6","128","489","61","126","25","1","20","77","40","116","1","0",".258",".317",".436",".753"
"Yadier Molina","STL","C","108","NT 4","38","","331.5","2.7","123","459","55","120","20","0","20","74","29","66","4","3",".261",".314",".436",".750"
"Trey Mancini","BAL","1B,OF","109","MSBC","28","","331","2.12","156","582","69","141","23","3","24","58","44","153","0","1",".242",".299",".416",".715"
"Jackie Bradley Jr.","(N/A)","OF","110","ZL","30","","331","2.3","144","474","76","111","33","4","13","59","46","137","17","1",".234",".314",".403",".717"
"Rougned Odor","TEX","2B","111","FA","26","","331","2.57","129","474","76","120","23","2","18","63","43","127","12","12",".253",".326",".424",".751"
"Yasiel Puig","(N/A)","OF","112","FA","30","","330","2.64","125","405","60","108","21","1","23","63","36","87","15","5",".267",".327",".494",".820"
"Kevin Pillar","COL","OF","113","BART","31","","330","2.32","142","512","65","129","40","2","15","59","18","98","14","3",".252",".282",".426",".708"
"Freddy Galvis","CIN","SS","114","FA","31","","328.5","2.03","162","602","62","149","31","5","13","67","45","147","8","6",".248",".299",".380",".680"
"Salvador Perez","KC","C","115","BART","30","","327","2.53","129","510","52","120","23","0","27","80","17","108","1","1",".235",".274",".439",".713"
"Johan Camargo","ATL","2B","116","FA","27","","327","2.44","134","464","63","126","27","1","19","76","51","108","1","1",".272",".349",".457",".806"
"Joc Pederson","(N/A)","OF","117","MBC","28","","326.5","2.21","148","395","65","98","27","3","25","56","40","85","1","5",".248",".321",".522",".843"
"Amed Rosario","NYM","SS","118","FA","25","","325","2.11","154","554","76","142","26","8","9","51","29","119","24","11",".256",".295",".381",".676"
"Yolmer Sanchez","CHW","3B","119","FA","28","","324","2.09","155","600","62","145","34","10","8","55","49","138","14","6",".242",".306",".372",".678"
"Ian Kinsler","(N/A)","2B","120","FA","38","","323","2.52","128","487","66","117","26","0","14","48","40","64","16","7",".240",".301",".380",".681"
"Nick Ahmed","ARI","SS","121","BFT","30","","321.5","2.1","153","516","61","121","33","5","16","70","40","109","5","4",".234",".290",".411",".700"
"Ryan Braun","MIL","OF","122","FA","37","","321.5","2.57","125","405","59","103","25","1","20","64","34","85","11","5",".254",".313",".469",".782"
"Kyle Seager","SEA","3B","123","NT 4","33","","320.5","2.07","155","583","62","129","36","1","22","78","38","138","2","2",".221",".273",".400",".673"
"Jeimer Candelario","DET","1B","124","BART","27","","320.5","2.23","144","539","78","121","28","3","19","54","66","160","3","2",".224",".317",".393",".710"
"Kike Hernandez","(N/A)","2B","125","NT 13","29","","315.5","2.18","145","402","67","103","17","3","21","52","50","78","3","0",".256",".336",".470",".806"
"Justin Turner","(N/A)","3B","126","BART","36","","313","3.04","103","365","62","114","31","1","14","52","47","54","2","1",".312",".406",".518",".924"
"Billy Hamilton","CHC","OF","127","FA","30","","312.5","2.04","153","504","74","119","16","9","4","29","46","132","34","10",".236",".299",".327",".626"
"Shohei Ohtani","LAA","UT","128","Luka","26","","311","2.73","114","326","59","93","21","2","22","61","37","102","10","4",".285",".361",".564",".925"
"Alex Gordon","KC","OF","129","FA","36","","310","2.2","141","506","56","124","24","0","13","54","50","124","12","2",".245",".324",".370",".694"
"Randal Grichuk","TOR","OF","130","NT 4","29","","308","2.48","124","424","60","104","32","1","25","61","27","122","3","2",".245",".301",".502",".803"
"Josh Reddick","(N/A)","OF","131","Ass","33","","307.5","2.29","134","433","63","105","13","2","17","47","49","77","7","2",".242",".318",".400",".718"
"Jason Heyward","CHC","OF","132","ZL","31","","307","2.42","127","440","67","119","23","4","8","57","42","60","1","1",".270",".335",".395",".731"
"Marwin Gonzalez","MIN","2B,3B","133","Ass","31","","306.5","2.11","145","489","61","121","25","3","16","68","53","126","2","3",".247",".324",".409",".733"
"Yoan Moncada","CHW","3B","134","Ass","25","","306","2.05","149","578","73","136","32","6","17","61","67","217","12","6",".235",".315",".400",".714"
"Teoscar Hernandez","TOR","OF","135","NT 4","28","","302","2.25","134","476","67","114","29","7","22","57","41","163","5","5",".239",".302",".468",".771"
"Jonathan Villar","TOR","2B,SS","136","BART","29","","301.5","2.14","141","466","54","121","14","1","14","46","41","138","35","5",".260",".325",".384",".709"
"Kole Calhoun","ARI","OF","137","Ass","33","","300","2.19","137","491","71","102","18","2","19","57","53","133","6","2",".208",".283",".369",".652"
"Gleyber Torres","NYY","SS","138","MBC","24","","299.5","2.43","123","431","54","117","16","1","24","77","42","122","6","2",".271",".340",".480",".820"
"Jon Jay","ARI","OF","139","FA","35","","299.5","2.09","143","527","74","141","19","7","3","40","33","95","4","3",".268",".330",".347",".678"
"Mitch Moreland","SD","1B","140","FA","35","","299","2.41","124","404","57","99","23","4","15","68","50","102","2","0",".245",".325",".433",".758"
"Evan Gattis","(N/A)","C","141","FA","34","","297","2.32","128","407","49","92","17","0","25","78","33","101","1","0",".226",".284",".452",".736"
"Albert Pujols","LAA","1B","142","MSBC","40","","295.5","2.53","117","465","50","114","20","0","19","64","28","65","1","0",".245",".289",".411",".700"
"Dee Strange-Gordon","SEA","2B,OF","143","FA","32","","295.5","2.1","141","556","62","149","17","8","4","36","9","80","30","12",".268",".288",".349",".637"
"Brandon Crawford","SF","SS","144","BFT","33","","295","1.95","151","531","63","135","28","2","14","54","50","122","4","5",".254",".325",".394",".719"
"Derek Dietrich","TEX","UT","145","FA","31","","292.5","1.96","149","499","72","132","26","2","16","45","29","140","2","0",".265",".330",".421",".751"
"Manuel Margot","TB","OF","146","DEAL","26","","289","2.05","141","477","50","117","26","8","8","51","32","88","11","10",".245",".292",".384",".675"
"Hunter Renfroe","BOS","OF","147","MBC","28","","289","2.47","117","403","53","100","23","1","26","68","30","109","2","1",".248",".302",".504",".805"
"Matt Duffy","NYY","3B","148","FA","29","","289","2.19","132","503","59","148","22","1","4","44","47","93","12","6",".294",".361",".366",".727"
"Maikel Franco","(N/A)","3B","149","NT 4","28","","288","2.2","131","433","48","117","17","1","22","68","29","62","1","0",".270",".314",".467",".780"
"Justin Bour","LAA","1B","150","FA","32","","287","2.04","141","423","49","96","13","1","20","59","73","124","2","0",".227",".341",".404",".746"
"Paul DeJong","STL","SS","151","Nunez","27","","283.5","2.47","115","436","68","105","25","1","19","68","36","123","1","1",".241",".313",".433",".746"
"Daniel Palka","(N/A)","OF","152","FA","29","","283.5","2.29","124","417","56","100","15","3","27","67","30","153","2","1",".240",".294",".484",".778"
"Dansby Swanson","ATL","SS","153","Luka","26","","283","2.08","136","478","51","114","25","4","14","59","44","122","10","4",".238",".304",".395",".699"
"Aledmys Diaz","HOU","2B","154","FA","30","","282.5","2.17","130","422","55","111","26","0","18","55","23","62","3","4",".263",".303",".453",".756"
"Ryon Healy","(N/A)","1B","155","FA","28","","282.5","2.12","133","493","51","116","15","0","24","73","27","113","0","0",".235",".277",".412",".688"
"Carlos Correa","HOU","SS","156","MSBC","26","","280.5","2.55","110","402","60","96","20","1","15","65","53","111","3","0",".239",".323",".405",".728"
"Wilson Ramos","NYM","C","157","MBC","33","","277","2.5","111","382","39","117","22","1","15","70","32","80","0","0",".306",".358",".487",".845"
"Mark Canha","OAK","OF","158","DEAL","31","","273","2.24","122","365","60","91","22","0","17","52","34","88","1","2",".249",".328",".449",".778"
"Jose Iglesias","LAA","SS","159","BART","30","","272.5","2.18","125","432","43","116","31","3","5","48","19","47","15","6",".269",".310",".389",".699"
"Willson Contreras","CHC","C","160","BFT","28","","272","1.97","138","474","50","118","27","5","10","54","53","121","4","1",".249",".339",".390",".730"
"Niko Goodrum","DET","SS","161","FA","28","","270","2.06","131","444","55","109","29","3","16","53","42","132","12","4",".245",".315",".432",".747"
"Kris Bryant","CHC","3B","162","Ass","28","","269","2.64","102","389","59","106","28","3","13","52","48","107","2","4",".272",".374",".460",".834"
"Eduardo Nunez","NYM","OF","163","FA","33","","268.5","2.11","127","480","56","127","23","3","10","44","16","69","7","2",".265",".289",".388",".677"
"Tucker Barnhart","CIN","C","164","FA","29","","268","1.94","138","460","50","114","21","3","10","46","54","96","0","4",".248",".328",".372",".699"
"Gerardo Parra","WSH","OF","165","FA","33","","265","1.87","142","401","52","114","17","0","6","53","32","75","11","4",".284",".342",".372",".714"
"Miguel Rojas","MIA","SS","166","BFT","31","","264","1.73","153","488","44","123","13","0","11","53","24","69","6","3",".252",".297",".346",".643"
"Robbie Grossman","OAK","OF","167","MSBC","31","","263.5","2.04","129","396","50","108","27","1","5","48","60","83","0","1",".273",".367",".384",".751"
"Yangervis Solarte","ATL","3B","168","FA","33","","263.5","2.16","122","468","50","106","20","0","17","54","31","72","1","3",".226",".277",".378",".655"
"Buster Posey","SF","C","169","FA","33","","262","2.5","105","398","47","113","22","1","5","41","45","53","3","2",".284",".359",".382",".741"
"Todd Frazier","NYM","3B","170","FA","34","","262","2.28","115","408","54","87","18","0","18","59","48","112","9","4",".213",".303",".390",".693"
"Scott Schebler","ATL","OF","171","FA","30","","261","2.44","107","380","55","97","19","0","17","49","39","99","4","2",".255",".337",".439",".777"
"Matt Davidson","CIN","UT","172","FA","29","","260","2.11","123","434","51","99","23","0","20","62","52","165","0","0",".228",".319",".419",".738"
"Rafael Devers","BOS","3B","173","VP","24","","259.5","2.14","121","450","59","108","24","0","21","66","38","121","5","2",".240",".298",".433",".731"
"Nick Williams","CIN","OF","174","FA","27","","257","1.84","140","407","53","104","12","3","17","50","32","111","3","2",".256",".324",".425",".749"
"Colin Moran","PIT","1B","175","BART","28","","256","1.78","144","415","49","115","19","1","11","58","39","82","0","2",".277",".340",".407",".747"
"Harrison Bader","STL","OF","176","FA","26","","256","1.86","138","379","61","100","20","2","12","37","31","125","15","3",".264",".334",".422",".756"
"Daniel Descalso","CHC","2B","177","FA","34","","255","1.85","138","349","54","83","22","4","13","57","64","110","0","1",".238",".353",".436",".789"
"Ian Happ","CHC","OF","178","DEAL","26","","254","1.79","142","387","56","90","19","2","15","44","70","167","8","4",".233",".353",".408",".761"
"Wilmer Flores","SF","UT","179","DEAL","29","","253.5","2.01","126","386","43","103","25","0","11","51","29","42","0","0",".267",".319",".417",".736"
"Evan Longoria","SF","3B","180","BFT","35","","253","2.02","125","480","51","117","25","4","16","54","22","101","3","1",".244",".281",".412",".694"
"Jonathan Schoop","DET","2B","181","BFT","29","","252.5","1.93","131","473","61","110","22","1","21","61","19","115","1","1",".233",".266",".416",".682"
"Francisco Cervelli","MIA","C","182","FA","34","","251.5","2.42","104","332","39","86","15","3","12","57","51","84","2","3",".259",".378",".431",".809"
"Albert Almora Jr.","(N/A)","OF","183","FA","26","","251","1.65","152","444","62","127","24","1","5","41","24","83","1","3",".286",".323",".378",".701"
"Brandon Belt","SF","1B","184","MSBC","32","","249.5","2.25","111","398","49","100","18","2","14","46","49","107","4","0",".251",".341",".412",".753"
"Wilmer Difo","WSH","2B,SS","185","FA","28","","249","1.68","148","408","55","94","14","7","7","42","39","82","10","3",".230",".298",".350",".649"
"Robinson Cano","NYM","2B","186","NCNF","38","","246.5","3.08","80","310","44","94","22","0","10","50","32","47","0","0",".303",".374",".471",".845"
"Robinson Chirinos","NYM","C","187","FA","36","","246.5","2.18","113","360","48","80","15","1","18","65","45","140","2","0",".222",".338",".419",".757"
"Kurt Suzuki","(N/A)","C","188","FA","37","","246","2.34","105","347","45","94","24","0","12","50","22","43","0","0",".271",".332",".444",".776"
"Adalberto Mondesi","KC","SS","189","NCNF","25","","244","3.25","75","275","47","76","13","3","14","37","11","77","32","7",".276",".306",".498",".804"
"Adam Eaton","CHW","OF","190","Luka","32","","242.5","2.55","95","319","55","96","18","1","5","33","38","64","9","1",".301",".394",".411",".805"
"Jose Bautista","(N/A)","OF","191","FA","40","","237.5","1.95","122","325","52","66","18","0","13","48","67","111","4","3",".203",".348",".378",".727"
"Brock Holt","WSH","3B","192","FA","32","","235","2.16","109","321","41","89","18","2","7","46","37","73","7","7",".277",".362",".411",".774"
"Matt Adams","(N/A)","UT","193","FA","32","","231.5","1.91","121","306","42","73","10","0","21","57","27","73","0","0",".239",".309",".477",".786"
"Ronald Guzman","TEX","1B","194","FA","26","","231","1.88","123","387","46","91","18","2","16","58","33","121","1","0",".235",".306",".416",".722"
"Gorkys Hernandez","(N/A)","OF","195","FA","33","","230.5","1.62","142","414","52","97","16","2","15","40","27","113","8","5",".234",".285",".391",".676"
"Adam Duvall","(N/A)","OF","196","Luka","32","","230","1.67","138","384","48","75","20","0","15","61","37","117","2","2",".195",".274",".365",".639"
"Yan Gomes","WSH","C","197","FA","33","","228.5","2.04","112","403","52","107","26","0","16","48","21","119","0","0",".266",".313",".449",".762"
"Jesse Winker","CIN","UT","198","BART","27","","227","2.55","89","281","38","84","16","0","7","43","49","46","0","0",".299",".405",".431",".836"
