"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"Jose Ramirez","CLE","3B","1","Nunez","28","","644","4.1","157","578","110","156","38","4","39","105","106","80","34","6",".270",".387",".552",".939"
"Mookie Betts","LAD","OF","2","NT 13","28","","639.5","4.7","136","520","129","180","47","5","32","80","81","91","30","6",".346",".438",".640","1.078"
"Christian Yelich","MIL","OF","3","NCNF","29","","613","4.17","147","574","118","187","34","7","36","110","68","135","22","4",".326",".402",".598","1.000"
"J.D. Martinez","BOS","UT","4","VP","33","","609","4.06","150","569","111","188","37","2","43","130","69","146","6","1",".330",".402",".629","1.031"
"Francisco Lindor","CLE","SS","5","VP","27","","606.5","3.84","158","661","129","183","42","2","38","92","70","107","25","10",".277",".352",".519",".871"
"Mike Trout","LAA","OF","6","BART","29","","589","4.21","140","471","101","147","24","4","39","79","122","124","24","2",".312",".460",".628","1.088"
"Alex Bregman","HOU","3B","7","Luka","26","","571.5","3.64","157","594","105","170","51","1","31","103","96","85","10","4",".286",".394",".532",".926"
"Manny Machado","SD","3B","8","Nunez","28","","552","3.41","162","632","84","188","35","3","37","107","70","104","14","2",".297",".367",".538",".905"
"Bryce Harper","PHI","OF","9","Nunez","28","","544.5","3.42","159","550","103","137","34","0","34","100","130","169","13","3",".249",".393",".496",".889"
"Nolan Arenado","COL","3B","10","ZL","29","","534.5","3.43","156","590","104","175","38","2","38","110","73","122","2","2",".297",".374",".561",".935"
"Trevor Story","COL","SS","11","NCNF","28","","529.5","3.37","157","598","88","174","42","6","37","108","47","168","27","6",".291",".348",".567",".914"
"Freddie Freeman","ATL","1B","12","CP DLT","31","","523.5","3.23","162","618","94","191","44","4","23","98","76","132","10","3",".309",".388",".505",".892"
"Charlie Blackmon","COL","OF","13","BART","34","","521","3.34","156","626","119","182","31","7","29","70","59","134","12","4",".291",".358",".502",".860"
"Trea Turner","WSH","SS","14","NT 4","27","","519.5","3.21","162","664","103","180","27","6","19","73","69","132","43","9",".271",".344",".416",".760"
"Khris Davis","OAK","UT","15","Ass","32","","514.5","3.41","151","576","98","142","28","1","48","123","59","175","0","0",".247",".326",".549",".874"
"Andrew Benintendi","BOS","OF","16","Nunez","26","","512","3.46","148","579","103","168","41","6","16","87","71","106","21","3",".290",".366",".465",".830"
"Whit Merrifield","KC","OF","17","Luka","31","","508","3.22","158","632","88","192","43","3","12","60","61","114","45","10",".304",".367",".438",".806"
"Javier Baez","CHC","SS","18","NT 4","28","","504","3.15","160","606","101","176","40","9","34","111","29","167","21","9",".290",".326",".554",".881"
"Paul Goldschmidt","STL","1B","19","NT 4","33","","502.5","3.18","158","593","95","172","35","5","33","83","90","173","7","4",".290",".389",".533",".922"
"Giancarlo Stanton","NYY","UT","20","VP","31","","492.5","3.12","158","617","102","164","34","1","38","100","70","211","5","0",".266",".343",".509",".852"
"Matt Carpenter","STL","3B","21","FA","35","","489","3.13","156","564","111","145","42","0","36","81","102","158","4","1",".257",".374",".523",".897"
"Anthony Rizzo","CHC","1B","22","ZL","31","","479","3.13","153","566","74","160","29","1","25","101","70","80","6","4",".283",".376",".470",".846"
"Mitch Haniger","SEA","OF","23","MBC","29","","478","3.04","157","596","90","170","38","4","26","93","70","148","8","2",".285",".366",".493",".859"
"Rhys Hoskins","PHI","1B","24","Luka","27","","476.5","3.11","153","558","89","137","38","0","34","96","87","150","5","3",".246",".354",".496",".850"
"Nick Markakis","ATL","OF","25","VP","37","","475.5","2.94","162","623","78","185","43","2","14","93","72","80","1","1",".297",".366",".440",".806"
"Michael Brantley","(N/A)","UT","26","ZL","33","","474.5","3.32","143","570","89","176","36","2","17","76","48","60","12","3",".309",".364",".468",".832"
"Anthony Rendon","LAA","3B","27","MBC","30","","471.5","3.47","136","529","88","163","44","2","24","92","55","82","2","1",".308",".374",".535",".909"
"Nick Castellanos","CIN","OF","28","BFT","28","","461.5","2.94","157","620","88","185","46","5","23","89","49","151","2","1",".298",".354",".500",".854"
"Starling Marte","MIA","OF","29","NT 4","32","","454.5","3.13","145","559","81","155","32","5","20","72","35","109","33","14",".277",".327",".460",".787"
"Ozzie Albies","ATL","2B","30","DEAL","23","","454.5","2.88","158","639","105","167","40","5","24","72","36","116","14","3",".261",".305",".452",".757"
"Jed Lowrie","NYM","2B","31","FA","36","","451.5","2.88","157","596","78","159","37","1","23","99","78","128","0","0",".267",".353",".448",".801"
"Didi Gregorius","PHI","SS","32","Ass","30","","449","3.35","134","504","89","135","23","5","27","86","48","69","10","6",".268",".335",".494",".829"
"Aaron Hicks","NYY","OF","33","CP DLT","31","","447","3.26","137","480","90","119","18","3","27","79","90","111","11","2",".248",".366",".467",".833"
"Xander Bogaerts","BOS","SS","34","NT 13","28","","446","3.28","136","513","72","148","45","3","23","103","55","102","8","2",".288",".360",".522",".883"
"Carlos Santana","KC","1B","35","MSBC","34","","446","2.77","161","560","82","128","28","2","24","86","110","93","2","1",".229",".352",".414",".766"
"Andrew McCutchen","PHI","OF","36","MBC","34","","441","2.85","155","569","83","145","30","3","20","65","95","145","14","9",".255",".368",".424",".792"
"David Peralta","ARI","OF","37","NT 4","33","","439","3.01","146","560","75","164","25","5","30","87","48","124","4","0",".293",".352",".516",".868"
"Cody Bellinger","LAD","OF","38","Ass","25","","437","2.7","162","557","84","145","28","7","25","76","69","151","14","1",".260",".343",".470",".814"
"Jesus Aguilar","MIA","1B","39","Luka","30","","434.5","2.92","149","492","80","135","25","0","35","108","58","143","0","0",".274",".352",".539",".890"
"Nelson Cruz","(N/A)","UT","40","Ass","40","","434","3.01","144","519","70","133","18","1","37","97","55","122","1","0",".256",".342",".509",".850"
"Scooter Gennett","(N/A)","2B","41","FA","30","","431.5","2.8","154","584","86","181","30","3","23","92","42","125","4","2",".310",".357",".490",".847"
"Miguel Andujar","NYY","OF","42","ZL","25","","429.5","2.88","149","573","83","170","47","2","27","92","25","97","2","1",".297",".328",".527",".855"
"Lorenzo Cain","MIL","OF","43","FA","34","","429","3.04","141","539","90","166","25","2","10","38","71","94","30","7",".308",".395",".417",".813"
"Ender Inciarte","ATL","OF","44","FA","30","","426","2.73","156","597","83","158","27","6","10","61","49","86","28","14",".265",".325",".380",".705"
"George Springer","(N/A)","OF","45","ZL","31","","424.5","3.03","140","544","102","144","26","0","22","71","64","122","6","4",".265",".346",".434",".780"
"Jose Altuve","HOU","2B","46","NCNF","30","","424.5","3.1","137","534","84","169","29","2","13","61","55","79","17","4",".316",".386",".451",".837"
"Stephen Piscotty","OAK","OF","47","CP DLT","29","","423","2.8","151","546","78","146","41","0","27","88","42","114","2","0",".267",".331",".491",".821"
"Edwin Encarnacion","CHW","UT","48","Nunez","37","","423","3.09","137","500","74","123","16","1","32","107","63","132","3","0",".246",".336",".474",".810"
"Eugenio Suarez","CIN","3B","49","NCNF","29","","421.5","2.95","143","527","79","149","22","2","34","104","64","142","1","1",".283",".366",".526",".892"
"Eduardo Escobar","ARI","3B","50","ZL","31","","419.5","2.78","151","566","75","154","48","3","23","84","52","126","2","4",".272",".334",".489",".824"
"Ian Desmond","COL","OF","51","FA","35","","415","2.59","160","555","82","131","21","8","22","88","53","146","20","6",".236",".307",".422",".729"
"Matt Olson","OAK","1B","52","CP DLT","26","","414.5","2.56","162","580","85","143","33","0","29","84","70","163","2","1",".247",".335",".453",".788"
"Tommy Pham","SD","OF","53","Nunez","32","","414","3.02","137","494","102","136","18","6","21","63","67","140","15","7",".275",".367",".464",".830"
"Travis Shaw","(N/A)","3B","54","FA","30","","412","2.71","152","498","73","120","23","0","32","86","78","108","5","2",".241",".345",".480",".825"
"Michael Conforto","NYM","OF","55","MSBC","27","","411","2.69","153","543","78","132","25","1","28","82","84","159","3","4",".243",".350",".448",".797"
"Shin-Soo Choo","TEX","OF","56","FA","38","","411","2.82","146","560","83","148","30","1","21","62","92","156","6","1",".264",".377",".434",".810"
"Gregory Polanco","PIT","OF","57","FA","29","","410","3.15","130","461","75","117","32","6","23","81","61","117","12","2",".254",".340",".499",".839"
"Mike Moustakas","CIN","2B","58","NT 13","32","","409","2.69","152","573","66","144","33","1","28","95","49","103","4","1",".251",".315",".459",".774"
"Eddie Rosario","(N/A)","OF","59","BFT","29","","408","2.96","138","559","87","161","31","2","24","77","30","104","8","2",".288",".323",".479",".803"
"Jose Peraza","BOS","2B","60","FA","26","","404","2.57","157","632","85","182","31","4","14","58","29","75","23","6",".288",".326",".416",".742"
"Cesar Hernandez","CLE","2B","61","BART","30","","403.5","2.51","161","605","91","153","15","3","15","60","95","155","19","6",".253",".356",".362",".718"
"Jean Segura","PHI","2B,3B","62","ZL","30","","402.5","2.8","144","586","91","178","29","3","10","63","32","69","20","11",".304",".341",".415",".755"
"Joey Votto","CIN","1B","63","VP","37","","401","2.77","145","503","67","143","28","2","12","67","108","101","2","0",".284",".417",".419",".837"
"Justin Upton","LAA","OF","64","FA","33","","401","2.77","145","533","80","137","18","1","30","85","64","176","8","2",".257",".344",".463",".808"
"Matt Chapman","OAK","3B","65","CP DLT","27","","397.5","2.74","145","547","100","152","42","6","24","68","58","146","1","2",".278",".356",".508",".864"
"Juan Soto","WSH","OF","66","BFT","22","","396.5","3.42","116","414","77","121","25","1","22","70","79","99","5","2",".292",".406",".517",".923"
"Joey Gallo","TEX","OF","67","Luka","27","","395","2.67","148","500","82","103","24","1","40","92","74","207","3","4",".206",".312",".498",".810"
"Marcell Ozuna","(N/A)","OF","68","BART","30","","391.5","2.65","148","582","69","163","16","2","23","88","38","110","3","0",".280",".325",".433",".758"
"Ronald Acuna Jr.","ATL","OF","69","Nunez","22","","389.5","3.51","111","433","78","127","26","4","26","64","45","123","16","5",".293",".366",".552",".917"
"Andrelton Simmons","(N/A)","SS","70","CP DLT","31","","389.5","2.67","146","554","68","162","26","5","11","75","35","44","10","2",".292",".337",".417",".754"
"Marcus Semien","(N/A)","SS","71","NT 13","30","","388","2.44","159","632","89","161","35","2","15","70","61","131","14","6",".255",".318",".388",".706"
"Max Kepler","MIN","OF","72","NT 4","27","","386.5","2.48","156","532","80","119","30","4","20","58","71","96","4","5",".224",".319",".408",".727"
"Jurickson Profar","SD","OF","73","MSBC","27","","385","2.64","146","524","82","133","35","6","20","77","54","88","10","0",".254",".335",".458",".793"
"Eric Hosmer","SD","1B","74","BFT","31","","382.5","2.44","157","613","72","155","31","2","18","69","62","142","7","4",".253",".322",".398",".720"
"DJ LeMahieu","(N/A)","2B","75","BART","32","","381","2.98","128","533","90","147","32","2","15","62","37","82","6","5",".276",".321",".428",".749"
"Max Muncy","LAD","1B","76","NCNF","30","","380","2.77","137","395","75","104","17","2","35","79","79","131","3","0",".263",".391",".582",".973"
"Brian Anderson","MIA","3B","77","BFT","27","","379.5","2.43","156","590","87","161","34","4","11","65","62","129","2","4",".273",".357",".400",".757"
"Yuli Gurriel","HOU","1B","78","ZL","36","","379.5","2.79","136","537","70","156","33","1","13","85","23","63","5","1",".291",".323",".428",".751"
"Justin Smoak","SF","1B","79","FA","34","","379.5","2.58","147","505","67","122","34","0","25","77","83","156","0","1",".242",".350",".457",".808"
"Brian Dozier","(N/A)","2B","80","FA","33","","376.5","2.49","151","553","81","119","30","2","21","72","70","129","12","3",".215",".305",".391",".696"
"Brett Gardner","NYY","OF","81","FA","37","","375","2.68","140","530","95","125","20","7","12","45","65","107","16","2",".236",".322",".368",".690"
"Jose Martinez","(N/A)","UT","82","FA","32","","375","2.47","152","534","64","163","30","0","17","83","49","104","0","3",".305",".364",".457",".821"
"Aaron Judge","NYY","OF","83","Ass","28","","370","3.3","112","413","77","115","22","0","27","67","76","152","6","3",".278",".392",".528",".919"
"Brandon Nimmo","NYM","OF","84","DEAL","27","","370","2.64","140","433","77","114","28","8","17","47","80","140","9","6",".263",".404",".483",".886"
"Mallex Smith","NYM","OF","85","NCNF","27","","370","2.62","141","480","65","142","27","10","2","40","47","98","40","12",".296",".367",".406",".773"
"Ketel Marte","ARI","2B","86","NT 13","27","","366","2.39","153","520","68","135","26","12","14","59","54","79","6","1",".260",".332",".437",".768"
"Asdrubal Cabrera","WSH","1B","87","MSBC","35","","364","2.48","147","546","68","143","36","1","23","75","41","119","0","0",".262",".316",".458",".774"
"J.T. Realmuto","(N/A)","C","88","NT 13","29","","362","2.9","125","477","74","132","30","3","21","74","38","104","3","2",".277",".340",".484",".825"
