"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","AVG","RC","TB","XBH","HBP","IBB","SH","SF","GIDP","Sl","CYC"
"Jacoby Ellsbury","(N/A)","OF","1","FA","37","","673.5","4.26","158","660",".321","130.2","364","83","9","1","3","5","8","0","0"
"Matt Kemp","COL","UT","2","FA","36","","661.5","4.11","161","602",".324","132.3","353","76","6","24","0","7","16","1","0"
"Ryan Braun","MIL","OF","3","FA","37","","634","4.23","150","563",".332","131.5","336","77","5","2","0","3","9","0","0"
"Jose Bautista","(N/A)","OF","4","FA","40","","601.5","4.04","149","513",".302","146.1","312","69","6","24","0","4","8","0","0"
"Miguel Cabrera","DET","UT","5","MSBC","37","","594","3.69","161","572",".344","147.4","335","78","3","21","0","5","24","0","0"
"Ian Kinsler","(N/A)","2B","6","FA","38","","589.5","3.8","155","620",".255","103.8","296","70","8","2","4","2","17","0","0"
"Adrian Gonzalez","(N/A)","1B","7","FA","38","","581.5","3.66","159","630",".338","133.7","345","75","6","20","0","5","28","0","0"
"Dustin Pedroia","BOS","2B","8","FA","37","","576","3.62","159","635",".307","115.5","301","61","1","5","2","7","12","0","0"
"Joey Votto","CIN","1B","9","VP","37","","573.5","3.56","161","599",".309","130.5","318","72","4","15","0","6","20","0","0"
"Robinson Cano","NYM","2B","10","NCNF","38","","546","3.43","159","623",".302","109.5","332","81","12","11","0","8","18","3","0"
"Albert Pujols","LAA","1B","11","MSBC","40","","541","3.68","147","579",".299","104.2","313","66","4","15","0","7","29","1","0"
"Justin Upton","LAA","OF","12","FA","33","","527.5","3.32","159","592",".289","113.9","313","75","19","9","0","4","8","1","0"
"Alex Gordon","KC","OF","13","FA","36","","522","3.46","151","611",".303","114.6","307","72","7","2","0","3","9","0","0"
"Melky Cabrera","NYM","OF","14","FA","36","","520.5","3.36","155","658",".305","96.7","309","67","1","3","7","5","12","1","0"
"Ben Zobrist","(N/A)","2B","15","FA","39","","506","3.24","156","588",".269","97.6","276","72","2","1","2","5","9","1","0"
"Andrew McCutchen","PHI","OF","16","MBC","34","","499.5","3.16","158","572",".259","96.5","261","62","9","3","2","6","7","0","0"
"Michael Bourn","ARI","OF","17","FA","37","","498","3.15","158","656",".294","85.1","253","46","4","3","5","4","6","0","0"
"Brandon Phillips","(N/A)","2B","18","FA","39","","477","3.18","150","610",".300","91.9","279","58","9","3","5","6","15","0","0"
