"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","AVG","RC","TB","XBH","HBP","IBB","SH","SF","GIDP","Sl","CYC"
"Carlos Gonzalez","(N/A)","OF","19","FA","35","","474","3.73","127","481",".295","88.6","253","56","7","8","0","6","11","0","0"
"Melvin Upton Jr.","(N/A)","OF","20","FA","36","","461.5","3.02","153","560",".243","73.9","240","54","4","4","2","3","16","1","0"
"Jay Bruce","PHI","OF","21","FA","33","","460.5","2.93","157","585",".256","93.2","277","61","5","14","1","2","8","0","0"
"Nick Markakis","ATL","OF","22","VP","37","","457","2.86","160","641",".284","89.6","260","47","7","6","0","6","16","1","0"
"Jimmy Rollins","(N/A)","SS","23","FA","42","","452","3.18","142","567",".268","74.7","226","40","3","5","0","3","9","0","0"
"Asdrubal Cabrera","WSH","1B","24","MSBC","35","","451","2.99","151","604",".273","89.5","278","60","11","5","4","4","10","0","0"
"Chris Young","(N/A)","OF","25","FA","37","","448.5","2.88","156","567",".236","80.9","238","61","4","4","1","7","3","0","0"
"Carlos Santana","KC","1B","26","MSBC","34","","434.5","2.8","155","552",".239","89.3","252","64","2","7","0","7","15","1","0"
"Josh Hamilton","(N/A)","OF","27","FA","39","","434.5","3.59","121","487",".298","88.3","261","61","2","13","0","10","8","1","0"
"Giancarlo Stanton","NYY","UT","28","VP","31","","432.5","2.88","150","516",".262","97.5","277","69","9","6","0","6","11","1","0"
"Evan Longoria","SF","3B","29","BFT","35","","430.5","3.24","133","483",".244","86.5","239","58","6","6","0","5","11","0","0"
"Coco Crisp","(N/A)","OF","30","FA","41","","429","3.15","136","531",".264","58.8","201","40","1","2","4","6","11","0","0"
"Michael Morse","(N/A)","1B","31","FA","38","","424.5","2.91","146","522",".303","101.2","287","67","13","5","0","4","9","2","0"
"Starlin Castro","WSH","2B","32","MBC","30","","422","2.67","158","674",".307","90.3","291","55","2","2","0","4","20","0","0"
"Gaby Sanchez","(N/A)","1B","33","FA","37","","418.5","2.63","159","572",".266","85.0","244","54","6","4","2","7","18","1","0"
"Brett Gardner","NYY","OF","34","FA","37","","416.5","2.62","159","510",".259","63.6","188","34","8","1","8","2","5","0","0"
"Elvis Andrus","TEX","SS","35","FA","32","","413.5","2.76","150","587",".279","67.2","212","35","5","0","16","1","17","0","0"
"Neil Walker","PHI","2B","36","FA","35","","408","2.57","159","596",".273","77.6","243","52","4","5","0","8","15","1","0"
"Matt Holliday","(N/A)","OF","37","FA","40","","407.5","3.29","124","446",".296","86.5","234","58","8","4","0","2","21","0","0"
"Dan Uggla","(N/A)","2B","38","FA","40","","401.5","2.49","161","600",".233","84.8","272","59","7","2","0","3","9","0","0"
"Adam Jones","ARI","OF","39","FA","35","","400","2.65","151","567",".280","78.3","264","53","9","2","1","12","16","0","0"
"Corey Hart","(N/A)","OF","40","FA","38","","400","3.08","130","492",".285","85.2","251","55","4","1","3","1","12","0","0"
"Erick Aybar","(N/A)","SS","41","FA","36","","398","2.78","143","556",".279","69.6","234","51","6","1","9","3","13","0","0"
"Howie Kendrick","WSH","UT","42","FA","37","","394.5","2.82","140","537",".285","76.5","249","54","10","3","3","0","18","0","0"
"Drew Stubbs","(N/A)","OF","43","FA","36","","394","2.49","158","604",".243","71.7","220","40","7","1","6","1","2","0","0"
"Alexei Ramirez","SD","SS","44","FA","39","","390","2.47","158","614",".269","75.2","245","48","6","1","8","5","19","0","0"
"J.J. Hardy","(N/A)","SS","45","FA","38","","389","3.02","129","527",".269","77.6","259","57","2","3","2","5","10","1","0"
"Eric Hosmer","SD","1B","46","BFT","31","","386.5","3.02","128","523",".293","75.6","243","49","1","7","0","5","13","0","0"
"Emilio Bonifacio","(N/A)","OF","47","FA","35","","385","2.53","152","565",".296","78.5","222","38","1","1","11","5","4","0","0"
"Jhonny Peralta","(N/A)","3B,SS","48","FA","38","","384.5","2.63","146","525",".299","81.7","251","49","2","2","0","9","17","1","0"
"Matt Joyce","MIA","OF","49","FA","36","","383","2.72","141","462",".277","77.1","221","53","4","9","0","7","7","0","0"
"Alex Avila","MIN","C","50","FA","33","","383","2.72","141","464",".295","93.5","235","56","3","9","3","8","8","0","0"
"Freddie Freeman","ATL","1B","51","CP DLT","31","","380","2.42","157","571",".282","85.6","256","53","6","3","0","5","15","0","0"
"Cameron Maybin","CHC","OF","52","FA","33","","377.5","2.76","137","516",".264","63.5","203","41","2","2","4","2","6","0","0"
"Nelson Cruz","(N/A)","UT","53","Ass","40","","375","3.02","124","475",".263","71.9","242","58","2","1","0","3","8","0","0"
"Mark Trumbo","(N/A)","UT","54","FA","34","","374.5","2.51","149","539",".254","67.2","257","61","5","5","0","4","17","1","0"
"Seth Smith","(N/A)","OF","55","FA","38","","367.5","2.5","147","476",".284","78.8","230","56","4","7","0","7","9","0","0"
"Danny Espinosa","(N/A)","2B","56","FA","33","","364.5","2.31","158","573",".236","77.4","237","55","19","4","5","4","6","0","0"
"Miguel Montero","(N/A)","C","57","FA","37","","364.5","2.6","140","493",".282","78.6","231","55","8","10","1","4","14","0","0"
"Matt Wieters","STL","C","58","FA","34","","364","2.62","139","500",".262","71.0","225","50","2","3","0","1","16","0","0"
"Austin Jackson","(N/A)","OF","59","FA","33","","361.5","2.36","153","591",".249","67.5","221","43","4","3","14","3","11","0","0"
"Angel Pagan","SF","OF","60","FA","39","","359.5","2.92","123","478",".262","56.4","178","35","1","4","4","5","4","0","0"
"Dexter Fowler","STL","OF","61","FA","34","","351","2.81","125","481",".266","75.2","208","55","6","3","7","1","6","0","0"
"Kelly Johnson","NYM","2B,3B,OF","62","FA","38","","350.5","2.38","147","545",".222","69.2","225","55","4","2","4","0","3","2","0"
"James Loney","NYM","1B","63","FA","36","","349","2.21","158","531",".288","74.4","221","43","1","7","3","5","8","1","0"
"Yadier Molina","STL","C","64","NT 4","38","","348.5","2.51","139","475",".305","67.6","221","47","1","4","5","4","21","0","0"
"Brian McCann","(N/A)","C","65","FA","36","","348.5","2.72","128","466",".270","75.1","217","43","2","14","0","2","10","0","0"
"Peter Bourjos","(N/A)","OF","66","FA","33","","346","2.35","147","502",".271","67.8","220","49","10","0","7","1","7","0","0"
"Pablo Sandoval","ATL","UT","67","FA","34","","344.5","2.94","117","426",".315","77.6","235","52","0","9","1","7","12","0","1"
"Yunel Escobar","(N/A)","3B","68","FA","38","","344","2.59","133","513",".290","77.3","212","38","6","1","5","5","14","0","0"
"Carlos Quentin","(N/A)","OF","69","FA","38","","343.5","2.91","118","421",".254","72.6","210","55","23","0","0","5","7","0","0"
"Logan Morrison","MIL","UT","70","FA","33","","343","2.79","123","462",".247","71.7","216","52","5","2","0","4","9","0","0"
"Edwin Encarnacion","CHW","UT","71","Nunez","37","","341","2.54","134","481",".272","68.4","218","53","3","2","0","3","17","0","0"
"Aaron Hill","(N/A)","3B","72","FA","38","","337.5","2.46","137","520",".246","52.5","185","38","7","1","2","7","10","1","0"
"Adam Lind","(N/A)","1B","73","FA","37","","336","2.69","125","499",".251","61.6","219","42","3","4","0","8","12","2","0"
"Carl Crawford","(N/A)","OF","74","FA","39","","328.5","2.53","130","506",".255","55.8","205","47","3","1","2","4","7","1","0"
"Rickie Weeks Jr.","(N/A)","OF","75","FA","38","","326.5","2.77","118","453",".269","75.6","212","48","8","3","1","3","6","0","0"
"Casey Kotchman","TOR","1B","76","FA","37","","324","2.22","146","500",".306","79.2","211","36","12","5","0","3","13","0","0"
"Omar Infante","ATL","2B","77","FA","38","","318.5","2.15","148","579",".276","65.5","221","39","2","1","17","8","12","0","0"
"Gerardo Parra","WSH","OF","78","FA","33","","318.5","2.26","141","445",".292","67.0","190","36","3","16","0","2","8","0","0"
"Alcides Escobar","(N/A)","SS","79","FA","34","","315.5","2","158","548",".254","48.7","188","33","4","1","18","3","10","0","0"
"Danny Valencia","(N/A)","1B,3B","80","FA","36","","308","2","154","564",".246","58.7","216","45","0","2","0","4","15","0","0"
"Alex Rios","(N/A)","OF","81","FA","39","","305","2.1","145","537",".227","42.4","187","37","2","4","0","4","20","1","0"
"Michael Brantley","(N/A)","UT","82","ZL","33","","299.5","2.63","114","451",".266","51.8","173","35","3","2","3","5","11","0","0"
"Alberto Callaspo","(N/A)","2B,3B","83","FA","37","","298.5","2.12","141","475",".288","65.7","178","29","1","8","0","2","11","0","0"
"Russell Martin","(N/A)","C","84","FA","37","","298","2.38","125","417",".237","51.4","170","35","5","1","1","3","19","1","0"
"Ian Desmond","COL","OF","85","FA","35","","294.5","1.91","154","584",".253","57.5","209","40","4","2","11","5","9","0","0"
"Garrett Jones","(N/A)","1B","86","FA","39","","293","1.98","148","423",".243","58.6","183","47","2","2","0","4","7","0","0"
"Mitch Moreland","SD","1B","87","FA","35","","292","2.18","134","464",".259","59.9","192","39","4","6","2","3","9","0","0"
"Ben Revere","(N/A)","OF","88","FA","32","","285.5","2.44","117","450",".267","40.1","139","14","2","1","3","0","7","0","0"
"Chris Iannetta","(N/A)","C","89","FA","37","","285","2.54","112","345",".238","54.5","143","32","5","5","2","4","10","0","0"
"Jon Jay","ARI","OF","90","FA","35","","283","1.78","159","455",".297","61.0","193","36","7","1","9","4","11","0","0"
"Darwin Barney","(N/A)","2B","91","FA","35","","282.5","1.98","143","529",".276","54.6","187","31","8","2","7","4","14","0","0"
"Cody Ross","(N/A)","OF","92","FA","39","","281","2.32","121","405",".240","52.9","164","39","4","4","0","3","10","0","0"
"J.P. Arencibia","TB","C","93","FA","34","","280.5","2.17","129","443",".219","54.5","194","47","4","3","0","3","6","1","0"
"David Wright","(N/A)","3B","94","FA","37","","280","2.75","102","389",".254","59.0","166","38","3","4","0","3","5","0","0"
"David DeJesus","(N/A)","OF","95","FA","40","","279.5","2.13","131","442",".240","51.7","166","35","11","1","4","4","14","0","0"
"Cliff Pennington","(N/A)","2B","96","FA","36","","279.5","1.89","148","515",".264","58.2","190","36","1","1","8","4","5","0","0"
"A.J. Pierzynski","ATL","C","97","FA","43","","275","2.13","129","464",".287","55.0","188","38","5","6","2","6","19","0","0"
"Orlando Hudson","(N/A)","2B","98","FA","43","","275","2.31","119","398",".246","47.1","140","25","2","6","1","4","5","0","0"
"Kurt Suzuki","(N/A)","C","99","FA","37","","274.5","2.05","134","460",".237","50.5","177","40","7","1","3","7","14","0","0"
"Delmon Young","(N/A)","OF","100","FA","35","","273.5","2.21","124","473",".268","50.8","186","34","2","2","0","5","19","0","0"
"David Murphy","(N/A)","OF","101","FA","39","","270.5","2.25","120","404",".275","49.0","162","27","0","3","1","2","11","1","0"
"Nyjer Morgan","CLE","OF","102","FA","40","","270","2.27","119","378",".304","53.9","159","30","14","0","15","3","6","0","0"
"Carlos Ruiz","(N/A)","C","103","FA","41","","269","2.04","132","410",".283","60.0","157","29","10","10","3","1","7","1","0"
"Daniel Murphy","COL","1B","104","BART","35","","267.5","2.45","109","391",".320","57.1","175","36","3","2","3","2","14","0","0"
"Jemile Weeks","SD","2B","105","FA","33","","267","2.75","97","406",".303","54.4","171","36","4","1","2","4","3","0","0"
"Wilson Ramos","NYM","C","106","MBC","33","","264","2.34","113","389",".267","51.3","173","38","2","8","4","2","19","0","0"
"Ryan Zimmerman","WSH","1B","107","FA","36","","263","2.6","101","395",".289","59.3","175","35","1","4","0","3","14","1","0"
"Robert Andino","BAL","2B","108","FA","36","","263","1.89","139","457",".263","48.5","157","27","3","0","9","1","14","0","0"
"Jason Heyward","CHC","OF","109","ZL","31","","258.5","2.02","128","396",".227","50.1","154","34","4","4","0","3","7","1","0"
"Justin Turner","(N/A)","3B","110","BART","36","","257.5","2.2","117","435",".260","51.9","155","34","10","2","2","1","9","0","0"
"Casey McGehee","DET","3B","111","FA","38","","255.5","1.65","155","546",".223","48.7","189","39","1","4","0","8","19","0","0"
"Justin Smoak","SF","1B","112","FA","34","","252","2.05","123","427",".234","55.4","169","39","3","4","0","4","10","0","0"
"Gordon Beckham","(N/A)","2B","113","FA","34","","252","1.68","150","499",".230","49.9","168","33","13","0","7","3","6","0","0"
"Hanley Ramirez","CLE","1B","114","FA","36","","252","2.74","92","338",".243","40.5","128","26","2","3","1","0","6","1","0"
"Chase Headley","(N/A)","3B","115","FA","36","","250","2.21","113","381",".289","58.3","152","33","2","8","1","3","6","1","0"
"Jonathan Lucroy","PHI","C","116","FA","34","","242.5","1.78","136","430",".265","51.5","168","29","2","0","4","3","7","0","0"
"Eric Thames","WSH","1B","117","FA","34","","241.5","2.54","95","362",".262","50.3","165","41","5","0","1","3","7","0","0"
"Miguel Olivo","SF","C","118","FA","42","","241.5","1.86","130","477",".224","43.5","185","39","1","2","1","8","7","1","0"
"Clint Barmes","(N/A)","SS","119","FA","41","","237.5","1.93","123","446",".244","53.3","172","39","7","2","2","2","9","0","0"
"Lucas Duda","(N/A)","1B","120","FA","34","","237","2.37","100","301",".292","54.8","145","34","7","3","1","5","5","0","0"
"Jose Tabata","TOR","OF","121","FA","32","","234.5","2.58","91","334",".266","40.9","121","23","4","1","1","3","8","0","0"
"Rajai Davis","(N/A)","OF","122","FA","40","","233","2.45","95","320",".237","26.5","112","28","1","0","1","1","4","0","0"
"Geovany Soto","(N/A)","C","123","FA","37","","233","1.86","125","421",".228","52.8","173","43","6","3","0","2","12","0","0"
"John Mayberry Jr.","(N/A)","OF","124","FA","36","","232.5","2.24","104","267",".273","44.7","137","33","2","2","0","1","6","0","0"
"Scott Sizemore","(N/A)","3B","125","FA","35","","229","2.08","110","368",".245","50.4","147","34","2","0","5","1","8","1","0"
"Nate Schierholtz","DET","OF","126","FA","36","","227.5","1.98","115","335",".278","45.1","144","32","4","3","0","2","5","0","0"
"Brendan Ryan","LAA","SS","127","FA","38","","223.5","1.82","123","436",".248","44.1","142","25","10","0","9","5","7","1","0"
"Desmond Jennings","(N/A)","OF","128","FA","34","","222.5","3.53","63","247",".259","39.5","111","23","6","1","3","0","1","0","0"
"Sam Fuld","(N/A)","OF","129","FA","39","","221","2.1","105","308",".240","33.2","111","26","1","0","4","1","3","0","0"
"Lyle Overbay","(N/A)","1B","130","FA","43","","219","1.81","121","394",".234","42.4","142","31","2","2","1","1","13","0","0"
"Chris Heisey","(N/A)","OF","131","FA","36","","218.5","1.82","120","279",".254","42.7","136","28","5","3","1","4","1","0","0"
"Sean Rodriguez","MIA","2B","132","FA","35","","217.5","1.66","131","373",".223","41.8","133","31","18","2","5","2","8","0","0"
"Dustin Ackley","(N/A)","OF","133","FA","32","","214.5","2.38","90","333",".273","50.8","139","29","0","1","0","3","3","0","0"
"Jonny Gomes","(N/A)","OF","134","FA","40","","214.5","1.79","120","311",".209","42.2","121","27","8","1","0","5","2","0","0"
"Brent Morel","(N/A)","3B","135","FA","33","","213","1.69","126","413",".245","40.5","151","29","3","0","5","1","8","0","0"
"Andres Torres","(N/A)","OF","136","FA","42","","212.5","1.9","112","348",".221","36.4","115","29","4","0","4","0","3","1","0"
"Shin-Soo Choo","TEX","OF","137","FA","38","","211","2.48","85","313",".259","41.0","122","22","6","3","0","3","7","0","0"
"Jeff Keppinger","(N/A)","3B","138","FA","40","","208","2.1","99","379",".277","39.3","143","26","2","0","2","4","11","0","0"
"Alexi Casilla","TOR","2B","139","FA","36","","207","2.13","97","323",".260","37.3","119","27","3","0","8","3","4","0","0"
"Jesus Guzman","(N/A)","1B","140","FA","36","","206","2.71","76","247",".312","41.9","118","29","1","2","0","1","6","0","0"
"Roger Bernadina","NYM","OF","141","FA","36","","203.5","2.24","91","309",".243","32.0","112","21","4","1","2","0","7","0","0"
"Ryan Raburn","(N/A)","OF","142","FA","39","","202.5","1.67","121","387",".256","48.8","167","38","3","2","4","3","4","1","0"
"Eduardo Nunez","NYM","OF","143","FA","33","","194.5","1.74","112","309",".265","33.9","119","25","0","2","6","1","6","0","0"
"Chris Denorfia","(N/A)","OF","144","FA","40","","194","1.75","111","307",".277","35.8","117","20","1","1","2","2","10","0","0"
"Josh Thole","NYY","C","145","FA","34","","191.5","1.68","114","340",".268","40.3","117","20","4","6","1","3","8","0","0"
"Jason Bourgeois","CHW","OF","146","FA","38","","189","2.03","93","238",".294","24.1","85","11","0","0","4","0","5","0","0"
"Jordan Schafer","SF","OF","147","FA","34","","188","2.29","82","302",".242","29.0","95","15","2","0","4","1","4","0","0"
"Mike Aviles","(N/A)","2B,SS","148","FA","39","","183","2.01","91","286",".255","29.8","117","27","2","0","4","4","8","0","0"
"Ronny Cedeno","SF","SS","149","FA","37","","176.5","1.38","128","413",".249","37.6","140","30","0","7","6","5","11","0","0"
"Ruben Tejada","(N/A)","SS","150","FA","31","","176","1.83","96","328",".284","40.5","110","16","6","3","4","3","6","0","0"
"Brett Wallace","SD","3B","151","FA","34","","172","1.5","115","336",".259","39.8","124","27","3","4","1","2","12","0","0"
"Josh Reddick","(N/A)","OF","152","Ass","33","","171.5","1.97","87","254",".280","38.3","116","28","1","1","0","4","1","0","0"
"Carlos Gomez","(N/A)","OF","153","FA","35","","170","1.81","94","231",".225","24.6","93","22","2","0","8","2","2","0","0"
"Daniel Descalso","CHC","2B","154","FA","34","","168","1.14","148","326",".264","38.1","115","24","3","9","10","3","3","0","0"
"Chris Coghlan","(N/A)","OF","155","FA","35","","167.5","2.58","65","269",".230","27.8","99","26","4","3","1","2","3","0","0"
"Ryan Hanigan","(N/A)","C","156","FA","40","","165","1.81","91","266",".267","35.9","95","12","2","3","1","0","3","0","0"
"Nate McLouth","(N/A)","OF","157","FA","39","","163.5","2.02","81","267",".228","31.9","89","18","3","4","7","0","4","0","0"
"Trevor Plouffe","(N/A)","3B","158","FA","34","","163.5","2.02","81","286",".238","32.9","112","27","4","0","2","3","6","0","0"
"Chris Johnson","CHW","1B","159","FA","36","","162","1.51","107","378",".251","41.7","143","31","7","3","0","4","2","0","0"
"Jed Lowrie","NYM","2B","160","FA","36","","160","1.82","88","309",".252","34.9","118","24","2","2","1","6","6","0","0"
"Ryan Sweeney","(N/A)","OF","161","FA","35","","160","1.48","108","264",".265","31.1","90","15","0","3","1","1","7","0","0"
"Mike Moustakas","CIN","2B","162","NT 13","32","","159","1.79","89","338",".263","38.1","124","24","1","0","2","2","5","0","0"
"Eric Young Jr.","(N/A)","OF","163","FA","35","","157.5","2.05","77","198",".247","21.3","59","7","3","0","1","1","1","0","0"
"Alex Presley","(N/A)","OF","164","FA","35","","156.5","3.01","52","215",".298","33.1","100","22","1","1","1","1","1","0","0"
"Don Kelly","MIA","1B,3B","165","FA","40","","154.5","1.38","112","257",".245","25.9","98","18","3","0","6","1","8","0","0"
"Alejandro De Aza","(N/A)","OF","166","FA","36","","153.5","2.84","54","152",".329","29.8","79","18","1","1","1","0","2","0","0"
"Grady Sizemore","(N/A)","OF","167","FA","38","","153.5","2.16","71","268",".224","31.5","113","32","6","1","0","3","4","0","0"
"Andruw Jones","(N/A)","OF","168","FA","43","","151.5","1.97","77","190",".247","35.0","94","21","3","0","0","0","3","0","0"
"Andy Dirks","(N/A)","OF","169","FA","34","","151.5","1.94","78","219",".251","25.2","89","20","3","1","2","0","3","0","0"
"Dee Strange-Gordon","SEA","2B,OF","170","FA","32","","147.5","2.63","56","224",".304","23.9","81","11","0","0","2","0","1","0","0"
"Franklin Gutierrez","(N/A)","OF","171","FA","37","","147.5","1.6","92","322",".224","21.7","88","14","1","1","3","2","6","0","0"
"Angel Sanchez","LAD","SS","172","FA","37","","142.5","1.3","110","288",".240","25.5","82","11","1","1","10","2","3","0","0"
"Brett Lawrie","(N/A)","2B","173","FA","30","","142","3.3","43","150",".293","33.3","87","21","3","1","2","0","0","1","0"
"John Jaso","(N/A)","1B","174","FA","37","","141.5","1.59","89","246",".224","24.0","87","21","1","0","1","0","9","0","0"
"J.D. Martinez","BOS","UT","175","VP","33","","140","2.64","53","208",".274","27.2","88","19","2","1","0","3","4","0","0"
"Ryan Doumit","(N/A)","C","176","FA","39","","138","1.79","77","218",".303","35.4","104","21","1","0","1","0","5","1","0"
"Paul Goldschmidt","STL","1B","177","NT 4","33","","129.5","2.7","48","156",".250","24.6","74","18","0","0","0","1","4","0","0"
"Jerry Sands","(N/A)","OF","178","FA","33","","129","2.11","61","198",".253","25.1","77","19","1","0","2","1","5","1","0"
"Jason Pridie","ARI","OF","179","FA","37","","127","1.26","101","208",".231","24.2","77","18","0","2","3","1","2","0","0"
"Domonic Brown","(N/A)","OF","180","FA","33","","124.5","2.22","56","184",".245","25.0","72","16","0","1","0","1","2","0","0"
"Mike Fontenot","TB","2B","181","FA","40","","123.5","1.45","85","220",".227","25.4","83","22","1","3","2","4","3","0","0"
"Bryan Petersen","MIL","OF","182","FA","34","","121","1.64","74","204",".265","28.8","79","18","5","2","3","3","4","0","0"
"Jose Altuve","HOU","2B","183","NCNF","30","","118.5","2.08","57","221",".276","20.8","79","13","2","0","5","1","5","0","0"
"Juan Uribe","CLE","3B","184","FA","41","","116","1.51","77","270",".204","18.9","79","16","6","2","0","2","12","0","0"
"Daric Barton","TOR","1B","185","FA","35","","115.5","1.72","67","236",".212","21.9","63","13","2","3","0","3","6","0","0"
"Ezequiel Carrera","(N/A)","OF","186","FA","33","","115","1.69","68","202",".243","17.0","63","11","1","0","7","0","4","0","0"
"Brandon Wood","SD","3B,SS","187","FA","35","","114.5","1.09","105","250",".216","22.0","85","17","0","2","2","1","6","0","0"
"Travis Snider","MIA","OF","188","FA","32","","113.5","2.32","49","187",".225","15.5","65","17","1","1","1","2","5","0","0"
"Brayan Pena","DET","C","189","FA","38","","113","1.57","72","222",".248","20.7","75","14","2","0","0","4","6","0","0"
"Kyle Blanks","(N/A)","1B","190","FA","34","","109.5","1.99","55","170",".229","21.0","69","15","2","0","0","2","3","1","0"
"Buster Posey","SF","C","191","FA","33","","108","2.4","45","162",".284","23.5","63","9","4","3","0","1","4","0","0"
"Brandon Belt","SF","1B","192","MSBC","32","","106.5","1.69","63","187",".225","23.3","77","16","2","1","0","0","3","0","0"
"Jason Kipnis","CHC","2B","193","FA","33","","105","2.92","36","136",".272","24.1","69","17","2","0","0","1","0","0","0"
"Jeff Baker","(N/A)","1B,2B","194","FA","39","","105","1.3","81","201",".269","21.0","77","16","0","0","0","1","8","0","0"
"Lonnie Chisenhall","(N/A)","OF","195","FA","32","","103","1.56","66","212",".255","24.2","88","20","1","1","1","1","3","0","0"
"Salvador Perez","KC","C","196","BART","30","","102.5","2.63","39","148",".331","23.7","70","13","1","0","0","2","5","0","0"
"Michael Martinez","(N/A)","OF","197","FA","38","","102.5","1.16","88","209",".196","15.5","59","10","0","0","5","2","2","0","0"
"Humberto Quintero","(N/A)","C","198","FA","41","","102","1.29","79","262",".240","18.6","83","15","1","2","1","2","10","0","0"
"Johnny Giavotella","CHW","2B","199","FA","33","","98.5","2.14","46","178",".247","16.6","67","15","1","0","0","2","4","0","0"
"Brandon Crawford","SF","SS","200","BFT","33","","96.5","1.46","66","196",".204","16.2","58","10","0","1","1","0","4","1","0"
"Kyle Seager","SEA","3B","201","NT 4","33","","94","1.77","53","182",".258","20.7","69","16","2","0","2","2","4","0","0"
"Josh Harrison","WSH","2B","202","FA","33","","93","1.43","65","195",".272","17.7","73","16","0","0","5","1","6","0","0"
"Chris Davis","BAL","1B","203","FA","34","","89.5","1.52","59","199",".266","23.6","80","17","0","1","0","0","4","0","0"
"Brandon Allen","(N/A)","1B","204","FA","34","","89.5","1.72","52","175",".200","19.4","66","17","1","3","0","1","0","0","0"
"Rene Tosoni","MIL","OF","205","FA","34","","89.5","1.49","60","172",".203","16.1","59","13","3","0","0","0","2","1","0"
"Elliot Johnson","LAD","OF","206","FA","36","","86.5","1.24","70","160",".194","11.2","54","13","0","0","6","1","3","0","0"
"Jimmy Paredes","(N/A)","2B,OF","207","FA","32","","85.5","1.86","46","168",".286","19.1","66","12","0","0","1","1","3","0","0"
"Chris Nelson","KC","3B","208","FA","35","","85","1.35","63","180",".250","17.6","69","15","1","1","0","1","5","0","0"
"Jose Constanza","TB","OF","209","FA","37","","84","2","42","109",".303","12.5","42","4","0","0","4","0","1","0","0"
"Mike Trout","LAA","OF","210","BART","29","","83","2.08","40","123",".220","13.6","48","11","2","0","0","1","2","0","0"
"Tyler Colvin","LAD","OF","211","FA","35","","83","1.04","80","206",".150","12.8","63","17","0","3","1","1","2","0","0"
"Hank Conger","(N/A)","C","212","FA","32","","83","1.41","59","177",".209","18.1","63","14","1","2","2","0","2","0","0"
"Travis Buck","SD","OF","213","FA","37","","81","1.62","50","149",".228","13.4","51","13","2","0","0","1","3","0","0"
"Francisco Cervelli","MIA","C","214","FA","34","","79.5","1.85","43","124",".266","14.8","49","8","2","0","1","1","4","1","0"
"Drew Butera","COL","C","215","FA","37","","79","0.85","93","234",".167","10.5","56","12","2","0","6","1","7","0","0"
"Jeff Mathis","TEX","C","216","FA","37","","78.5","0.84","93","247",".174","13.4","64","15","2","1","14","3","3","0","0"
"Dioner Navarro","(N/A)","C","217","FA","36","","76","1.19","64","176",".193","15.8","57","12","1","4","3","2","3","0","0"
"Tyler Greene","PHI","2B","218","FA","37","","74.5","1.28","58","104",".212","10.1","30","6","4","2","0","0","3","0","0"
"Todd Frazier","NYM","3B","219","FA","34","","73.5","1.79","41","112",".232","14.0","49","11","2","0","0","0","2","0","0"
"Justin Sellers","SD","SS","220","FA","34","","72.5","2.01","36","123",".203","11.1","37","10","2","0","1","1","1","0","0"
