"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"Alejandro De Aza","(N/A)","OF","44","FA","36","","395.5","2.58","153","607","84","160","27","4","17","62","50","147","20","8",".264",".323",".405",".728"
"Nick Markakis","ATL","OF","45","VP","37","","394.5","2.47","160","634","89","172","24","0","10","59","55","76","1","2",".271",".329",".356",".685"
"Nate McLouth","(N/A)","OF","46","FA","39","","394","2.7","146","531","76","137","31","4","12","36","53","86","30","7",".258",".329",".399",".729"
"Brett Gardner","NYY","OF","47","FA","37","","391.5","2.7","145","539","81","147","33","10","8","52","52","127","24","8",".273",".344",".416",".759"
"Ryan Zimmerman","WSH","1B","48","FA","36","","391.5","2.66","147","568","84","156","26","2","26","79","60","133","6","0",".275",".344",".465",".809"
"Carlos Gonzalez","(N/A)","OF","49","FA","35","","391.5","3.56","110","391","72","118","23","6","26","70","41","118","21","3",".302",".367",".591",".958"
"Yadier Molina","STL","C","50","NT 4","38","","391","2.88","136","505","68","161","44","0","12","80","30","55","3","2",".319",".359",".477",".836"
"Jonathan Lucroy","PHI","C","51","FA","34","","390","2.65","147","521","59","146","25","6","18","82","46","69","9","1",".280",".340",".455",".795"
"Domonic Brown","(N/A)","OF","52","FA","33","","390","2.81","139","496","65","135","21","4","27","83","39","97","8","3",".272",".324",".494",".818"
"Jose Altuve","HOU","2B","53","NCNF","30","","385.5","2.54","152","626","64","177","31","2","5","52","32","85","35","13",".283",".316",".363",".678"
"J.J. Hardy","(N/A)","SS","54","FA","38","","383.5","2.41","159","601","66","158","27","0","25","76","38","73","2","1",".263",".306",".433",".738"
"Buster Posey","SF","C","55","FA","33","","382","2.58","148","520","61","153","34","1","15","72","60","70","2","1",".294",".371",".450",".821"
"Austin Jackson","(N/A)","OF","56","FA","33","","379.5","2.94","129","552","99","150","30","7","12","49","52","129","8","4",".272",".337",".417",".754"
"Starling Marte","MIA","OF","57","NT 4","32","","379","2.81","135","510","83","143","26","10","12","35","25","138","41","15",".280",".343",".441",".784"
"Brian Dozier","(N/A)","2B","58","FA","33","","379","2.58","147","558","72","136","33","4","18","66","51","120","14","7",".244",".312",".414",".726"
"Gerardo Parra","WSH","OF","59","FA","33","","378.5","2.43","156","601","79","161","43","4","10","48","48","100","10","10",".268",".323",".403",".726"
"David Wright","(N/A)","3B","60","FA","37","","376","3.36","112","430","63","132","23","6","18","58","55","79","17","3",".307",".390",".514",".904"
"Brandon Belt","SF","1B","61","MSBC","32","","374.5","2.5","150","509","76","147","39","4","17","67","52","125","5","2",".289",".360",".481",".841"
"Andrelton Simmons","(N/A)","SS","62","CP DLT","31","","373","2.38","157","606","76","150","27","6","17","59","40","55","6","5",".248",".296",".396",".692"
"Jon Jay","ARI","OF","63","FA","35","","370.5","2.36","157","548","75","151","27","2","7","67","52","103","10","5",".276",".351",".370",".721"
"Brandon Moss","(N/A)","1B","64","FA","37","","368","2.54","145","446","73","114","23","3","30","87","50","140","4","2",".256",".337",".522",".859"
"Alexei Ramirez","SD","SS","65","FA","39","","367.5","2.33","158","637","68","181","39","2","6","48","26","68","30","9",".284",".313",".380",".693"
"Yoenis Cespedes","NYM","UT","66","FA","35","","365","2.7","135","529","74","127","21","4","26","80","37","137","7","7",".240",".294",".442",".737"
"Eric Young Jr.","(N/A)","OF","67","FA","35","","364","2.46","148","539","70","134","27","7","2","32","46","100","46","11",".249",".310",".336",".645"
"Josh Hamilton","(N/A)","OF","68","FA","39","","363","2.4","151","576","73","144","32","5","21","79","47","158","4","0",".250",".307",".432",".739"
"James Loney","NYM","1B","69","FA","36","","362.5","2.29","158","549","54","164","33","0","13","75","44","77","3","1",".299",".348",".430",".778"
"Bryce Harper","PHI","OF","70","Nunez","28","","361.5","3.06","118","424","71","116","24","3","20","58","61","94","11","4",".274",".368",".486",".854"
"Adam Lind","(N/A)","1B","71","FA","37","","353","2.47","143","465","67","134","26","1","23","67","51","103","1","0",".288",".357",".497",".854"
"Daniel Nava","(N/A)","OF","72","FA","37","","351","2.62","134","458","77","139","29","0","12","66","51","93","0","2",".303",".385",".445",".831"
"Jimmy Rollins","(N/A)","SS","73","FA","42","","348","2.17","160","600","65","151","36","2","6","39","59","93","22","6",".252",".318",".348",".667"
"Matt Wieters","STL","C","74","FA","34","","345","2.33","148","523","59","123","29","0","22","79","43","104","2","0",".235",".287",".417",".704"
"Pedro Alvarez","(N/A)","1B","75","FA","33","","341","2.24","152","558","70","130","22","2","36","100","48","186","2","0",".233",".296",".473",".770"
"Todd Frazier","NYM","3B","76","FA","34","","338.5","2.26","150","531","63","124","29","3","19","73","50","125","6","5",".234",".314",".407",".721"
"Chris Carter","(N/A)","1B","77","FA","33","","334","2.26","148","506","64","113","24","2","29","82","70","212","2","0",".223",".320",".451",".770"
"Leonys Martin","CLE","OF","78","FA","32","","333","2.27","147","457","66","119","21","6","8","49","28","104","36","9",".260",".313",".385",".698"
"Nate Schierholtz","DET","OF","79","FA","36","","332","2.42","137","462","56","116","32","3","21","68","29","94","6","3",".251",".301",".470",".770"
"Dexter Fowler","STL","OF","80","FA","34","","329.5","2.77","119","415","71","109","18","3","12","42","65","105","19","9",".263",".369",".407",".776"
"Michael Bourn","ARI","OF","81","FA","37","","329","2.53","130","525","75","138","21","6","6","50","40","132","23","12",".263",".316",".360",".676"
"Pablo Sandoval","ATL","UT","82","FA","34","","324.5","2.3","141","525","52","146","27","2","14","79","47","79","0","0",".278",".341",".417",".758"
"Erick Aybar","(N/A)","SS","83","FA","36","","321","2.33","138","550","68","149","33","5","6","54","23","59","12","7",".271",".301",".382",".683"
"Nelson Cruz","(N/A)","UT","84","Ass","40","","320.5","2.94","109","413","49","110","18","0","27","76","35","109","5","1",".266",".327",".506",".833"
"Giancarlo Stanton","NYY","UT","85","VP","31","","320","2.76","116","425","62","106","26","0","24","62","74","140","1","0",".249",".365",".480",".845"
"Yunel Escobar","(N/A)","3B","86","FA","38","","319","2.08","153","508","61","130","27","1","9","56","57","73","4","4",".256",".332",".366",".698"
"Neil Walker","PHI","2B","87","FA","35","","318","2.39","133","478","62","120","24","4","16","53","50","85","1","2",".251",".339",".418",".757"
"Salvador Perez","KC","C","88","BART","30","","317.5","2.3","138","496","48","145","25","3","13","79","21","63","0","0",".292",".323",".433",".757"
"Yasiel Puig","(N/A)","OF","89","FA","30","","317","3.05","104","382","66","122","21","2","19","42","36","97","11","8",".319",".391",".534",".925"
"Asdrubal Cabrera","WSH","1B","90","MSBC","35","","316","2.32","136","508","66","123","35","2","14","64","35","114","9","3",".242",".299",".402",".700"
"Chris Denorfia","(N/A)","OF","91","FA","40","","313.5","2.18","144","473","67","132","21","2","10","47","42","84","11","0",".279",".337",".395",".732"
"Chase Headley","(N/A)","3B","92","FA","36","","312.5","2.22","141","520","59","130","35","2","13","50","67","142","8","4",".250",".347",".400",".747"
"Jason Castro","SD","C","93","FA","33","","310","2.58","120","435","63","120","35","1","18","56","50","130","2","1",".276",".350",".485",".835"
"Matt Joyce","MIA","OF","94","FA","36","","309.5","2.21","140","413","61","97","22","0","18","47","59","87","7","3",".235",".328",".419",".747"
"Hanley Ramirez","CLE","1B","95","FA","36","","309.5","3.6","86","304","62","105","25","2","20","57","27","52","10","2",".345",".402",".638","1.040"
"A.J. Pierzynski","ATL","C","96","FA","43","","307.5","2.29","134","503","48","137","24","1","17","70","11","76","1","1",".272",".297",".425",".722"
"Wilin Rosario","(N/A)","C,1B","97","FA","31","","307","2.54","121","449","63","131","22","1","21","79","15","109","4","1",".292",".315",".486",".801"
"Matt Dominguez","(N/A)","3B","98","FA","31","","305.5","2.01","152","543","56","131","25","0","21","77","30","96","0","1",".241",".286",".403",".690"
"Jedd Gyorko","MIL","1B","99","FA","32","","304.5","2.44","125","486","62","121","26","0","23","63","33","123","1","1",".249",".301",".444",".745"
"Zack Cozart","(N/A)","SS","100","FA","35","","301","1.99","151","567","74","144","30","3","12","63","26","102","0","0",".254",".284",".381",".665"
"Chris Johnson","CHW","1B","101","FA","36","","301","2.12","142","514","54","165","34","0","12","68","29","116","0","0",".321",".358",".457",".816"
"Mitch Moreland","SD","1B","102","FA","35","","300","2.04","147","462","60","107","24","1","23","60","45","117","0","0",".232",".299",".437",".736"
"Everth Cabrera","(N/A)","SS","103","FA","34","","299.5","3.15","95","381","54","108","15","5","4","31","41","69","37","12",".283",".355",".381",".736"
"Omar Infante","ATL","2B","104","FA","38","","297","2.52","118","453","54","144","24","3","10","51","20","44","5","2",".318",".345",".450",".795"
"AJ Pollock","LAD","OF","105","MBC","33","","296","2.16","137","443","64","119","28","5","8","38","33","82","12","3",".269",".322",".409",".730"
"Albert Pujols","LAA","1B","106","MSBC","40","","295","2.98","99","391","49","101","19","0","17","64","40","55","1","1",".258",".330",".437",".767"
"Russell Martin","(N/A)","C","107","FA","37","","293","2.31","127","438","51","99","21","0","15","55","58","108","9","5",".226",".327",".377",".703"
"Howie Kendrick","WSH","UT","108","FA","37","","292.5","2.4","122","478","55","142","21","4","13","54","23","89","6","3",".297",".335",".439",".775"
"Ryan Doumit","(N/A)","C","109","FA","39","","291","2.16","135","485","49","120","28","1","14","55","48","99","1","0",".247",".314",".396",".710"
"Carl Crawford","(N/A)","OF","110","FA","39","","288.5","2.49","116","435","62","123","30","3","6","31","28","66","15","4",".283",".329",".407",".736"
"Jason Heyward","CHC","OF","111","ZL","31","","287.5","2.76","104","382","67","97","22","1","14","38","48","73","2","4",".254",".349",".427",".776"
"Alcides Escobar","(N/A)","SS","112","FA","34","","287.5","1.82","158","607","57","142","20","4","4","52","19","84","22","0",".234",".259",".300",".559"
"Justin Smoak","SF","1B","113","FA","34","","285.5","2.18","131","454","53","108","19","0","20","50","64","119","0","0",".238",".334",".412",".746"
"Michael Saunders","(N/A)","OF","114","FA","34","","285.5","2.16","132","406","59","96","23","3","12","46","54","118","13","5",".236",".323",".397",".720"
"Gregor Blanco","(N/A)","OF","115","FA","36","","282","2","141","452","50","120","17","6","3","41","52","95","14","9",".265",".341",".350",".690"
"Starlin Castro","WSH","2B","116","MBC","30","","277","1.72","161","666","59","163","34","2","10","44","30","129","9","6",".245",".284",".347",".631"
"Jhonny Peralta","(N/A)","3B,SS","117","FA","38","","276.5","2.58","107","409","50","124","30","0","11","55","35","98","3","3",".303",".358",".457",".815"
"Justin Ruggiano","SF","OF","118","FA","38","","275.5","2.15","128","424","49","94","18","1","18","50","41","114","15","8",".222",".298",".396",".694"
"Alberto Callaspo","(N/A)","2B,3B","119","FA","37","","275","2.02","136","453","52","117","20","0","10","58","53","47","0","2",".258",".333",".369",".702"
"Rajai Davis","(N/A)","OF","120","FA","40","","273","2.53","108","331","49","86","16","2","6","24","21","67","45","6",".260",".312",".375",".687"
"JB Shuck","(N/A)","OF","121","FA","33","","271.5","2.1","129","437","60","128","20","3","2","39","27","54","8","4",".293",".331",".366",".697"
"Josh Reddick","(N/A)","OF","122","Ass","33","","268","2.35","114","385","54","87","19","2","12","56","46","86","9","2",".226",".307",".379",".686"
"Nolan Arenado","COL","3B","123","ZL","29","","267.5","2.01","133","486","49","130","29","4","10","52","23","72","2","0",".267",".301",".405",".706"
"Andy Dirks","(N/A)","OF","124","FA","34","","267","2.04","131","438","60","112","16","2","9","37","42","84","7","1",".256",".323",".363",".686"
"David Murphy","(N/A)","OF","125","FA","39","","265","1.87","142","436","51","96","26","1","13","45","37","59","1","4",".220",".282",".374",".656"
"Brian McCann","(N/A)","C","126","FA","36","","264.5","2.59","102","356","43","91","13","0","20","57","39","66","0","1",".256",".336",".461",".796"
"Wil Myers","SD","OF","127","NT 13","30","","261","2.97","88","335","50","98","23","0","13","53","33","91","5","2",".293",".354",".478",".831"
"David DeJesus","(N/A)","OF","128","FA","40","","257.5","2.11","122","391","52","98","29","3","8","38","39","79","5","3",".251",".327",".402",".729"
"Juan Uribe","CLE","3B","129","FA","41","","255.5","1.94","132","388","47","108","22","2","12","50","30","81","5","0",".278",".331",".438",".769"
"Drew Stubbs","(N/A)","OF","130","FA","36","","255.5","1.75","146","430","59","100","21","2","10","45","44","141","17","2",".233",".305",".360",".665"
"Lyle Overbay","(N/A)","1B","131","FA","43","","253.5","1.79","142","445","43","107","24","1","14","59","36","111","2","0",".240",".295",".393",".688"
"Dayan Viciedo","CHW","OF","132","FA","31","","253.5","2.04","124","441","43","117","23","3","14","56","24","98","0","0",".265",".304",".426",".731"
"Lorenzo Cain","MIL","OF","133","FA","34","","251","2.18","115","399","54","100","21","3","4","46","33","90","14","6",".251",".310",".348",".658"
"Darwin Barney","(N/A)","2B","134","FA","35","","249","1.77","141","501","49","104","25","1","7","41","36","64","4","2",".208",".266",".303",".569"
"Dan Uggla","(N/A)","2B","135","FA","40","","249","1.83","136","448","60","80","10","3","22","55","77","171","2","0",".179",".309",".362",".671"
"Evan Gattis","(N/A)","C","136","FA","34","","247.5","2.36","105","354","44","86","21","0","21","65","21","81","0","0",".243",".291",".480",".771"
"Brandon Crawford","SF","SS","137","BFT","33","","244.5","1.64","149","499","52","124","24","3","9","43","42","96","1","2",".248",".311",".363",".674"
"Aaron Hill","(N/A)","3B","138","FA","38","","242.5","2.79","87","327","45","95","21","1","11","41","29","48","1","4",".291",".356",".462",".818"
"Trevor Plouffe","(N/A)","3B","139","FA","34","","242","1.88","129","477","44","121","22","1","14","52","34","112","2","1",".254",".309",".392",".701"
"Brett Lawrie","(N/A)","2B","140","FA","30","","239.5","2.24","107","401","41","102","18","3","11","46","30","68","9","5",".254",".315",".397",".712"
"Emilio Bonifacio","(N/A)","OF","141","FA","35","","239.5","1.76","136","420","54","102","22","3","3","31","30","103","28","8",".243",".295",".331",".625"
"Kelly Johnson","NYM","2B,3B,OF","142","FA","38","","236","2","118","366","41","86","12","2","16","52","35","99","7","4",".235",".305",".410",".715"
"Jonny Gomes","(N/A)","OF","143","FA","40","","235.5","2.03","116","312","49","77","17","0","13","52","43","89","1","0",".247",".344",".426",".771"
"Garrett Jones","(N/A)","1B","144","FA","39","","232.5","1.61","144","403","41","94","26","2","15","51","31","101","2","0",".233",".289",".419",".708"
"DJ LeMahieu","(N/A)","2B","145","BART","32","","229","2.1","109","404","39","113","21","3","2","28","19","67","18","7",".280",".311",".361",".673"
"Mike Aviles","(N/A)","2B,SS","146","FA","39","","229","1.85","124","361","54","91","15","0","9","46","15","41","8","5",".252",".282",".368",".650"
"Carlos Quentin","(N/A)","OF","147","FA","38","","228","2.78","82","276","42","76","21","0","13","44","31","55","0","0",".275",".362",".493",".855"
"Seth Smith","(N/A)","OF","148","FA","38","","226.5","1.94","117","368","49","93","27","0","8","40","39","94","0","0",".253",".329",".391",".721"
"Matt Adams","(N/A)","UT","149","FA","32","","225","2.08","108","296","46","84","14","0","17","51","23","80","0","1",".284",".335",".503",".839"
"Mike Moustakas","CIN","2B","150","NT 13","32","","221","1.62","136","472","42","110","26","0","12","42","32","83","2","4",".233",".287",".364",".651"
"Ryan Raburn","(N/A)","OF","151","FA","39","","220.5","2.56","86","243","40","66","18","0","16","55","29","67","0","0",".272",".357",".543",".901"
"Eric Sogard","MIL","3B","152","FA","34","","220","1.69","130","368","45","98","24","3","2","35","27","51","10","5",".266",".322",".364",".686"
"Chris Young","(N/A)","OF","153","FA","37","","219.5","2.05","107","335","46","67","18","3","12","40","36","93","10","3",".200",".280",".379",".659"
"Yonder Alonso","SD","1B","154","FA","33","","217.5","2.24","97","334","34","94","11","0","6","45","32","47","6","0",".281",".341",".368",".710"
"Miguel Montero","(N/A)","C","155","FA","37","","216.5","1.87","116","413","44","95","14","0","11","42","51","110","0","0",".230",".318",".344",".662"
"John Mayberry Jr.","(N/A)","OF","156","FA","36","","213.5","1.59","134","353","47","80","23","1","11","39","27","90","5","3",".227",".286",".391",".677"
"Lucas Duda","(N/A)","1B","157","FA","34","","211.5","2.12","100","318","42","71","16","0","15","33","55","102","0","3",".223",".352",".415",".767"
"Yan Gomes","WSH","C","158","FA","33","","210","2.39","88","293","45","86","18","2","11","38","18","67","2","0",".294",".345",".481",".826"
"Cody Ross","(N/A)","OF","159","FA","39","","209.5","2.23","94","317","33","88","17","1","8","38","25","50","3","2",".278",".331",".413",".745"
"Conor Gillaspie","(N/A)","3B","160","FA","33","","209","1.56","134","408","46","100","14","3","13","40","37","79","0","1",".245",".305",".390",".695"
"Chris Iannetta","(N/A)","C","161","FA","37","","209","1.82","115","325","40","73","15","0","11","39","68","100","0","1",".225",".358",".372",".731"
"Jose Tabata","TOR","OF","162","FA","32","","209","1.97","106","308","35","87","17","5","6","33","23","45","3","1",".282",".342",".429",".771"
"Adeiny Hechavarria","ATL","2B","163","FA","31","","208","1.41","148","543","30","123","14","8","3","42","30","96","11","10",".227",".267",".298",".565"
"Luis Valbuena","(N/A)","3B","164","FA","35","","207.5","1.92","108","331","34","72","15","1","12","37","53","63","1","4",".218",".331",".378",".708"
"Dustin Ackley","(N/A)","OF","165","FA","32","","205.5","1.82","113","384","40","97","18","2","4","31","37","72","2","3",".253",".319",".341",".660"
"Brandon Barnes","(N/A)","OF","166","FA","34","","205.5","1.51","136","408","46","98","17","1","8","41","21","127","11","11",".240",".289",".346",".635"
"Angel Pagan","SF","OF","167","FA","39","","205","2.89","71","280","44","79","16","3","5","30","23","36","9","4",".282",".334",".414",".749"
"Ben Revere","(N/A)","OF","168","FA","32","","203","2.31","88","315","37","96","9","3","0","17","16","36","22","8",".305",".338",".352",".691"
"Jeff Keppinger","(N/A)","3B","169","FA","40","","201.5","1.72","117","423","38","107","13","1","4","40","20","41","0","1",".253",".283",".317",".600"
"Wilson Ramos","NYM","C","170","MBC","33","","201","2.58","78","287","29","78","9","0","16","59","15","42","0","1",".272",".307",".470",".777"
"Welington Castillo","WSH","C","171","FA","33","","199","1.76","113","380","41","104","23","0","8","32","34","97","2","0",".274",".349",".397",".746"
"Brad Miller","STL","UT","172","FA","31","","197.5","2.6","76","306","41","81","11","6","8","36","24","52","5","3",".265",".318",".418",".737"
"Nick Franklin","(N/A)","2B","173","FA","29","","197.5","1.94","102","369","38","83","20","1","12","45","42","113","6","1",".225",".303",".382",".686"
"J.P. Arencibia","TB","C","174","FA","34","","196.5","1.42","138","474","45","92","18","0","21","55","18","148","0","2",".194",".227",".365",".592"
"Gordon Beckham","(N/A)","2B","175","FA","34","","196","1.9","103","371","46","99","22","1","5","24","28","56","5","1",".267",".322",".372",".694"
"Melky Cabrera","NYM","OF","176","FA","36","","194.5","2.21","88","344","39","96","15","2","3","30","23","47","2","2",".279",".322",".360",".682"
"Oswaldo Arcia","(N/A)","OF","177","FA","29","","192.5","1.98","97","351","34","88","17","2","14","43","23","117","1","2",".251",".304",".430",".734"
"Jose Iglesias","LAA","SS","178","BART","30","","191.5","1.76","109","350","39","106","16","2","3","29","15","60","5","2",".303",".349",".386",".735"
"Pedro Florimon","(N/A)","SS","179","FA","34","","191.5","1.43","134","403","44","89","17","0","9","44","33","115","15","6",".221",".281",".330",".611"
"Didi Gregorius","PHI","SS","180","Ass","30","","189.5","1.84","103","357","47","90","16","3","7","28","37","65","0","2",".252",".332",".373",".704"
"David Lough","PHI","OF","181","FA","34","","189.5","1.97","96","315","35","90","17","4","5","33","10","52","5","2",".286",".311",".413",".724"
"Gaby Sanchez","(N/A)","1B","182","FA","37","","187.5","1.38","136","264","29","67","18","0","7","36","44","51","1","0",".254",".361",".402",".762"
"Alex Avila","MIN","C","183","FA","33","","186.5","1.83","102","330","39","75","14","1","11","47","44","112","0","0",".227",".317",".376",".693"
"Derek Norris","(N/A)","C","184","FA","31","","186.5","1.9","98","264","41","65","16","0","9","30","37","71","5","0",".246",".345",".409",".754"
"Daniel Descalso","CHC","2B","185","FA","34","","185.5","1.51","123","328","43","78","25","1","5","43","22","56","6","3",".238",".290",".366",".656"
"Alexi Amarista","(N/A)","SS","186","FA","31","","183.5","1.26","146","368","35","87","14","4","5","32","22","57","4","2",".236",".282",".337",".619"
"Anthony Rendon","LAA","3B","187","MBC","30","","183","1.87","98","351","40","93","23","1","7","35","31","69","1","1",".265",".329",".396",".725"
"Ryan Braun","MIL","OF","188","FA","37","","183","3","61","225","30","67","14","2","9","38","27","56","4","5",".298",".372",".498",".869"
"Logan Morrison","MIL","UT","189","FA","33","","183","2.15","85","293","32","71","13","4","6","36","38","56","0","0",".242",".333",".375",".709"
"Jarrod Dyson","CHW","OF","190","FA","36","","182","2.09","87","213","30","55","9","4","2","17","21","45","34","6",".258",".326",".366",".692"
"Juan Lagares","(N/A)","OF","191","FA","31","","182","1.5","121","392","35","95","21","5","4","34","20","96","6","3",".242",".281",".352",".633"
"Dioner Navarro","(N/A)","C","192","FA","36","","179","2.01","89","240","31","72","7","0","13","34","23","36","0","1",".300",".365",".492",".856"
"Carlos Ruiz","(N/A)","C","193","FA","41","","179","1.95","92","310","30","83","16","0","5","37","18","39","1","0",".268",".320",".368",".688"
"Delmon Young","(N/A)","OF","194","FA","35","","177","1.72","103","334","30","87","16","0","11","38","20","78","0","0",".260",".307",".407",".715"
"Rickie Weeks Jr.","(N/A)","OF","195","FA","38","","175","1.68","104","350","40","73","20","1","10","24","40","105","7","3",".209",".306",".357",".663"
"Jordy Mercer","NYY","SS","196","FA","34","","174","1.69","103","333","33","95","22","2","8","27","22","62","3","2",".285",".336",".435",".772"
"Devin Mesoraco","NYM","C","197","FA","32","","173.5","1.68","103","323","31","77","13","0","9","42","24","61","0","2",".238",".287",".362",".649"
"Jose Lobaton","(N/A)","C","198","FA","36","","170.5","1.71","100","277","38","69","15","2","7","32","30","65","0","1",".249",".320",".394",".714"
