"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"Mike Trout","LAA","OF","1","BART","29","","642.5","4.09","157","589","109","190","39","9","27","97","110","136","33","7",".323",".432",".557",".988"
"Miguel Cabrera","DET","UT","2","MSBC","37","","620.5","4.19","148","555","103","193","26","1","44","137","90","94","3","0",".348",".442",".636","1.078"
"Paul Goldschmidt","STL","1B","3","NT 4","33","","608","3.8","160","602","103","182","36","3","36","125","99","145","15","7",".302",".401",".551",".952"
"Chris Davis","BAL","1B","4","FA","34","","584.5","3.65","160","584","103","167","42","1","53","138","72","199","4","1",".286",".370",".634","1.004"
"Andrew McCutchen","PHI","OF","5","MBC","34","","551","3.51","157","583","97","185","38","5","21","84","78","101","27","10",".317",".404",".508",".911"
"Edwin Encarnacion","CHW","UT","6","Nunez","37","","528","3.72","142","530","90","144","29","1","36","104","82","62","7","1",".272",".370",".534",".904"
"Robinson Cano","NYM","2B","7","NCNF","38","","527.5","3.3","160","605","81","190","41","0","27","107","65","85","7","1",".314",".383",".516",".899"
"Adam Jones","ARI","OF","8","FA","35","","515","3.22","160","653","100","186","35","1","33","108","25","136","14","3",".285",".318",".493",".811"
"Shin-Soo Choo","TEX","OF","9","FA","38","","514.5","3.34","154","569","107","162","34","2","21","54","112","133","20","11",".285",".423",".462",".885"
"Matt Carpenter","STL","3B","10","FA","35","","514.5","3.28","157","626","126","199","55","7","11","78","72","98","3","3",".318",".392",".481",".873"
"Joey Votto","CIN","1B","11","VP","37","","511","3.15","162","581","101","177","30","3","24","73","135","138","6","3",".305",".435",".491",".926"
"Dustin Pedroia","BOS","2B","12","FA","37","","502","3.14","160","641","91","193","42","2","9","84","73","75","17","5",".301",".372",".415",".787"
"Alex Rios","(N/A)","OF","13","FA","39","","496","3.18","156","616","83","171","33","4","18","81","41","108","42","7",".278",".324",".432",".756"
"Jacoby Ellsbury","(N/A)","OF","14","FA","37","","492.5","3.68","134","577","92","172","31","8","9","53","47","92","52","4",".298",".355",".426",".781"
"Matt Holliday","(N/A)","OF","15","FA","40","","492.5","3.49","141","520","103","156","31","1","22","94","69","86","6","1",".300",".389",".490",".879"
"Jay Bruce","PHI","OF","16","FA","33","","476.5","2.98","160","626","89","164","43","1","30","109","63","185","7","3",".262",".329",".478",".807"
"Josh Donaldson","MIN","3B","17","MBC","35","","473","2.99","158","579","89","174","37","3","24","93","76","110","5","2",".301",".384",".499",".883"
"Jason Kipnis","CHC","2B","18","FA","33","","467","3.13","149","564","86","160","36","4","17","84","76","143","30","7",".284",".366",".452",".818"
"Freddie Freeman","ATL","1B","19","CP DLT","31","","465","3.16","147","551","89","176","27","2","23","109","66","121","1","0",".319",".396",".501",".897"
"Carlos Gomez","(N/A)","OF","20","FA","35","","463","3.15","147","536","80","152","27","10","24","73","37","146","40","7",".284",".338",".506",".843"
"Coco Crisp","(N/A)","OF","21","FA","41","","457.5","3.49","131","513","93","134","22","3","22","66","61","65","21","5",".261",".335",".444",".779"
"Evan Longoria","SF","3B","22","BFT","35","","455.5","2.85","160","614","91","165","39","3","32","88","70","162","1","0",".269",".343",".498",".842"
"Eric Hosmer","SD","1B","23","BFT","31","","451.5","2.84","159","623","86","188","34","3","17","79","51","100","11","4",".302",".353",".448",".801"
"Alex Gordon","KC","OF","24","FA","36","","444","2.85","156","633","90","168","27","6","20","81","52","141","11","3",".265",".327",".422",".749"
"Daniel Murphy","COL","1B","25","BART","35","","438.5","2.72","161","658","92","188","38","4","13","78","32","95","23","3",".286",".319",".415",".733"
"Ben Zobrist","(N/A)","2B","26","FA","39","","436","2.78","157","612","77","168","36","3","12","71","72","91","11","3",".275",".354",".402",".756"
"Carlos Santana","KC","1B","27","MSBC","34","","431","2.8","154","541","75","145","39","1","20","74","93","110","3","1",".268",".377",".455",".832"
"Justin Upton","LAA","OF","28","FA","33","","428","2.87","149","558","94","147","27","2","27","70","75","161","8","1",".263",".354",".464",".818"
"Elvis Andrus","TEX","SS","29","FA","32","","424.5","2.72","156","620","91","168","17","4","4","67","52","97","42","8",".271",".328",".331",".659"
"Anthony Rizzo","CHC","1B","30","ZL","31","","422.5","2.64","160","606","71","141","40","2","23","80","76","127","6","5",".233",".323",".419",".742"
"Mark Trumbo","(N/A)","UT","31","FA","34","","420","2.64","159","620","85","145","30","2","34","100","54","184","5","2",".234",".294",".453",".747"
"Adrian Gonzalez","(N/A)","1B","32","FA","38","","416.5","2.65","157","583","69","171","32","0","22","100","47","98","1","0",".293",".342",".461",".803"
"Jean Segura","PHI","2B,3B","33","ZL","30","","416","2.85","146","588","74","173","20","10","12","49","25","84","44","13",".294",".329",".423",".752"
"Norichika Aoki","(N/A)","OF","34","FA","38","","412.5","2.66","155","597","80","171","20","3","8","37","55","40","20","12",".286",".356",".370",".726"
"Jose Bautista","(N/A)","OF","35","FA","40","","412.5","3.5","118","452","82","117","24","0","28","73","69","84","7","2",".259",".358",".498",".856"
"Ian Kinsler","(N/A)","2B","36","FA","38","","411.5","3.03","136","545","85","151","31","2","13","72","51","59","15","11",".277",".344",".413",".757"
"Brandon Phillips","(N/A)","2B","37","FA","39","","409","2.71","151","606","80","158","24","2","18","103","39","98","5","3",".261",".310",".396",".706"
"Kyle Seager","SEA","3B","38","NT 4","33","","408.5","2.55","160","615","79","160","32","2","22","69","68","122","9","3",".260",".338",".426",".764"
"Manny Machado","SD","3B","39","Nunez","28","","406.5","2.61","156","667","88","189","51","3","14","71","29","113","6","7",".283",".314",".432",".746"
"Ian Desmond","COL","OF","40","FA","35","","404","2.56","158","600","77","168","38","3","20","80","43","145","21","6",".280",".331",".453",".784"
"Michael Brantley","(N/A)","UT","41","ZL","33","","401.5","2.66","151","556","66","158","26","3","10","73","40","67","17","4",".284",".332",".396",".728"
"Desmond Jennings","(N/A)","OF","42","FA","34","","396","2.85","139","527","82","133","31","6","14","54","64","115","20","8",".252",".334",".414",".748"
"Jed Lowrie","NYM","2B","43","FA","36","","395.5","2.57","154","603","80","175","45","2","15","75","50","91","1","0",".290",".344",".446",".791"
