"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","W","SV","IP","K/9","BB/9","HR/9","GB/FB","HR/FB","BABIPA","ERA","LOB%","FIP"
"Craig Kimbrel","CHC","RP","13","FA","32","","261.5","3.85","4","50","67","13.16","2.69","0.54","1.49","9.30","0.263","1.21",".922","1.97"
"James Shields","(N/A)","SP","14","FA","38","","258.17","7.59","13","0","228.2","7.71","2.68","0.79","1.20","8.51","0.301","3.15",".795","3.51"
"Jordan Zimmermann","DET","SP","15","FA","34","","254.33","7.95","19","0","213.1","6.79","1.69","0.80","1.55","9.50","0.275","3.25",".744","3.40"
"Mike Minor","KC","SP","16","FA","32","","248.17","7.76","13","0","204.2","7.96","2.02","0.97","0.82","8.63","0.274","3.21",".751","3.41"
"Homer Bailey","(N/A)","SP","17","FA","34","","244","7.62","11","0","209","8.57","2.33","0.86","1.45","10.81","0.289","3.49",".737","3.35"
"Bartolo Colon","(N/A)","SP","18","FA","47","","241.33","8.04","18","0","190.1","5.53","1.37","0.66","1.21","6.54","0.295","2.65",".800","3.27"
"Mat Latos","(N/A)","SP","19","FA","33","","241.17","7.54","14","0","210.2","7.99","2.48","0.60","1.46","7.37","0.305","3.16",".746","3.15"
"Zack Greinke","HOU","SP","20","Ass","37","","240.17","8.58","15","0","177.2","7.50","2.33","0.66","1.66","9.22","0.284","2.63",".808","3.27"
"Stephen Strasburg","WSH","SP","21","ZL","32","","239.5","7.98","8","0","183","9.39","2.75","0.79","1.73","11.51","0.266","3.00",".732","3.25"
"Patrick Corbin","WSH","SP","22","NCNF","31","","237.83","7.43","14","0","208.1","7.69","2.33","0.82","1.53","10.11","0.287","3.41",".759","3.47"
"Kenley Jansen","LAD","RP","23","Ass","33","","236.17","3.15","4","28","76.2","13.03","2.11","0.70","0.94","9.09","0.273","1.88",".875","2.03"
"Gio Gonzalez","CHW","SP","24","FA","35","","234.67","7.33","11","0","195.2","8.83","3.50","0.78","1.29","9.34","0.290","3.36",".753","3.45"
"Justin Verlander","HOU","SP","25","Luka","37","","232.83","6.85","13","0","218.1","8.95","3.09","0.78","1.00","7.79","0.317","3.46",".745","3.32"
"Koji Uehara","(N/A)","RP","26","FA","45","","229.33","3.14","4","21","74.1","12.23","1.09","0.61","0.82","6.76","0.189","1.09",".917","1.65"
"Hyun Jin Ryu","TOR","SP","27","VP","33","","229","7.63","14","0","192","7.22","2.30","0.70","1.82","9.38","0.300","3.00",".782","3.28"
"Derek Holland","PIT","SP","28","FA","34","","227","6.88","10","0","213","7.99","2.70","0.85","1.17","8.97","0.311","3.42",".751","3.48"
"Francisco Liriano","(N/A)","SP","29","FA","37","","225.5","8.67","16","0","161","9.11","3.52","0.50","2.00","8.26","0.292","3.02",".775","2.97"
"Joe Nathan","(N/A)","RP","30","FA","46","","225.17","3.36","6","43","64.2","10.16","3.06","0.28","0.69","2.86","0.228","1.39",".872","2.30"
"Chris Tillman","(N/A)","SP","31","FA","32","","223.33","6.77","16","0","206.1","7.81","2.97","1.44","0.99","14.16","0.271","3.71",".805","4.47"
"Cole Hamels","ATL","SP","32","FA","36","","218","6.61","8","0","220","8.26","2.05","0.86","1.22","9.38","0.301","3.60",".725","3.30"
"Julio Teheran","LAA","SP","33","FA","29","","213.17","7.11","14","0","185.2","8.24","2.18","1.07","0.94","10.09","0.293","3.20",".809","3.74"
"Shelby Miller","MIL","SP","34","FA","30","","211.83","6.83","15","0","173.1","8.78","2.96","1.04","0.95","10.00","0.284","3.06",".801","3.71"
"Aroldis Chapman","NYY","RP","35","BART","32","","210.17","3.09","4","38","63.2","15.83","4.10","0.99","0.87","15.56","0.283","2.54",".861","2.51"
"Jon Lester","CHC","SP","36","FA","36","","204.33","6.19","15","0","213.1","7.47","2.83","0.80","1.32","8.44","0.301","3.75",".737","3.63"
"David Price","LAD","SP","37","ZL","35","","202.17","7.49","10","0","186.2","7.28","1.30","0.77","1.42","8.74","0.299","3.33",".700","3.07"
"Ervin Santana","(N/A)","SP","38","FA","38","","200.5","6.27","9","0","211","6.87","2.18","1.11","1.49","12.81","0.268","3.24",".769","3.98"
"Matt Moore","(N/A)","SP","39","FA","31","","200.33","7.42","17","0","150.1","8.56","4.55","0.84","0.96","8.19","0.263","3.29",".786","3.99"
"Lance Lynn","CHW","SP","40","Ass","33","","200.17","6.07","15","0","201.2","8.84","3.39","0.62","1.27","7.45","0.321","3.97",".718","3.32"
"Clay Buchholz","(N/A)","SP","41","FA","36","","196.83","12.3","12","0","108.1","7.98","2.99","0.33","1.45","4.30","0.255","1.74",".836","2.82"
"Alex Cobb","BAL","SP","42","FA","33","","196.33","8.92","11","0","143.1","8.41","2.83","0.82","2.65","15.48","0.280","2.76",".814","3.40"
"A.J. Griffin","(N/A)","SP","43","FA","32","","194","6.06","14","0","200","7.70","2.43","1.62","0.70","13.33","0.244","3.83",".773","4.59"
"Travis Wood","(N/A)","RP","44","FA","33","","185","5.78","9","0","200","6.48","2.97","0.81","0.77","6.95","0.251","3.10",".774","3.93"
"Andrew Cashner","(N/A)","SP","45","FA","34","","182","5.87","10","0","175","6.58","2.42","0.62","1.86","8.00","0.273","3.09",".724","3.39"
"John Lackey","(N/A)","SP","46","FA","42","","180.83","6.24","10","0","189.1","7.65","1.90","1.24","1.35","13.27","0.282","3.52",".769","3.90"
"Jose Quintana","CHC","SP","47","FA","31","","179.5","5.44","9","0","200","7.38","2.52","1.03","1.18","10.36","0.284","3.51",".766","3.86"
"Jeff Samardzija","SF","SP","48","FA","35","","178.17","5.4","8","0","213.2","9.01","3.29","1.05","1.59","13.59","0.316","4.34",".716","3.82"
"Mark Melancon","ATL","RP","49","BART","35","","178","2.47","3","16","71","8.87","1.01","0.13","3.79","3.03","0.296","1.39",".799","1.68"
"Ernesto Frieri","(N/A)","RP","50","FA","35","","176.17","2.63","2","37","68.2","12.84","3.93","1.44","0.42","12.22","0.297","3.80",".813","3.76"
"Joaquin Benoit","(N/A)","RP","51","FA","43","","175.5","2.66","4","24","67","9.81","2.96","0.67","1.11","8.06","0.263","2.01",".873","2.91"
"R.A. Dickey","(N/A)","SP","52","FA","46","","174.17","5.12","14","0","224.2","7.09","2.84","1.40","1.06","12.92","0.265","4.21",".732","4.62"
"Ricky Nolasco","(N/A)","SP","53","FA","38","","172.83","5.08","13","0","199.1","7.45","2.08","0.77","1.42","9.14","0.304","3.70",".709","3.39"
"Steve Cishek","(N/A)","RP","54","FA","34","","170.17","2.47","4","34","69.2","9.56","2.84","0.39","1.94","6.00","0.282","2.33",".797","2.56"
"David Robertson","PHI","RP","55","FA","35","","166.33","2.38","5","3","66.1","10.45","2.44","0.68","1.71","10.42","0.293","2.04",".875","2.65"
"Tim Lincecum","(N/A)","SP","56","FA","36","","166.17","5.19","10","0","197.2","8.79","3.46","0.96","1.47","12.28","0.306","4.37",".694","3.78"
"Jason Grilli","(N/A)","RP","57","FA","44","","165.5","3.06","0","33","50","13.32","2.34","0.72","0.83","8.51","0.330","2.70",".806","2.01"
"Matt Cain","(N/A)","SP","58","FA","36","","164.33","5.48","8","0","184.1","7.71","2.69","1.12","1.02","11.50","0.263","4.00",".716","3.97"
"Wade Miley","CIN","SP","59","FA","34","","160.17","4.85","10","0","202.2","6.53","2.93","0.93","2.03","12.88","0.299","3.55",".757","4.02"
"Casey Janssen","(N/A)","RP","60","FA","39","","160.17","2.86","4","34","52.2","8.54","2.22","0.51","1.58","6.98","0.254","2.56",".743","2.79"
"Edward Mujica","(N/A)","RP","61","FA","36","","159.67","2.46","2","37","64.2","6.40","0.70","1.25","1.25","12.33","0.267","2.78",".861","3.75"
"Rex Brothers","CHC","RP","62","FA","32","","158.33","2.2","2","19","67.1","10.16","4.81","0.67","1.55","9.43","0.282","1.74",".887","3.40"
"Addison Reed","(N/A)","RP","63","FA","31","","156.83","2.31","5","40","71.1","9.08","2.90","0.76","0.77","6.90","0.265","3.79",".689","3.22"
"Fernando Rodney","(N/A)","RP","64","FA","43","","156.17","2.3","5","37","66.2","11.07","4.86","0.41","1.89","6.52","0.299","3.38",".734","2.88"
"Jim Henderson","(N/A)","RP","65","FA","38","","155","2.54","5","28","60","11.25","3.60","1.20","0.68","12.90","0.263","2.70",".884","3.62"
"Jhoulys Chacin","ATL","SP","66","FA","32","","152.33","4.91","14","0","197.1","5.75","2.78","0.50","1.70","6.36","0.289","3.47",".719","3.51"
"Trevor Rosenthal","SD","RP","67","Luka","30","","151.83","2.05","2","3","75.1","12.90","2.39","0.48","1.36","7.14","0.347","2.63",".767","1.95"
"Mike Leake","ARI","SP","68","FA","33","","151.83","4.9","14","0","192.1","5.71","2.25","0.98","1.71","12.00","0.289","3.37",".777","4.08"
"Jim Johnson","(N/A)","RP","69","FA","37","","151.33","2.05","3","50","70.1","7.17","2.30","0.64","2.67","11.11","0.330","2.94",".789","3.49"
"Ivan Nova","DET","SP","70","FA","33","","150.83","6.56","9","0","139.1","7.49","2.84","0.58","2.05","8.33","0.314","3.10",".798","3.51"
"Jake Peavy","SF","SP","71","FA","39","","150.17","6.53","12","0","144.2","7.53","2.24","1.24","0.75","10.36","0.269","4.17",".700","4.00"
"Sergio Romo","MIN","RP","72","FA","37","","149.83","2.31","5","38","60.1","8.65","1.79","0.75","1.31","8.47","0.277","2.54",".780","2.89"
"Scott Kazmir","(N/A)","SP","73","FA","36","","149.5","5.16","10","0","158","9.23","2.68","1.08","1.16","11.59","0.326","4.04",".734","3.55"
"Tyler Clippard","MIN","RP","74","FA","35","","149","2.07","6","0","71","9.25","3.04","1.14","0.52","9.57","0.172","2.41",".878","3.86"
"Rick Porcello","NYM","SP","75","FA","31","","148.5","4.64","13","0","177","7.22","2.14","0.92","2.40","14.29","0.317","4.32",".698","3.57"
"Tony Cingrani","(N/A)","RP","76","FA","31","","147.17","6.4","7","0","104.2","10.32","3.70","1.20","0.78","12.61","0.245","2.92",".821","3.83"
"Scott Feldman","(N/A)","SP","77","FA","37","","146.67","4.89","12","0","181.2","6.54","2.77","0.94","1.61","11.11","0.262","3.86",".694","4.07"
"Jorge De La Rosa","COL","RP","78","FA","39","","144.67","4.82","16","0","167.2","6.01","3.33","0.59","1.74","7.59","0.310","3.49",".754","3.81"
"Miguel Gonzalez","(N/A)","SP","79","FA","36","","142.83","4.76","11","0","171.1","6.30","2.78","1.26","0.99","11.43","0.261","3.78",".736","4.49"
"Chris Archer","PIT","SP","80","FA","32","","142.17","6.18","9","0","128.2","7.06","2.66","1.05","1.41","11.90","0.254","3.22",".788","4.11"
"Matt Garza","(N/A)","SP","81","FA","37","","141.83","5.91","10","0","155.1","7.88","2.43","1.16","1.11","12.50","0.295","3.82",".734","3.92"
"Corey Kluber","TEX","SP","82","NCNF","34","","141.33","5.44","11","0","147.1","8.31","2.02","0.92","1.63","12.40","0.333","3.85",".729","3.34"
"Drew Smyly","ATL","SP","83","FA","31","","141","2.24","6","2","76","9.59","2.01","0.47","1.18","5.41","0.291","2.37",".806","2.35"
"Marco Estrada","(N/A)","SP","84","FA","37","","138.5","6.6","7","0","128","8.30","2.04","1.34","0.89","12.34","0.264","3.87",".741","3.90"
"Gerrit Cole","NYY","SP","85","ZL","30","","135.33","7.12","10","0","117.1","7.67","2.15","0.54","2.08","8.75","0.313","3.22",".745","2.95"
"Huston Street","(N/A)","RP","86","FA","37","","132.17","2.28","2","33","56.2","7.31","2.22","1.91","0.69","16.90","0.213","2.70",".995","4.96"
"Yovani Gallardo","(N/A)","SP","87","FA","34","","131.17","4.23","12","0","180.2","7.17","3.29","0.90","1.95","12.86","0.303","4.18",".702","3.94"
"Jonathan Papelbon","WSH","RP","88","FA","40","","131.17","2.15","5","29","61.2","8.32","1.61","0.88","1.06","8.45","0.296","2.92",".767","3.09"
"Eric Stults","(N/A)","SP","89","FA","41","","130.67","3.96","11","0","203.2","5.79","1.77","0.80","1.06","6.95","0.306","3.93",".696","3.57"
"Tanner Scheppers","(N/A)","RP","90","FA","33","","130.17","1.71","6","1","76.2","6.93","2.82","0.70","1.67","9.38","0.252","1.88",".844","3.78"
"Felix Doubront","(N/A)","SP","91","FA","33","","128.83","4.44","11","0","162.1","7.71","3.94","0.72","1.30","7.60","0.312","4.32",".699","3.82"
"Mark Buehrle","(N/A)","SP","92","FA","41","","128.17","3.88","12","0","203.2","6.14","2.25","1.06","1.42","10.81","0.306","4.15",".734","4.14"
"Jeff Locke","(N/A)","SP","93","FA","33","","123.83","4.13","10","0","166.1","6.76","4.55","0.60","2.03","8.59","0.283","3.52",".757","4.07"
"Brad Ziegler","(N/A)","RP","94","FA","41","","123","1.58","8","13","73","5.42","2.71","0.37","5.64","10.71","0.260","2.22",".807","3.45"
"Cody Allen","(N/A)","RP","95","FA","32","","122.33","1.59","6","2","70.1","11.26","3.33","0.90","0.68","8.54","0.314","2.43",".846","3.03"
"Tommy Hunter","PHI","RP","96","FA","34","","121.33","1.78","6","4","86.1","7.09","1.46","1.15","1.02","11.00","0.250","2.81",".824","3.73"
"Dan Straily","PHI","SP","97","FA","32","","119.83","4.44","10","0","152.1","7.33","3.37","0.95","0.93","8.70","0.269","3.96",".703","4.09"
"David Carpenter","CIN","RP","98","FA","35","","119.17","2.13","4","0","65.2","10.14","2.74","0.69","1.07","8.62","0.263","1.78",".902","2.88"
"Tommy Milone","(N/A)","SP","99","NCNF","33","","118.83","4.24","12","0","156.1","7.25","2.25","1.44","0.85","12.02","0.284","4.14",".711","4.34"
"Luis Avilan","WSH","RP","100","FA","31","","116.5","1.55","5","0","65","5.26","3.05","0.14","2.27","2.08","0.205","1.52",".836","3.32"
"Jason Vargas","(N/A)","SP","101","FA","37","","116","4.83","9","0","150","6.54","2.76","1.02","1.09","9.44","0.313","4.02",".766","4.13"
"Neal Cotts","WSH","RP","102","FA","40","","115.5","1.99","8","1","57","10.26","2.84","0.32","1.56","4.88","0.250","1.11",".898","2.21"
"Tyson Ross","(N/A)","SP","103","FA","33","","114.5","3.27","3","0","125","8.57","3.17","0.58","2.00","8.79","0.285","3.17",".715","3.24"
"Tony Watson","SF","RP","104","FA","35","","112.67","1.68","3","2","71.2","6.78","1.51","0.63","1.22","6.85","0.230","2.39",".806","3.24"
"Jake McGee","LAD","RP","105","FA","34","","111.17","1.57","5","1","62.2","10.77","3.16","1.15","1.15","13.33","0.288","4.02",".737","3.46"
"Jose Veras","(N/A)","RP","106","FA","40","","109.67","1.64","0","21","62.2","8.62","3.16","0.86","1.01","8.45","0.244","3.02",".767","3.66"
"Joe Smith","HOU","RP","107","FA","36","","109","1.56","6","3","63","7.71","3.29","0.71","1.69","9.62","0.287","2.29",".863","3.65"
"Bud Norris","(N/A)","RP","108","FA","35","","108.67","3.4","10","0","176.2","7.49","3.41","0.87","1.14","8.72","0.337","4.18",".733","3.90"
"Jonathon Niese","(N/A)","SP","109","FA","34","","107.5","4.48","8","0","143","6.61","3.02","0.63","2.00","8.55","0.330","3.71",".724","3.62"
"Hector Santiago","(N/A)","SP","110","FA","33","","106.5","3.13","4","0","149","8.28","4.35","1.03","0.89","9.39","0.291","3.56",".774","4.49"
"Luke Gregerson","(N/A)","RP","111","FA","36","","105.83","1.45","6","4","66.1","8.68","2.44","0.41","1.36","5.08","0.263","2.71",".704","2.74"
"Darren O'Day","ATL","RP","112","FA","38","","105","1.54","5","2","62","8.56","2.18","1.02","0.94","10.00","0.252","2.18",".892","3.62"
"Paco Rodriguez","(N/A)","RP","113","FA","29","","104.83","1.38","3","2","54.1","10.44","3.15","0.83","1.37","12.20","0.216","2.32",".818","3.13"
"Bobby Parnell","(N/A)","RP","114","FA","36","","104.5","2.13","5","22","50","7.92","2.16","0.18","2.14","2.86","0.268","2.16",".685","2.37"
"Sean Doolittle","WSH","RP","115","FA","34","","102","1.46","5","2","69","7.83","1.70","0.52","0.77","4.94","0.266","3.13",".705","2.76"
"Brandon Kintzler","MIA","RP","116","FA","36","","101","1.42","3","0","77","6.78","1.87","0.23","3.17","4.88","0.286","2.69",".711","2.58"
"Santiago Casilla","(N/A)","RP","117","FA","40","","101","1.77","7","2","50","6.84","4.50","0.36","2.14","5.71","0.266","2.16",".823","3.71"
"Joe Kelly","LAD","RP","118","FA","32","","101","2.73","10","0","124","5.73","3.19","0.73","1.91","9.26","0.291","2.69",".824","4.05"
"Justin Wilson","NYM","RP","119","FA","33","","100.67","1.74","6","0","73.2","7.21","3.42","0.49","1.80","6.78","0.232","2.08",".849","3.46"
"Casey Fien","(N/A)","RP","120","FA","37","","100","1.37","5","0","62","10.60","1.74","1.31","0.91","14.06","0.286","3.92",".694","3.20"
"Brett Cecil","(N/A)","RP","121","FA","34","","98.17","1.64","5","1","60.2","10.38","3.41","0.59","1.86","9.52","0.272","2.82",".776","2.93"
"Ryan Cook","(N/A)","RP","122","FA","33","","97.33","1.37","6","2","67.1","8.96","3.34","0.27","1.48","3.28","0.306","2.54",".782","2.78"
"Martin Perez","BOS","SP","123","FA","29","","96.83","4.84","10","0","124.1","6.08","2.68","1.09","1.62","12.40","0.294","3.62",".770","4.27"
"Kevin Siegrist","(N/A)","RP","124","FA","31","","96.67","2.15","3","0","39.2","11.34","4.08","0.23","1.22","3.70","0.195","0.45",".983","2.33"
"Sam LeCure","LAD","RP","125","FA","36","","96.5","1.53","2","1","61","9.74","3.54","0.59","1.28","7.41","0.297","2.66",".821","3.01"
"Ian Kennedy","KC","RP","126","FA","35","","96.33","3.11","7","0","181.1","8.09","3.62","1.34","1.03","13.57","0.299","4.91",".691","4.63"
"Wei-Yin Chen","(N/A)","SP","127","FA","35","","95.5","4.15","7","0","137","6.83","2.56","1.12","0.88","9.94","0.306","4.07",".760","4.08"
"Wily Peralta","(N/A)","RP","128","FA","31","","95.33","2.98","11","0","183.1","6.33","3.58","0.93","1.90","12.26","0.298","4.37",".666","4.34"
"Heath Bell","(N/A)","RP","129","FA","43","","95.17","1.38","5","15","65.2","9.87","2.19","1.64","1.25","17.91","0.341","4.11",".827","4.14"
"Charlie Morton","ATL","SP","130","Ass","37","","94.5","4.73","7","0","116","6.59","2.79","0.47","3.69","9.84","0.311","3.26",".728","3.64"
"Francisco Rodriguez","(N/A)","RP","131","FA","38","","94.17","1.96","3","10","46.2","10.41","2.70","1.35","1.00","15.56","0.307","2.70",".911","3.69"
"Danny Farquhar","(N/A)","RP","132","FA","33","","93.67","2.04","0","16","55.2","12.77","3.56","0.32","1.38","5.13","0.339","4.20",".585","1.90"
"Kelvin Herrera","(N/A)","RP","133","FA","30","","93.33","1.58","5","2","58.1","11.42","3.24","1.39","1.49","19.15","0.281","3.86",".753","3.74"
"J.P. Howell","(N/A)","RP","134","FA","37","","93","1.39","4","0","62","7.84","3.34","0.29","2.13","4.44","0.242","2.03",".823","2.93"
"Zack Wheeler","PHI","SP","135","ZL","30","","93","5.47","7","0","100","7.56","4.14","0.90","1.34","10.20","0.282","3.42",".778","4.21"
"J.J. Hoover","(N/A)","RP","136","FA","33","","93","1.35","5","3","66","9.14","3.55","0.82","0.71","7.89","0.248","2.86",".811","3.51"
"Junichi Tazawa","(N/A)","RP","137","FA","34","","91.83","1.29","5","0","68.1","9.48","1.58","1.19","0.89","12.16","0.324","3.16",".824","3.27"
"Sonny Gray","CIN","SP","138","Luka","31","","91","7.58","5","0","64","9.42","2.81","0.56","2.07","9.09","0.276","2.67",".749","2.75"
"Nathan Eovaldi","BOS","SP","139","NT 13","30","","89.83","4.99","4","0","106.1","6.60","3.39","0.59","1.38","6.60","0.292","3.39",".739","3.64"
"Zach McAllister","LAD","RP","140","FA","33","","89.83","3.74","9","0","134.1","6.77","3.28","0.87","0.94","7.65","0.295","3.75",".726","4.07"
"Alex Torres","SF","RP","141","FA","33","","89","2.28","4","0","58","9.62","3.10","0.16","1.23","2.13","0.223","1.71",".802","2.37"
"Jesse Crain","CHW","RP","142","FA","39","","88.67","2.33","2","0","36.2","11.29","2.70","0.00","0.87","0.00","0.337","0.74",".860","1.56"
"Bryan Shaw","SEA","RP","143","FA","33","","88.5","1.26","7","1","75","8.76","3.36","0.48","1.28","5.97","0.276","3.24",".706","3.12"
"Nick Vincent","MIA","RP","144","FA","34","","87.83","1.95","6","1","46.1","9.52","2.14","0.19","1.20","2.44","0.283","2.14",".785","2.10"
"Tanner Roark","TOR","SP","145","MBC","34","","87.67","6.26","7","0","53.2","6.71","1.84","0.17","1.97","2.63","0.248","1.51",".798","2.46"
"Yoervis Medina","PHI","RP","146","FA","32","","85.5","1.36","4","1","68","9.40","5.29","0.66","2.00","10.64","0.260","2.91",".826","3.90"
"Michael Wacha","NYM","SP","147","FA","29","","85.17","5.68","4","0","64.2","9.05","2.64","0.70","1.29","8.06","0.276","2.78",".797","2.97"
"Carlos Villanueva","SD","RP","148","FA","37","","83.67","1.78","7","0","128.2","7.20","2.80","0.98","1.13","10.22","0.289","4.06",".726","3.91"
"Craig Stammen","SD","RP","149","FA","36","","83.67","1.52","7","0","81.2","8.71","2.98","0.44","2.46","7.41","0.338","2.76",".759","2.86"
"Alexi Ogando","(N/A)","RP","150","FA","37","","82.83","3.6","7","0","104.1","6.21","3.54","0.95","1.05","9.02","0.256","3.11",".808","4.40"
"Tyler Chatwood","CHC","SP","151","FA","31","","82.33","4.12","8","0","111.1","5.34","3.31","0.40","2.92","6.85","0.316","3.15",".763","3.70"
"Nate Jones","(N/A)","RP","152","FA","34","","82","1.17","4","0","78","10.27","3.00","0.58","1.94","9.26","0.335","4.15",".629","2.68"
"Garrett Richards","(N/A)","SP","153","VP","32","","81.5","1.73","7","1","145","6.27","2.73","0.74","2.78","12.24","0.308","4.16",".686","3.70"
"Robbie Ross Jr.","CIN","RP","154","FA","31","","80.33","1.24","4","0","62.1","8.37","2.74","0.58","1.75","8.33","0.326","3.03",".811","3.22"
"Henderson Alvarez","PIT","SP","155","FA","30","","80.17","4.72","5","0","102.2","5.00","2.37","0.18","2.42","2.82","0.271","3.59",".677","3.23"
"Carlos Torres","(N/A)","RP","156","FA","38","","79.83","2.42","4","0","86.1","7.82","1.77","1.56","1.20","16.48","0.270","3.44",".835","4.34"
"AJ Ramos","COL","RP","157","FA","34","","79.5","1.17","3","0","80","9.68","4.84","0.45","0.98","4.82","0.267","3.15",".729","3.28"
"Alex Wood","LAD","SP","158","FA","29","","79.17","2.55","3","0","77.2","8.92","3.13","0.35","1.86","5.17","0.343","3.13",".752","2.69"
"Josh Collmenter","(N/A)","RP","159","FA","34","","79","1.61","5","0","92","8.32","3.23","0.78","0.73","7.08","0.286","3.13",".778","3.51"
"Adam Ottavino","NYY","RP","160","CP DLT","35","","78.83","1.55","1","0","78.1","8.96","3.56","0.57","1.46","7.14","0.319","2.64",".798","3.19"
"Drew Storen","(N/A)","RP","161","FA","33","","78.67","1.16","4","3","61.2","8.46","2.77","1.02","1.13","10.45","0.324","4.52",".678","3.66"
"Tyler Thornburg","CIN","RP","162","FA","32","","78.17","4.34","3","0","66.2","6.48","3.51","0.14","0.96","1.39","0.277","2.02",".806","3.15"
"Jeremy Hefner","STL","SP","163","FA","34","","78.17","3.26","4","0","130.2","6.82","2.55","1.38","1.28","13.89","0.286","4.34",".678","4.53"
"Chad Qualls","(N/A)","RP","164","FA","42","","78","1.18","5","0","62","7.11","2.76","0.58","3.48","12.12","0.305","2.61",".829","3.36"
"Randall Delgado","(N/A)","RP","165","FA","30","","77.83","3.89","5","0","116.1","6.11","1.78","1.86","1.13","17.65","0.270","4.26",".761","5.03"
"Johnny Cueto","SF","SP","166","VP","34","","77.67","7.06","5","0","60.2","7.57","2.67","1.04","1.91","15.22","0.239","2.82",".815","3.85"
"Jean Machi","(N/A)","RP","167","FA","38","","76","1.49","3","0","53","8.66","2.04","0.34","2.08","5.26","0.303","2.38",".779","2.34"
"Dale Thayer","(N/A)","RP","168","FA","39","","75.5","1.09","3","1","65","8.86","3.05","1.11","1.14","12.31","0.298","3.32",".808","3.83"
"Shawn Kelley","(N/A)","RP","169","FA","36","","75.33","1.32","4","0","53.1","11.98","3.88","1.35","0.74","13.11","0.312","4.39",".714","3.67"
"Jordan Walden","STL","RP","170","FA","33","","75","1.5","4","1","47","10.34","2.68","0.77","0.72","7.02","0.294","3.45",".723","2.86"
"Charlie Furbush","(N/A)","RP","171","FA","34","","74.5","1.05","2","0","65","11.08","4.02","0.69","1.02","7.81","0.267","3.74",".644","3.11"
"Manny Parra","(N/A)","RP","172","FA","38","","74.5","1.31","2","0","46","10.96","2.93","0.98","1.39","13.89","0.324","3.33",".776","3.11"
"Oliver Perez","CLE","RP","173","FA","39","","74.5","1.22","3","2","53","12.57","4.42","1.02","0.69","10.91","0.364","3.74",".787","3.30"
"Craig Breslow","(N/A)","RP","174","FA","40","","74.17","1.22","5","0","59.2","4.98","2.72","0.45","1.28","4.62","0.254","1.81",".818","3.64"
"Antonio Bastardo","ARI","RP","175","FA","35","","73.67","1.53","3","2","42.2","9.91","4.43","0.42","0.63","3.70","0.298","2.32",".824","3.04"
"Alfredo Simon","(N/A)","SP","176","FA","39","","72.67","1.15","6","1","87.2","6.47","2.67","0.82","1.40","9.52","0.241","2.87",".782","4.00"
"Brett Oberholtzer","(N/A)","RP","177","FA","31","","72.67","5.59","4","0","71.2","5.65","1.63","0.88","0.90","7.45","0.260","2.76",".769","3.69"
"Kyle Kendrick","(N/A)","SP","178","FA","36","","72","2.4","10","0","182","5.44","2.32","0.89","1.69","9.84","0.312","4.70",".666","4.06"
"Boone Logan","(N/A)","RP","179","FA","36","","70","1.15","5","0","39","11.54","3.00","1.62","1.32","20.59","0.302","3.23",".856","3.86"
"Seth Maness","(N/A)","RP","180","FA","32","","69.5","1.05","5","1","62","5.08","1.89","0.58","6.14","18.18","0.318","2.32",".845","3.48"
