"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","W","SV","IP","K/9","BB/9","HR/9","GB/FB","HR/FB","BABIPA","ERA","LOB%","FIP"
"Clayton Kershaw","LAD","SP","1","BART","32","","407.5","12.35","16","0","236","8.85","1.98","0.42","1.56","5.88","0.255","1.83",".806","2.43"
"Max Scherzer","WSH","SP","2","BART","36","","373.83","11.68","21","0","214.1","10.08","2.35","0.76","0.83","7.47","0.260","2.90",".744","2.78"
"Yu Darvish","CHC","SP","3","NCNF","34","","346.17","10.82","13","0","209.2","11.89","3.43","1.12","1.11","14.77","0.264","2.83",".839","3.32"
"Adam Wainwright","STL","SP","4","Ass","39","","343.17","10.09","19","0","241.2","8.16","1.30","0.56","1.89","8.38","0.311","2.94",".745","2.59"
"Cliff Lee","(N/A)","SP","5","FA","42","","324.67","10.47","14","0","222.2","8.97","1.29","0.89","1.47","11.64","0.289","2.87",".767","2.87"
"Matt Harvey","KC","SP","6","FA","31","","296.83","11.42","9","0","178.1","9.64","1.56","0.35","1.52","4.83","0.283","2.27",".774","2.05"
"Hisashi Iwakuma","(N/A)","SP","7","FA","39","","288.67","8.75","14","0","219.2","7.58","1.72","1.02","1.52","12.32","0.253","2.66",".819","3.49"
"Anibal Sanchez","WSH","SP","8","FA","36","","286","9.86","14","0","182","9.99","2.67","0.45","1.52","6.21","0.309","2.57",".782","2.44"
"Chris Sale","BOS","SP","9","ZL","31","","285.83","9.53","11","0","214.1","9.49","1.93","0.97","1.48","12.64","0.290","3.07",".770","3.22"
"Madison Bumgarner","ARI","SP","10","Nunez","31","","278.33","8.98","13","0","201.1","8.90","2.77","0.67","1.41","8.57","0.257","2.77",".756","3.09"
"Felix Hernandez","ATL","SP","11","FA","34","","271.83","8.77","12","0","204.1","9.51","2.03","0.66","1.93","10.07","0.316","3.04",".751","2.65"
"Greg Holland","KC","RP","12","ZL","35","","264.5","3.89","2","47","67","13.84","2.42","0.40","1.20","6.67","0.285","1.21",".874","1.40"
