"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","W","SV","IP","K/9","BB/9","HR/9","GB/FB","HR/FB","BABIPA","ERA","LOB%","FIP"
"Justin Verlander","HOU","SP","1","Luka","37","","480.5","14.13","21","0","223","12.11","1.70","1.45","0.88","17.31","0.219","2.58",".884","3.14"
"Gerrit Cole","NYY","SP","2","ZL","30","","476.33","14.43","20","0","212.1","13.82","2.03","1.23","1.11","18.24","0.276","2.50",".833","2.52"
"Shane Bieber","CLE","SP","3","NT 4","25","","352.33","10.36","15","0","214.1","10.88","1.68","1.30","1.44","18.45","0.298","3.28",".774","3.20"
"Jacob deGrom","NYM","SP","4","NT 4","32","","352","11","11","0","204","11.25","1.94","0.84","1.44","12.58","0.285","2.43",".818","2.55"
"Stephen Strasburg","WSH","SP","5","ZL","32","","333","10.09","18","0","209","10.81","2.41","1.03","2.07","18.60","0.276","3.32",".765","3.13"
"Charlie Morton","ATL","SP","6","Ass","37","","311.17","9.43","16","0","194.2","11.10","2.64","0.69","1.86","11.90","0.299","3.05",".752","2.69"
"Patrick Corbin","WSH","SP","7","NCNF","31","","310.5","9.41","14","0","202","10.60","3.12","1.07","1.77","16.78","0.295","3.25",".773","3.36"
"Jack Flaherty","STL","SP","8","MSBC","25","","307.83","9.33","11","0","196.1","10.59","2.52","1.15","1.11","14.62","0.244","2.75",".833","3.34"
"Max Scherzer","WSH","SP","9","BART","36","","302.33","11.2","11","0","172.1","12.69","1.72","0.94","1.31","13.74","0.322","2.92",".787","2.32"
"Zack Greinke","HOU","SP","10","Ass","37","","300.17","9.1","18","0","208.2","8.07","1.29","0.91","1.63","12.80","0.274","2.93",".757","3.09"
"Lucas Giolito","CHW","SP","11","MSBC","26","","293.17","10.11","14","0","176.2","11.62","2.90","1.22","0.96","15.38","0.274","3.41",".777","3.31"
"Walker Buehler","LAD","SP","12","NT 4","26","","286.83","9.56","14","0","182.1","10.61","1.83","0.99","1.36","13.51","0.292","3.26",".710","2.88"
"Clayton Kershaw","LAD","SP","13","BART","32","","282.33","9.74","16","0","178.1","9.54","2.07","1.41","1.57","19.86","0.267","3.03",".840","3.73"
"Hyun Jin Ryu","TOR","SP","14","VP","33","","282.17","9.73","14","0","182.2","8.03","1.18","0.84","2.28","14.53","0.282","2.32",".822","2.98"
"Luis Castillo","CIN","SP","15","BFT","28","","277.17","8.66","15","0","190.2","10.67","3.73","1.04","2.19","18.64","0.265","3.40",".767","3.57"
"Lance Lynn","CHW","SP","16","Ass","33","","270.83","8.21","16","0","208.1","10.63","2.55","0.91","1.19","11.11","0.322","3.67",".744","3.00"
"Sonny Gray","CIN","SP","17","Luka","31","","257.83","8.32","11","0","175.1","10.52","3.49","0.87","1.89","14.91","0.259","2.87",".797","3.30"
"Josh Hader","MIL","RP","18","BART","26","","244.17","4","3","37","75.2","16.41","2.38","1.78","0.43","23.08","0.232","2.62",".932","2.97"
"Mike Clevinger","SD","SP","19","NT 13","29","","236.5","11.26","13","0","126","12.07","2.64","0.71","1.24","10.42","0.306","2.71",".802","2.37"
