"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","W","SV","IP","K/9","BB/9","HR/9","GB/FB","HR/FB","BABIPA","ERA","LOB%","FIP"
"Aaron Nola","PHI","SP","20","NCNF","27","","236.33","6.95","12","0","202.1","10.19","3.56","1.20","1.88","19.29","0.297","3.87",".768","3.91"
"Eduardo Rodriguez","BOS","SP","21","NT 13","27","","235.83","6.94","19","0","203.1","9.43","3.32","1.06","1.64","14.55","0.318","3.81",".776","3.74"
"Jose Berrios","MIN","SP","22","NT 4","26","","229.33","7.17","14","0","200.1","8.76","2.29","1.17","1.24","12.94","0.301","3.68",".735","3.73"
"Trevor Bauer","(N/A)","SP","23","Luka","29","","223.5","6.57","11","0","213","10.69","3.46","1.44","0.99","15.81","0.290","4.48",".703","4.21"
"Mike Minor","KC","SP","24","FA","32","","222.33","6.95","14","0","208.1","8.64","2.94","1.30","1.10","13.64","0.288","3.59",".803","4.12"
"Mike Soroka","ATL","SP","25","Nunez","23","","219.17","7.56","13","0","174.2","7.32","2.11","0.72","2.30","12.50","0.282","2.68",".799","3.33"
"Kirby Yates","(N/A)","RP","26","Ass","33","","218.17","3.64","0","41","60.2","14.98","1.93","0.30","1.49","5.13","0.328","1.19",".808","1.18"
"Madison Bumgarner","ARI","SP","27","Nunez","31","","213.67","6.28","9","0","207.2","8.80","1.86","1.30","0.94","13.51","0.292","3.90",".718","3.78"
"Yu Darvish","CHC","SP","28","NCNF","34","","212.67","6.86","6","0","178.2","11.54","2.82","1.66","1.47","24.63","0.268","3.98",".777","4.05"
"Liam Hendriks","(N/A)","RP","29","NT 4","31","","211.5","2.82","4","25","85","13.13","2.22","0.53","0.72","6.25","0.315","1.80",".857","1.75"
"James Paxton","(N/A)","SP","30","ZL","32","","209.17","7.21","15","0","150.2","11.11","3.29","1.37","1.02","15.65","0.315","3.82",".762","3.74"
"Robbie Ray","TOR","SP","31","Nunez","29","","208.83","6.33","12","0","174.1","12.13","4.34","1.55","1.12","21.90","0.315","4.34",".751","4.16"
"Will Smith","ATL","RP","32","FA","31","","205.83","3.27","6","34","65.1","13.22","2.89","1.38","1.23","20.83","0.277","2.76",".887","3.11"
"Chris Sale","BOS","SP","33","ZL","31","","202.83","8.11","6","0","147.1","13.32","2.26","1.47","1.31","21.43","0.311","4.40",".667","3.27"
"Brandon Workman","PHI","RP","34","FA","32","","202.17","2.77","10","16","71.2","13.06","5.65","0.13","2.09","3.03","0.211","1.88",".777","2.34"
"Zack Wheeler","PHI","SP","35","ZL","30","","200.33","6.46","11","0","195.1","8.98","2.30","1.01","1.37","12.09","0.316","3.96",".714","3.36"
"Noah Syndergaard","NYM","SP","36","Luka","28","","198.67","6.21","10","0","197.2","9.20","2.28","1.09","1.64","14.55","0.315","4.28",".689","3.47"
"Matthew Boyd","DET","SP","37","MBC","29","","197.33","6.17","9","0","185.1","11.56","2.43","1.89","0.89","20.10","0.310","4.56",".744","4.20"
"Jake Odorizzi","(N/A)","SP","38","FA","30","","197","6.57","15","0","159","10.08","3.00","0.91","0.88","9.52","0.305","3.51",".755","3.23"
"Max Fried","ATL","SP","39","BFT","26","","192.67","5.84","17","0","165.2","9.40","2.55","1.14","2.82","23.60","0.338","4.02",".743","3.59"
"Domingo German","NYY","SP","40","FA","28","","190.5","7.06","18","0","143","9.63","2.45","1.89","1.03","20.41","0.260","4.03",".787","4.60"
"Felipe Vazquez","(N/A)","RP","41","FA","29","","190.5","3.4","5","28","60","13.50","1.95","0.75","1.32","12.20","0.306","1.65",".906","2.02"
"Aroldis Chapman","NYY","RP","42","BART","32","","188","3.13","3","37","57","13.42","3.95","0.47","1.46","8.57","0.292","2.21",".769","2.16"
"Mike Fiers","OAK","SP","43","FA","35","","186.67","5.66","15","0","184.2","6.14","2.58","1.46","1.11","14.78","0.256","3.90",".785","4.84"
"Kenta Maeda","MIN","SP","44","MBC","32","","184.67","4.99","10","3","153.2","9.90","2.99","1.29","1.13","15.60","0.245","4.04",".716","3.83"
"Chris Paddack","SD","SP","45","CP DLT","24","","179.67","6.91","9","0","140.2","9.79","1.98","1.47","1.09","16.55","0.239","3.33",".769","3.83"
"Kyle Hendricks","CHC","SP","46","Nunez","31","","179.5","5.98","11","0","177","7.63","1.63","0.97","1.30","10.98","0.292","3.46",".718","3.49"
"Roberto Osuna","HOU","RP","47","NT 13","25","","179","2.71","4","38","65","10.11","1.66","1.11","1.13","14.29","0.236","2.63",".816","3.09"
"Taylor Rogers","MIN","RP","48","Nunez","29","","177.5","2.96","2","30","69","11.74","1.43","1.04","1.85","17.02","0.313","2.61",".862","2.73"
"Brandon Woodruff","MIL","SP","49","VP","27","","173.17","7.87","11","0","121.2","10.58","2.22","0.89","1.51","12.90","0.322","3.62",".747","2.88"
"Marcus Stroman","NYM","SP","50","ZL","29","","168.33","5.26","10","0","184.1","7.76","2.83","0.88","2.28","13.74","0.308","3.22",".761","3.59"
"Dakota Hudson","STL","SP","51","Nunez","26","","166.67","5.05","16","1","174.2","7.01","4.43","1.13","3.09","22.92","0.275","3.35",".781","4.80"
"German Marquez","COL","SP","52","NT 13","25","","166","5.93","12","0","174","9.05","1.81","1.50","2.08","24.37","0.308","4.76",".681","3.93"
"Emilio Pagan","SD","RP","53","FA","29","","165.5","2.51","4","20","70","12.34","1.67","1.54","0.84","17.39","0.228","2.31",".948","3.18"
"Brad Hand","CLE","RP","54","Ass","30","","165.33","2.76","6","34","57.1","13.19","2.83","0.94","0.73","11.54","0.364","3.30",".811","2.67"
"Seth Lugo","NYM","RP","55","BART","31","","163.5","2.68","7","6","80","11.70","1.80","0.90","1.26","12.12","0.267","2.70",".745","2.58"
"Frankie Montas","OAK","SP","56","NCNF","27","","158.5","9.91","9","0","96","9.66","2.16","0.75","1.84","11.43","0.297","2.63",".762","2.87"
"Michael Pineda","MIN","SP","57","FA","31","","158.5","6.1","11","0","146","8.63","1.73","1.42","0.97","14.65","0.294","4.01",".748","3.90"
"Anthony DeSclafani","CIN","SP","58","VP","30","","156.67","5.05","9","0","166.2","9.02","2.65","1.57","1.25","17.79","0.276","3.89",".777","4.30"
"Ken Giles","TOR","RP","59","Luka","30","","156","2.94","2","23","53","14.09","2.89","0.85","1.05","12.20","0.301","1.87",".913","2.15"
"Hansel Robles","(N/A)","RP","60","FA","30","","153.67","2.16","5","23","72.2","9.29","1.98","0.74","1.11","9.09","0.283","2.48",".823","2.76"
"Luke Jackson","ATL","RP","61","FA","29","","152.17","2.17","9","18","72.2","13.13","3.22","1.24","3.06","28.57","0.388","3.84",".778","3.12"
"Kenley Jansen","LAD","RP","62","Ass","33","","149.5","2.41","5","33","63","11.43","2.29","1.29","0.86","14.29","0.273","3.71",".736","3.36"
"Will Harris","WSH","RP","63","FA","36","","149","2.19","4","4","60","9.30","2.10","0.90","2.27","16.22","0.247","1.50",".882","3.02"
"Jon Gray","COL","SP","64","MSBC","29","","148.5","5.71","11","0","150","9.00","3.36","1.14","2.23","19.79","0.319","3.84",".759","3.94"
"Steven Matz","NYM","SP","65","MBC","29","","147.83","4.62","11","0","160.1","8.59","2.92","1.52","1.56","18.75","0.304","4.21",".755","4.47"
"Wade Miley","CIN","SP","66","FA","34","","147.33","4.46","14","0","167.1","7.53","3.28","1.24","1.82","16.43","0.289","3.98",".743","4.39"
"Jeff Samardzija","SF","SP","67","FA","35","","147.33","4.6","11","0","181.1","6.95","2.43","1.39","0.94","13.15","0.242","3.52",".769","4.46"
"Hector Neris","PHI","RP","68","FA","31","","147.17","2.16","3","28","67.2","11.84","3.19","1.33","1.37","19.23","0.241","2.93",".836","3.71"
"Chris Bassitt","OAK","SP","69","NT 4","31","","146","5.21","10","0","144","8.81","2.94","1.31","1.23","15.44","0.268","3.81",".765","4.28"
"Julio Teheran","LAA","SP","70","FA","29","","145.17","4.4","10","0","174.2","8.35","4.28","1.13","1.07","12.36","0.270","3.81",".766","4.54"
"Marco Gonzales","SEA","SP","71","MSBC","28","","145","4.26","16","0","203","6.52","2.48","1.02","1.18","9.96","0.295","3.99",".692","4.03"
"Yusmeiro Petit","OAK","RP","72","FA","36","","144","1.8","5","0","83","7.70","1.08","1.19","0.68","10.68","0.214","2.71",".814","3.46"
"Joe Musgrove","PIT","SP","73","NT 13","28","","143.33","4.48","11","0","170.1","8.30","2.06","1.11","1.42","13.04","0.300","4.44",".632","3.69"
"Ian Kennedy","KC","RP","74","FA","35","","142.33","2.26","3","30","63.1","10.37","2.42","0.85","1.38","10.91","0.349","3.41",".788","2.87"
"Giovanny Gallegos","STL","RP","75","Luka","29","","142","2.15","3","1","74","11.31","1.95","1.09","0.74","11.84","0.222","2.31",".873","2.93"
"Masahiro Tanaka","(N/A)","SP","76","BFT","32","","141","4.41","11","0","182","7.37","1.98","1.38","1.54","16.09","0.293","4.45",".704","4.14"
"Joey Lucchesi","SD","SP","77","FA","27","","139.67","4.66","10","0","163.2","8.69","3.08","1.26","1.49","15.54","0.274","4.18",".730","4.05"
"Sergio Romo","MIN","RP","78","FA","37","","139.33","2.14","2","20","60.1","8.95","2.54","1.04","0.92","10.61","0.264","3.43",".709","3.55"
"Jordan Lyles","TEX","RP","79","FA","30","","138","4.93","12","0","141","9.32","3.51","1.60","1.07","16.78","0.286","4.15",".757","4.52"
"Caleb Smith","ARI","SP","80","NT 13","29","","135.83","4.85","10","0","153.1","9.86","3.52","1.94","0.55","16.50","0.252","4.52",".758","4.99"
"Shane Greene","ATL","RP","81","FA","32","","134.67","2.07","0","23","62.2","9.19","2.44","1.15","1.41","14.29","0.239","2.30",".803","3.66"
"Anibal Sanchez","WSH","SP","82","FA","36","","134","4.47","11","0","166","7.27","3.14","1.19","1.21","13.25","0.266","3.85",".749","4.32"
"Ryan Pressly","HOU","RP","83","FA","32","","133.83","2.43","2","3","54.1","11.93","1.99","0.99","2.64","24.00","0.258","2.32",".837","2.54"
"Blake Snell","TB","SP","84","NT 13","28","","133","5.78","6","0","107","12.36","3.36","1.18","1.11","16.09","0.343","4.29",".716","3.19"
"Adam Ottavino","NYY","RP","85","CP DLT","35","","132.83","1.82","6","2","66.1","11.94","5.43","0.68","1.07","8.77","0.286","1.90",".878","3.32"
"Alex Colome","(N/A)","RP","86","Ass","31","","132.5","2.14","4","30","61","8.11","3.39","1.03","1.64","14.89","0.217","2.80",".676","3.96"
"Yonny Chirinos","TB","SP","87","CP DLT","26","","132.33","5.09","9","0","133.1","7.70","1.89","1.55","1.37","18.85","0.246","3.85",".740","4.32"
"Adam Wainwright","STL","SP","88","Ass","39","","132.17","4.26","14","0","171.2","8.02","3.36","1.15","1.91","16.54","0.323","4.19",".765","4.23"
"Matt Barnes","BOS","RP","89","FA","30","","131.33","1.88","5","4","64.1","15.39","5.32","1.12","1.73","21.62","0.341","3.78",".777","3.15"
"Raisel Iglesias","LAA","RP","90","CP DLT","30","","130.5","1.92","3","34","67","11.96","2.82","1.61","0.75","17.91","0.318","4.16",".789","3.79"
"Homer Bailey","(N/A)","SP","91","FA","34","","129.33","4.17","13","0","163.1","8.21","2.92","1.16","1.44","13.82","0.302","4.57",".712","3.98"
"Jon Lester","CHC","SP","92","FA","36","","129.17","4.17","13","0","171.2","8.65","2.73","1.36","1.47","16.46","0.350","4.46",".714","4.13"
"Nick Anderson","TB","RP","93","Luka","30","","129","1.9","5","1","65","15.23","2.49","1.11","0.77","15.38","0.349","3.32",".789","2.23"
"Cole Hamels","ATL","SP","94","FA","36","","128.67","4.77","7","0","141.2","9.08","3.56","1.08","1.59","14.05","0.320","3.81",".777","3.97"
"John Means","BAL","SP","95","NCNF","27","","128.5","4.15","12","0","155","7.03","2.21","1.34","0.74","11.56","0.256","3.60",".759","4.29"
"Merrill Kelly","ARI","SP","96","BFT","32","","126.83","3.96","13","0","183.1","7.76","2.80","1.42","1.38","16.96","0.294","4.42",".731","4.39"
"Miles Mikolas","STL","SP","97","CP DLT","32","","126","3.94","9","0","184","7.04","1.57","1.32","1.68","16.67","0.304","4.16",".738","4.15"
"Jose Quintana","CHC","SP","98","FA","31","","124","3.87","13","0","171","8.00","2.42","1.05","1.64","13.79","0.329","4.68",".659","3.67"
"Daniel Hudson","WSH","RP","99","FA","33","","122.5","1.78","9","8","73","8.75","3.33","0.99","0.99","10.39","0.249","2.47",".818","3.84"
"Ryan Yarbrough","TB","SP","100","NCNF","28","","122.17","4.36","11","0","141.2","7.43","1.27","0.95","1.36","11.36","0.264","4.13",".628","3.43"
"Mike Leake","ARI","SP","101","FA","33","","122","3.81","12","0","197","5.80","1.23","1.87","1.62","21.13","0.296","4.29",".726","5.07"
"Tyler Glasnow","TB","SP","102","Ass","27","","121.67","10.14","6","0","60.2","11.27","2.08","0.59","1.67","9.52","0.265","1.78",".847","2.13"
"Sean Doolittle","WSH","RP","103","FA","34","","121.5","1.93","6","29","60","9.90","2.25","1.65","0.54","13.10","0.315","4.05",".820","4.12"
"Tyler Duffey","MIN","RP","104","NT 4","29","","121.17","2.09","5","0","57.2","12.80","2.18","1.25","1.16","18.18","0.277","2.50",".763","2.93"
"Sandy Alcantara","MIA","SP","105","MBC","25","","120.83","3.78","6","0","197.1","6.89","3.69","1.05","1.41","12.11","0.274","3.88",".738","4.43"
"Carlos Martinez","STL","SP","106","Ass","29","","120.83","2.52","4","24","48.1","9.87","3.35","0.37","2.48","6.90","0.301","3.17",".734","2.74"
"Michael Lorenzen","CIN","RP","107","Luka","28","","120.83","1.66","1","7","83.1","9.18","3.02","0.97","1.50","13.24","0.274","2.92",".808","3.53"
"Tommy Kahnle","NYY","RP","108","FA","31","","120.33","1.67","3","0","61.1","12.91","2.93","1.32","1.86","24.32","0.279","3.67",".735","3.20"
"Zack Britton","NYY","RP","109","CP DLT","32","","120.33","1.82","3","3","61.1","7.78","4.70","0.44","8.86","21.43","0.226","1.91",".868","3.61"
"David Price","LAD","SP","110","ZL","35","","119.83","5.45","7","0","107.1","10.73","2.68","1.26","1.30","15.96","0.336","4.28",".707","3.50"
"Aaron Bummer","CHW","RP","111","FA","27","","119.67","2.06","0","1","67.2","7.98","3.19","0.53","4.67","14.81","0.229","2.13",".823","3.28"
"Archie Bradley","(N/A)","RP","112","NT 4","28","","118.67","1.8","4","18","71.2","10.93","4.52","0.63","1.76","10.20","0.341","3.52",".772","3.29"
"Kyle Gibson","TEX","SP","113","FA","33","","118","3.47","13","0","160","9.00","3.15","1.29","2.47","22.55","0.333","4.84",".675","4.14"
"Pedro Baez","LAD","RP","114","FA","32","","117.67","1.66","7","1","69.2","8.91","2.97","0.78","0.78","7.59","0.215","3.10",".649","3.39"
"Trevor May","NYM","RP","115","FA","31","","115.83","1.78","5","2","64.1","11.05","3.64","1.12","0.84","12.50","0.233","2.94",".789","3.60"
"Craig Stammen","SD","RP","116","FA","36","","111.5","1.47","8","4","82","8.01","1.65","1.43","1.98","20.63","0.284","3.29",".774","3.99"
"Julio Urias","LAD","SP","117","Nunez","24","","111.17","3","4","4","79.2","9.60","3.05","0.79","1.04","9.09","0.257","2.49",".776","3.30"
"Zach Eflin","PHI","SP","118","FA","26","","110.83","3.46","10","0","163.1","7.11","2.64","1.54","1.41","17.50","0.295","4.13",".739","4.73"
"John Gant","STL","RP","119","FA","28","","109.33","1.71","11","3","66.1","8.14","4.61","0.54","1.95","9.52","0.275","3.66",".705","3.60"
"Diego Castillo","TB","RP","120","CP DLT","26","","108.67","1.67","5","8","68.2","10.62","3.41","1.05","2.04","16.67","0.302","3.41",".736","3.60"
"Jose Leclerc","TEX","RP","121","NT 13","26","","108.67","1.55","2","14","68.2","13.11","5.11","0.92","0.88","11.67","0.313","4.33",".722","3.47"
"Danny Duffy","KC","SP","122","FA","31","","106.67","4.64","7","0","130.2","7.92","3.17","1.45","0.93","13.82","0.285","4.34",".735","4.66"
"Sam Dyson","(N/A)","RP","123","FA","32","","106.33","1.74","5","2","62.1","7.94","1.88","0.87","2.07","13.64","0.278","3.32",".710","3.35"
"Tanner Roark","TOR","SP","124","MBC","34","","105.33","3.4","10","0","165.1","8.60","2.78","1.52","1.06","16.37","0.323","4.35",".781","4.54"
"Edwin Diaz","NYM","RP","125","BFT","26","","105","1.59","2","26","58","15.36","3.41","2.33","1.02","30.61","0.381","5.59",".762","4.38"
"Mark Melancon","ATL","RP","126","BART","35","","104.33","1.58","5","12","67.1","9.09","2.41","0.53","4.17","13.79","0.349","3.61",".738","2.73"
"Amir Garrett","CIN","RP","127","FA","28","","103.5","1.5","5","0","56","12.54","5.63","1.13","2.26","22.58","0.303","3.21",".833","4.02"
"Ty Buttrey","LAA","RP","128","FA","27","","102.83","1.43","6","2","72.1","10.45","2.86","1.00","1.49","13.56","0.323","3.98",".734","3.37"
"Oliver Drake","TB","RP","129","FA","33","","102","2.04","5","2","56","11.25","3.05","1.45","1.91","25.71","0.225","3.21",".829","3.75"
"Nick Wittgren","CLE","RP","130","FA","29","","101.67","1.85","5","4","57.2","9.36","2.34","1.56","1.09","17.86","0.253","2.81",".833","4.04"
"Junior Guerra","(N/A)","RP","131","FA","35","","101.17","1.41","9","3","83.2","8.28","3.87","1.18","1.24","14.10","0.221","3.55",".763","4.39"
"Andrew Miller","STL","RP","132","FA","35","","100.17","1.37","5","6","54.2","11.52","4.45","1.81","0.92","21.15","0.283","4.45",".743","5.07"
"Scott Oberg","COL","RP","133","FA","30","","99","2.02","6","5","56","9.32","3.70","0.80","1.77","12.82","0.248","2.25",".800","3.41"
"Rich Hill","MIN","SP","134","FA","40","","98.67","7.59","4","0","58.2","11.05","2.76","1.53","1.69","23.81","0.284","2.45",".893","3.98"
"J.A. Happ","NYY","SP","135","FA","38","","98.33","3.17","12","0","161.1","7.81","2.73","1.90","1.11","19.21","0.281","4.91",".757","5.10"
"Brett Anderson","MIL","SP","136","FA","32","","98","3.16","13","0","176","4.60","2.51","1.02","2.45","14.93","0.280","3.89",".748","4.45"
"Chris Martin","ATL","RP","137","FA","34","","96.67","1.67","1","4","55.2","10.51","0.81","1.46","1.90","23.08","0.314","3.40",".766","3.13"
"Zach Davies","SD","SP","138","BFT","27","","96.17","3.1","10","0","159.2","5.75","2.87","1.13","1.30","12.74","0.276","3.55",".750","4.44"
"Zach Plesac","CLE","SP","139","Nunez","25","","95.67","4.56","8","0","115.2","6.85","3.11","1.48","1.13","15.83","0.257","3.81",".785","4.82"
"Chase Anderson","TOR","SP","140","FA","33","","94.5","2.95","8","0","139","8.03","3.24","1.49","0.84","13.45","0.270","4.21",".771","4.71"
"Blake Parker","PHI","RP","141","FA","35","","93.83","1.56","3","10","61.1","9.54","3.23","1.91","1.19","24.07","0.267","4.55",".769","4.95"
"Eric Lauer","MIL","SP","142","FA","25","","93.67","3.12","8","0","149.2","8.30","3.07","1.20","1.21","13.07","0.318","4.45",".710","4.11"
"Zac Gallen","ARI","SP","143","DEAL","25","","93.5","6.23","3","0","80","10.80","4.05","0.90","1.18","11.76","0.284","2.81",".837","3.49"
"Adrian Houser","MIL","RP","144","FA","27","","92.83","2.65","6","0","111.1","9.46","2.99","1.13","2.22","18.92","0.304","3.72",".762","3.75"
"Freddy Peralta","MIL","SP","145","FA","24","","92","2.36","7","1","85","12.18","3.92","1.59","0.79","16.30","0.343","5.29",".648","4.05"
"Josh James","HOU","RP","146","FA","27","","91.83","1.87","5","1","61.1","14.67","5.14","1.47","0.87","19.23","0.308","4.70",".718","3.86"
"Sean Newcomb","ATL","SP","147","FA","27","","91.83","1.67","6","1","68.1","8.56","3.82","1.05","1.80","14.55","0.282","3.16",".795","4.11"
"Dylan Bundy","LAA","SP","148","NCNF","28","","91.17","3.04","7","0","161.2","9.02","3.23","1.61","1.25","18.24","0.297","4.79",".705","4.61"
"Andrew Cashner","(N/A)","SP","149","FA","34","","91","2.17","11","1","150","6.48","3.48","1.14","1.51","12.67","0.280","4.68",".680","4.54"
"Ross Stripling","TOR","SP","150","FA","31","","90.17","2.82","4","0","90.2","9.23","1.99","1.09","1.75","15.07","0.299","3.47",".728","3.34"
"John Brebbia","(N/A)","RP","151","FA","30","","89.67","1.36","3","0","72.2","10.78","3.34","0.74","0.59","6.98","0.293","3.59",".720","3.01"
"Joe Jimenez","DET","RP","152","FA","25","","89.67","1.36","4","9","59.2","12.37","3.47","1.96","0.62","19.12","0.319","4.37",".772","4.53"
"Drew Pomeranz","SD","RP","153","MBC","32","","89.5","1.95","2","2","104","11.86","3.81","1.82","1.15","23.08","0.340","4.85",".769","4.46"
"Mike Foltynewicz","ATL","SP","154","FA","29","","89.5","4.26","8","0","117","8.08","2.85","1.77","1.01","18.11","0.270","4.54",".717","4.85"
"Brad Peacock","HOU","RP","155","FA","32","","88.67","3.86","7","0","91.2","9.43","3.04","1.47","1.00","15.46","0.267","4.12",".763","4.30"
"Dallas Keuchel","CHW","SP","156","FA","32","","87.67","4.61","8","0","112.2","7.27","3.12","1.28","3.65","28.07","0.303","3.75",".804","4.60"
"Chad Green","NYY","RP","157","BFT","29","","87.5","1.62","4","2","69","12.78","2.48","1.30","1.05","17.24","0.346","4.17",".727","3.22"
"Luke Weaver","ARI","SP","158","FA","27","","86.83","7.24","4","0","64.1","9.65","1.96","0.84","1.24","10.34","0.292","2.94",".786","2.95"
"Jake Diekman","OAK","RP","159","NT 4","33","","86.5","1.14","1","0","62","12.19","5.66","0.44","2.23","9.68","0.319","4.65",".686","3.43"
"Dinelson Lamet","SD","SP","160","VP","28","","86","6.14","3","0","73","12.95","3.70","1.48","1.05","20.69","0.314","4.07",".736","3.79"
"Scott Barlow","KC","RP","161","FA","27","","85.83","1.41","3","1","70.1","11.77","4.73","0.77","1.19","10.17","0.341","4.22",".743","3.29"
"Trent Thornton","TOR","SP","162","FA","27","","85.83","2.68","6","0","154.1","8.69","3.56","1.40","0.92","14.63","0.302","4.84",".717","4.46"
"Andrew Chafin","CHC","RP","163","FA","30","","85.67","1.11","2","0","52.2","11.62","3.08","1.03","1.51","15.38","0.359","3.76",".770","3.13"
"Joakim Soria","OAK","RP","164","FA","36","","85.5","1.2","2","1","69","10.30","2.61","1.17","1.02","13.85","0.253","4.30",".668","3.50"
"Jason Vargas","(N/A)","SP","165","FA","37","","85.17","2.84","7","0","149.2","7.46","3.79","1.26","0.99","12.07","0.280","4.51",".698","4.64"
"Tyler Clippard","MIN","RP","166","FA","35","","85","1.6","1","0","62","9.29","2.18","1.16","0.62","10.39","0.207","2.90",".820","3.77"
"Trevor Richards","TB","SP","167","FA","27","","84.83","2.83","6","0","135.1","8.45","3.72","1.26","0.94","13.01","0.293","4.06",".774","4.39"
"Robert Stephenson","COL","RP","168","FA","27","","84.67","1.49","3","0","64.2","11.27","3.34","1.25","0.77","13.64","0.231","3.76",".680","3.51"
"Reynaldo Lopez","CHW","SP","169","FA","26","","83","2.52","10","0","184","8.27","3.18","1.71","0.89","15.42","0.317","5.38",".692","4.92"
"Cam Bedrosian","LAA","RP","170","FA","29","","82.83","1.4","3","1","61.1","9.39","3.23","1.03","1.66","14.00","0.253","3.23",".680","3.71"
"Colin Poche","TB","RP","171","FA","26","","82.67","1.62","5","2","51.2","12.54","3.31","1.57","0.29","13.24","0.238","4.70",".676","3.96"
"Marcus Walden","BOS","RP","172","FA","32","","82.5","1.18","9","2","78","8.77","3.69","0.69","2.39","12.24","0.266","3.81",".670","3.56"
"Adam Kolarek","LAD","RP","173","FA","31","","82.5","1.03","6","1","55","7.36","2.62","1.15","4.19","26.92","0.259","3.27",".787","4.14"
"Felix Pena","LAA","RP","174","FA","30","","80.83","3.67","8","0","96.1","9.44","3.18","1.49","1.42","19.28","0.256","4.58",".656","4.40"
"Matt Strahm","SD","RP","175","FA","29","","79.67","1.73","6","0","114.2","9.26","1.73","1.73","0.95","16.92","0.315","4.71",".747","4.28"
"Brandon Kintzler","MIA","RP","176","FA","36","","79.5","1.28","3","1","57","7.58","2.05","0.79","2.09","11.63","0.255","2.68",".800","3.44"
"Rick Porcello","NYM","SP","177","FA","31","","77.33","2.42","14","0","174.1","7.38","2.32","1.60","1.04","14.62","0.310","5.52",".657","4.64"
"Carlos Estevez","COL","RP","178","FA","27","","77","1.08","2","0","72","10.13","2.88","1.50","1.08","16.67","0.305","3.75",".777","4.01"
"Jakob Junis","KC","SP","179","FA","28","","76.83","2.48","9","0","175.1","8.42","2.98","1.59","1.30","17.42","0.318","5.24",".703","4.70"
"Andrew Heaney","LAA","SP","180","NT 13","29","","76.33","4.24","4","0","95.1","11.14","2.83","1.89","0.80","18.69","0.312","4.91",".755","4.51"
"Brad Keller","KC","SP","181","Luka","25","","76.33","2.73","7","0","165.1","6.64","3.81","0.82","2.01","11.63","0.283","4.19",".722","4.23"
