"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","PA","HR","R","RBI","SB","BB/PA","K/PA","ISO","BABIP","AVG","WOBA"
"Cody Bellinger","LAD","OF","1","Ass","25","","651.5","4.18","661","47","121","115","15","0.14","0.16",".324","0.302",".305",".411"
"Alex Bregman","HOU","3B","2","Luka","26","","632","4.05","690","41","122","112","5","0.17","0.12",".296","0.281",".296",".428"
"Ronald Acuna Jr.","ATL","OF","3","Nunez","22","","606.5","3.89","715","41","127","101","37","0.11","0.26",".238","0.337",".280",".375"
"Mookie Betts","LAD","OF","4","NT 13","28","","604","4.03","706","29","135","80","16","0.14","0.14",".229","0.309",".295",".387"
"Christian Yelich","MIL","OF","5","NCNF","29","","602","4.63","580","44","100","97","30","0.14","0.20",".342","0.355",".329",".440"
"Anthony Rendon","LAA","3B","6","MBC","30","","600","4.11","646","34","117","126","5","0.12","0.13",".279","0.323",".319",".418"
"Marcus Semien","(N/A)","SS","7","NT 13","30","","591","3.65","747","33","123","92","10","0.12","0.14",".237","0.294",".285",".381"
"Mike Trout","LAA","OF","8","BART","29","","589","4.4","600","45","110","104","11","0.18","0.20",".353","0.298",".291",".437"
"Freddie Freeman","ATL","1B","9","CP DLT","31","","588.5","3.72","692","38","113","121","6","0.13","0.18",".255","0.318",".295",".391"
"Juan Soto","WSH","OF","10","BFT","22","","580.5","3.87","659","34","110","110","12","0.16","0.20",".266","0.312",".282",".403"
"Nolan Arenado","COL","3B","11","ZL","29","","568.5","3.67","662","41","102","118","3","0.09","0.14",".269","0.312",".315",".394"
"Xander Bogaerts","BOS","SS","12","NT 13","28","","566","3.65","698","33","110","117","4","0.11","0.17",".246","0.338",".309",".398"
"Rafael Devers","BOS","3B","13","VP","24","","565.5","3.62","702","32","129","115","8","0.07","0.17",".244","0.339",".311",".382"
"Ketel Marte","ARI","2B","14","NT 13","27","","552","3.83","628","32","97","92","10","0.08","0.14",".264","0.342",".329",".414"
"Carlos Santana","KC","1B","15","MSBC","34","","541.5","3.43","686","34","110","93","4","0.16","0.16",".234","0.293",".281",".384"
"Pete Alonso","NYM","1B","16","BART","26","","540","3.35","693","53","103","120","1","0.10","0.26",".323","0.280",".260",".390"
"Bryce Harper","PHI","OF","17","Nunez","28","","537","3.42","682","35","98","114","15","0.15","0.26",".250","0.313",".260",".369"
"Jorge Soler","KC","UT","18","BART","28","","536","3.31","679","48","95","117","3","0.11","0.26",".304","0.294",".265",".384"
"Ozzie Albies","ATL","2B","19","DEAL","23","","530","3.31","702","24","102","86","15","0.08","0.16",".205","0.325",".295",".360"
"Trevor Story","COL","SS","20","NCNF","28","","526.5","3.63","656","35","111","85","23","0.09","0.27",".260","0.361",".294",".390"
"J.D. Martinez","BOS","UT","21","VP","33","","526","3.6","657","36","98","105","2","0.11","0.21",".252","0.342",".304",".390"
"Trey Mancini","BAL","1B,OF","22","MSBC","28","","521","3.38","679","35","106","97","1","0.09","0.21",".244","0.326",".291",".381"
"Charlie Blackmon","COL","OF","23","BART","34","","520.5","3.72","634","32","112","86","2","0.06","0.16",".262","0.334",".314",".396"
"Eduardo Escobar","ARI","3B","24","ZL","31","","519.5","3.29","699","35","94","118","5","0.07","0.19",".242","0.283",".269",".348"
"DJ LeMahieu","(N/A)","2B","25","BART","32","","519","3.58","655","26","109","102","5","0.07","0.14",".191","0.349",".327",".384"
"Francisco Lindor","CLE","SS","26","VP","27","","507.5","3.55","654","32","101","74","22","0.07","0.15",".234","0.291",".284",".352"
"Josh Bell","PIT","1B","27","Nunez","28","","501.5","3.51","613","37","94","116","0","0.12","0.19",".292","0.288",".277",".379"
"Yuli Gurriel","HOU","1B","28","ZL","36","","497","3.45","612","31","85","104","5","0.06","0.11",".243","0.289",".298",".372"
"Whit Merrifield","KC","OF","29","Luka","31","","496.5","3.06","735","16","105","74","20","0.06","0.17",".160","0.350",".302",".347"
"George Springer","(N/A)","OF","30","ZL","31","","496.5","4.07","556","39","96","96","6","0.12","0.20",".299","0.305",".292",".410"
"Anthony Rizzo","CHC","1B","31","ZL","31","","490.5","3.36","613","27","89","94","5","0.12","0.14",".227","0.306",".293",".399"
"Jonathan Villar","TOR","2B,SS","32","BART","29","","490","3.02","714","24","111","73","40","0.09","0.25",".179","0.341",".274",".343"
"Michael Brantley","(N/A)","UT","33","ZL","33","","488.5","3.3","637","22","88","90","3","0.08","0.10",".191","0.320",".311",".375"
"Josh Donaldson","MIN","3B","34","MBC","35","","484.5","3.13","659","37","96","94","4","0.15","0.24",".262","0.292",".259",".386"
"Jose Abreu","CHW","1B","35","Ass","33","","481.5","3.03","693","33","85","123","2","0.05","0.22",".219","0.320",".284",".351"
"Austin Meadows","TB","OF","36","VP","25","","480","3.48","591","33","83","89","12","0.09","0.22",".268","0.331",".291",".385"
"Matt Chapman","OAK","3B","37","CP DLT","27","","477","3.06","670","36","102","91","1","0.11","0.22",".257","0.270",".249",".363"
"Max Kepler","MIN","OF","38","NT 4","27","","476.5","3.56","596","36","98","90","1","0.10","0.17",".267","0.244",".252",".364"
"Starling Marte","MIA","OF","39","NT 4","32","","476","3.61","586","23","97","82","25","0.04","0.16",".208","0.319",".295",".360"
"Michael Conforto","NYM","OF","40","MSBC","27","","475.5","3.15","648","33","90","92","7","0.13","0.23",".237","0.290",".257",".365"
"Nelson Cruz","(N/A)","UT","41","Ass","40","","473","3.94","521","41","81","108","0","0.11","0.25",".328","0.351",".311",".420"
"Tommy Pham","SD","OF","42","Nunez","32","","472","3.26","654","21","77","68","25","0.12","0.19",".176","0.316",".273",".357"
"Eugenio Suarez","CIN","3B","43","NCNF","29","","472","2.97","662","49","87","103","3","0.11","0.29",".301","0.312",".271",".387"
"Paul Goldschmidt","STL","1B","44","NT 4","33","","470","2.92","682","34","97","97","3","0.11","0.24",".216","0.302",".260",".353"
"Nick Castellanos","CIN","OF","45","BFT","28","","468","3.1","664","27","100","73","2","0.06","0.22",".236","0.337",".289",".366"
"Jorge Polanco","MIN","SS","46","ZL","27","","460","3.01","704","22","107","79","4","0.09","0.16",".190","0.328",".295",".360"
"Eddie Rosario","(N/A)","OF","47","BFT","29","","456","3.33","590","32","91","109","3","0.04","0.15",".224","0.273",".276",".335"
"Kris Bryant","CHC","3B","48","Ass","28","","455","3.1","634","31","108","77","4","0.12","0.23",".239","0.331",".282",".389"
"Rhys Hoskins","PHI","1B","49","Luka","27","","451","2.82","705","29","86","85","2","0.16","0.25",".228","0.267",".226",".353"
"Max Muncy","LAD","1B","50","NCNF","30","","449.5","3.19","589","35","101","98","4","0.15","0.25",".265","0.283",".251",".382"
"Trea Turner","WSH","SS","51","NT 4","27","","444","3.64","569","19","96","57","35","0.08","0.20",".200","0.348",".298",".364"
"Kyle Schwarber","(N/A)","OF","52","MSBC","27","","441.5","2.85","610","38","82","92","2","0.11","0.26",".282","0.276",".250",".362"
"Shin-Soo Choo","TEX","OF","53","FA","38","","436.5","2.89","660","24","93","61","15","0.12","0.25",".190","0.333",".265",".362"
"Jeff McNeil","NYM","OF","54","ZL","28","","433","3.26","567","23","83","75","5","0.06","0.13",".214","0.337",".318",".393"
"Gleyber Torres","NYY","SS","55","MBC","24","","433","3.01","604","38","96","90","5","0.08","0.21",".256","0.296",".278",".365"
"Paul DeJong","STL","SS","56","Nunez","27","","432","2.72","664","30","97","78","9","0.09","0.22",".211","0.259",".233",".329"
"Kevin Pillar","COL","OF","57","BART","31","","431","2.68","645","21","83","88","14","0.03","0.14",".173","0.270",".259",".303"
"Adam Eaton","CHW","OF","58","Luka","32","","430.5","2.85","656","15","103","49","15","0.10","0.16",".148","0.319",".279",".347"
"Yasmani Grandal","CHW","C","59","MSBC","32","","430","2.81","632","28","79","77","5","0.17","0.22",".222","0.279",".246",".370"
"Jose Altuve","HOU","2B","60","NCNF","30","","427.5","3.45","548","31","89","74","6","0.07","0.15",".252","0.303",".298",".382"
"Mike Moustakas","CIN","2B","61","NT 13","32","","426","2.98","584","35","80","87","3","0.09","0.17",".262","0.250",".254",".353"
"Brett Gardner","NYY","OF","62","FA","37","","425","3.01","550","28","86","74","10","0.09","0.20",".253","0.265",".251",".353"
