"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","PA","HR","R","RBI","SB","BB/PA","K/PA","ISO","BABIP","AVG","WOBA"
"Manny Machado","SD","3B","63","Nunez","28","","423","2.71","661","32","81","85","5","0.10","0.19",".206","0.274",".256",".342"
"J.T. Realmuto","(N/A)","C","64","NT 13","29","","422","2.91","593","25","92","83","9","0.07","0.21",".217","0.309",".275",".347"
"Yasiel Puig","(N/A)","OF","65","FA","30","","421.5","2.83","611","24","76","84","19","0.07","0.22",".191","0.308",".267",".339"
"Marcell Ozuna","(N/A)","OF","66","BART","30","","419.5","3.23","549","29","80","89","12","0.11","0.21",".231","0.257",".241",".343"
"Jose Ramirez","CLE","3B","67","Nunez","28","","418","3.24","542","23","68","83","24","0.10","0.14",".224","0.256",".255",".341"
"Elvis Andrus","TEX","SS","68","FA","32","","413","2.81","648","12","81","72","31","0.05","0.15",".118","0.305",".275",".308"
"Kole Calhoun","ARI","OF","69","Ass","33","","412.5","2.71","632","33","92","74","4","0.11","0.26",".236","0.265",".232",".334"
"Victor Robles","WSH","OF","70","VP","23","","401.5","2.59","617","17","86","65","28","0.06","0.23",".165","0.310",".255",".321"
"Hunter Dozier","KC","1B,OF","71","NT 4","29","","400.5","2.88","586","26","75","84","2","0.09","0.25",".243","0.339",".279",".368"
"Matt Olson","OAK","1B","72","CP DLT","26","","399","3.14","547","36","73","91","0","0.09","0.25",".277","0.300",".267",".372"
"Javier Baez","CHC","SS","73","NT 4","28","","398","2.88","561","29","89","85","11","0.05","0.28",".250","0.345",".281",".353"
"Christian Walker","ARI","1B","74","NT 13","29","","397.5","2.62","603","29","86","73","8","0.11","0.26",".217","0.312",".259",".351"
"Yoan Moncada","CHW","3B","75","Ass","25","","397","3.01","559","25","83","79","10","0.07","0.28",".233","0.406",".315",".387"
"Edwin Encarnacion","CHW","UT","76","Nunez","37","","395","3.62","486","34","81","86","0","0.12","0.21",".287","0.239",".244",".370"
"Justin Turner","(N/A)","3B","77","BART","36","","393","2.91","549","27","80","67","2","0.09","0.16",".219","0.304",".290",".379"
"Nick Ahmed","ARI","SS","78","BFT","30","","391.5","2.48","625","19","79","82","8","0.08","0.18",".183","0.280",".254",".322"
"Alex Gordon","KC","OF","79","FA","36","","391.5","2.61","633","13","77","76","5","0.08","0.16",".129","0.301",".266",".326"
"Cesar Hernandez","CLE","2B","80","BART","30","","390","2.42","667","14","77","71","9","0.07","0.15",".129","0.313",".279",".323"
"Amed Rosario","NYM","SS","81","FA","25","","387.5","2.47","655","15","75","72","19","0.05","0.19",".144","0.338",".287",".325"
"Joc Pederson","(N/A)","OF","82","MBC","28","","385.5","2.59","514","36","83","74","1","0.10","0.22",".289","0.249",".249",".369"
"Bryan Reynolds","PIT","OF","83","FA","25","","384.5","2.87","546","16","83","68","3","0.08","0.22",".189","0.387",".314",".381"
"David Fletcher","LAA","SS","84","NT 13","26","","384","2.49","653","6","83","49","8","0.08","0.10",".094","0.317",".290",".326"
"Starlin Castro","WSH","2B","85","MBC","30","","383","2.36","676","22","68","86","2","0.04","0.16",".165","0.293",".270",".314"
"Renato Nunez","(N/A)","1B","86","NCNF","26","","382.5","2.53","599","31","72","90","1","0.07","0.24",".216","0.272",".244",".331"
"Andrew Benintendi","BOS","OF","87","Nunez","26","","381.5","2.76","615","13","72","68","10","0.10","0.23",".165","0.333",".266",".337"
"Jason Heyward","CHC","OF","88","ZL","31","","381.5","2.6","589","21","78","62","8","0.12","0.19",".177","0.281",".251",".334"
"Danny Santana","(N/A)","1B","89","Ass","30","","379.5","2.92","511","28","81","81","21","0.05","0.30",".251","0.353",".283",".358"
"Randal Grichuk","TOR","OF","90","NT 4","29","","379","2.51","628","31","75","80","2","0.06","0.26",".225","0.266",".232",".314"
"Mark Canha","OAK","OF","91","DEAL","31","","374.5","2.97","497","26","80","58","3","0.13","0.22",".244","0.308",".273",".395"
"Ryan Braun","MIL","OF","92","FA","37","","374.5","2.6","508","22","70","75","11","0.07","0.21",".220","0.325",".285",".359"
"Corey Seager","LAD","SS","93","Ass","26","","374","2.79","541","19","82","87","1","0.08","0.18",".211","0.303",".272",".347"
"Daniel Vogelbach","MIL","UT","94","FA","27","","366.5","2.55","558","30","73","76","0","0.16","0.27",".232","0.232",".208",".340"
"Eric Hosmer","SD","1B","95","BFT","31","","366","2.29","667","22","72","99","0","0.06","0.24",".160","0.323",".265",".316"
"Adam Frazier","PIT","2B","96","NT 4","29","","366","2.41","608","10","80","50","5","0.07","0.12",".139","0.306",".278",".325"
"Albert Pujols","LAA","1B","97","MSBC","40","","365.5","2.79","545","23","55","93","3","0.08","0.12",".185","0.238",".244",".316"
"Lorenzo Cain","MIL","OF","98","FA","34","","364","2.46","623","11","75","48","18","0.08","0.17",".112","0.301",".260",".311"
"Kolten Wong","(N/A)","2B","99","CP DLT","30","","364","2.46","549","11","61","59","24","0.09","0.15",".138","0.321",".285",".337"
"Franmil Reyes","CLE","UT","100","DEAL","25","","362","2.41","548","37","69","81","0","0.09","0.28",".263","0.279",".249",".345"
"Brandon Belt","SF","1B","101","MSBC","32","","360","2.31","616","17","76","57","4","0.13","0.21",".169","0.275",".234",".327"
"Jean Segura","PHI","2B,3B","102","ZL","30","","358.5","2.49","618","12","79","60","10","0.05","0.12",".141","0.302",".280",".323"
"Asdrubal Cabrera","WSH","1B","103","MSBC","35","","358","2.73","514","18","69","91","4","0.11","0.20",".181","0.294",".260",".339"
"Rougned Odor","TEX","2B","104","FA","26","","356.5","2.46","581","30","77","93","11","0.09","0.31",".234","0.244",".205",".307"
"Ramon Laureano","OAK","OF","105","VP","26","","355","2.89","481","24","79","67","13","0.06","0.26",".233","0.342",".288",".364"
"Christian Vazquez","BOS","C","106","Nunez","30","","354.5","2.57","521","23","66","72","4","0.06","0.19",".201","0.305",".276",".336"
"Joey Votto","CIN","1B","107","VP","37","","354.5","2.5","608","15","79","47","5","0.13","0.20",".150","0.313",".261",".340"
"Kevin Newman","PIT","2B,SS","108","FA","27","","353.5","2.72","531","12","61","64","16","0.05","0.12",".138","0.333",".308",".347"
"Dexter Fowler","STL","OF","109","FA","34","","348","2.32","574","19","69","67","8","0.13","0.25",".170","0.294",".238",".334"
"Eloy Jimenez","CHW","OF","110","DEAL","24","","347","2.84","504","31","69","79","0","0.06","0.27",".246","0.308",".267",".351"
"Yordan Alvarez","HOU","UT","111","Luka","23","","345","3.97","369","27","58","78","0","0.14","0.25",".342","0.366",".313",".438"
"Gio Urshela","NYY","3B","112","MSBC","29","","343","2.6","476","21","73","74","1","0.05","0.18",".219","0.349",".314",".378"
"Avisail Garcia","MIL","OF","113","NT 13","29","","342","2.74","530","20","61","72","10","0.06","0.24",".182","0.340",".282",".342"
"Mallex Smith","NYM","OF","114","NCNF","27","","337","2.51","566","6","70","37","46","0.07","0.25",".108","0.302",".227",".285"
"Aaron Judge","NYY","OF","115","Ass","28","","335","3.28","447","27","75","55","3","0.14","0.32",".267","0.360",".272",".388"
"Tim Anderson","CHW","SS","116","BFT","27","","334","2.72","518","18","81","56","17","0.03","0.21",".173","0.399",".335",".373"
"Dansby Swanson","ATL","SS","117","Luka","26","","333.5","2.63","545","17","77","65","10","0.09","0.23",".172","0.300",".251",".324"
"Jackie Bradley Jr.","(N/A)","OF","118","ZL","30","","331.5","2.26","567","21","69","62","8","0.10","0.27",".196","0.281",".225",".319"
"Freddy Galvis","CIN","SS","119","FA","31","","331","2.25","589","23","67","70","4","0.05","0.25",".178","0.312",".260",".314"
"Brian Anderson","MIA","3B","120","BFT","27","","328","2.6","520","20","57","66","5","0.08","0.22",".207","0.305",".261",".351"
"Jurickson Profar","SD","OF","121","MSBC","27","","326.5","2.35","518","20","65","67","9","0.09","0.14",".192","0.218",".218",".308"
"Oscar Mercado","CLE","OF","122","Luka","26","","324.5","2.82","482","15","70","54","15","0.06","0.17",".174","0.300",".269",".324"
"Luke Voit","NYY","1B","123","VP","29","","323.5","2.74","510","21","72","62","0","0.14","0.28",".200","0.345",".263",".369"
"Ryan McMahon","COL","2B","124","Ass","26","","323.5","2.29","539","24","70","83","5","0.10","0.30",".200","0.323",".250",".337"
"Wilson Ramos","NYM","C","125","MBC","33","","321.5","2.28","524","14","52","73","1","0.08","0.13",".129","0.310",".288",".333"
"Adalberto Mondesi","KC","SS","126","NCNF","25","","321","3.15","443","9","58","62","43","0.04","0.30",".161","0.357",".263",".304"
"J.D. Davis","NYM","3B","127","BFT","27","","321","2.29","453","22","65","57","3","0.08","0.21",".220","0.355",".307",".381"
"Mitch Garver","MIN","C","128","Nunez","29","","321","3.45","359","31","70","67","0","0.11","0.24",".357","0.277",".273",".413"
"Josh Reddick","(N/A)","OF","129","Ass","33","","321","2.28","550","14","57","56","5","0.07","0.12",".134","0.288",".275",".314"
"Nomar Mazara","(N/A)","OF","130","NCNF","25","","319","2.75","469","19","69","66","4","0.06","0.23",".200","0.312",".268",".334"
"Hunter Renfroe","BOS","OF","131","MBC","28","","319","2.28","494","33","64","64","5","0.09","0.31",".273","0.239",".216",".326"
"Howie Kendrick","WSH","UT","132","FA","37","","318.5","2.63","370","17","61","62","2","0.07","0.13",".228","0.359",".344",".410"
"Nick Markakis","ATL","OF","133","VP","37","","317.5","2.74","469","9","61","62","2","0.10","0.13",".135","0.310",".285",".341"
"Hanser Alberto","(N/A)","2B","134","NT 13","28","","315","2.27","550","12","62","51","4","0.03","0.09",".116","0.318",".305",".325"
"Eric Thames","WSH","1B","135","FA","34","","314","2.11","459","25","67","61","3","0.11","0.31",".258","0.313",".247",".359"
"Leury Garcia","CHW","SS","136","FA","29","","313.5","2.24","618","8","93","40","15","0.03","0.22",".099","0.353",".279",".298"
"Miguel Sano","MIN","1B","137","NCNF","27","","313","2.98","439","34","76","79","0","0.13","0.36",".329","0.319",".247",".387"
"Ian Desmond","COL","OF","138","FA","35","","312.5","2.23","482","20","64","65","3","0.07","0.25",".223","0.304",".255",".334"
"Daniel Murphy","COL","1B","139","BART","35","","312","2.36","478","13","56","78","1","0.07","0.15",".174","0.307",".279",".334"
"Scott Kingery","PHI","2B","140","CP DLT","26","","311","2.47","500","19","64","55","15","0.07","0.29",".216","0.337",".258",".336"
"Adam Jones","ARI","OF","141","FA","35","","310.5","2.27","528","16","66","67","2","0.06","0.19",".155","0.296",".260",".315"
"Shohei Ohtani","LAA","UT","142","Luka","26","","310","2.92","425","18","51","62","12","0.08","0.26",".219","0.354",".286",".359"
"Ji-Man Choi","TB","1B","143","FA","29","","310","2.44","487","19","54","63","2","0.13","0.22",".198","0.303",".261",".356"
"C.J. Cron","DET","1B","144","FA","30","","308.5","2.47","499","25","51","78","0","0.06","0.21",".216","0.277",".253",".331"
"Jason Kipnis","CHC","2B","145","FA","33","","308","2.55","511","17","52","65","7","0.08","0.17",".166","0.265",".245",".305"
"Jose Iglesias","LAA","SS","146","BART","30","","306.5","2.1","530","11","62","59","6","0.04","0.13",".119","0.315",".288",".313"
"Omar Narvaez","MIL","C","147","FA","28","","306","2.32","482","22","63","55","0","0.10","0.19",".182","0.306",".278",".354"
"Justin Smoak","SF","1B","148","FA","34","","304","2.51","500","22","54","61","0","0.16","0.21",".198","0.223",".208",".330"
"David Dahl","TEX","OF","149","Nunez","26","","303","3.03","413","15","67","61","4","0.07","0.27",".222","0.386",".302",".372"
"Kevin Kiermaier","TB","OF","150","FA","30","","299.5","2.32","480","14","60","55","19","0.05","0.22",".170","0.267",".228",".289"
"Gary Sanchez","NYY","C","151","ZL","28","","299","2.82","446","34","62","77","0","0.09","0.28",".293","0.244",".232",".351"
"Todd Frazier","NYM","3B","152","FA","34","","299","2.25","499","21","63","67","1","0.08","0.21",".192","0.284",".251",".336"
"Khris Davis","OAK","UT","153","Ass","32","","295.5","2.22","533","23","61","73","0","0.09","0.27",".166","0.264",".220",".295"
"Teoscar Hernandez","TOR","OF","154","NT 4","28","","295","2.36","464","26","58","65","6","0.10","0.33",".242","0.293",".230",".332"
"Cavan Biggio","TOR","2B","155","MBC","25","","294.5","2.94","430","16","66","48","14","0.17","0.29",".195","0.309",".234",".352"
"Evan Longoria","SF","3B","156","BFT","35","","292.5","2.27","508","20","59","69","3","0.08","0.22",".183","0.291",".254",".330"
"Domingo Santana","(N/A)","OF","157","NT 13","28","","292","2.41","507","21","63","69","8","0.10","0.32",".188","0.347",".253",".333"
"Vladimir Guerrero Jr.","TOR","1B","158","DEAL","21","","289.5","2.35","514","15","52","69","0","0.09","0.18",".162","0.308",".272",".338"
"Miguel Cabrera","DET","UT","159","MSBC","37","","289.5","2.13","549","12","41","59","0","0.09","0.20",".116","0.336",".282",".326"
"Eric Sogard","MIL","3B","160","FA","34","","289.5","2.63","442","13","59","40","8","0.09","0.14",".167","0.316",".290",".348"
"Brian Dozier","(N/A)","2B","161","FA","33","","289.5","2.14","482","20","54","50","3","0.13","0.22",".192","0.271",".238",".337"
"Willy Adames","TB","SS","162","VP","25","","288","1.89","584","20","69","52","4","0.08","0.26",".164","0.320",".254",".319"
"Mike Yastrzemski","SF","OF","163","MBC","30","","287.5","2.69","411","21","64","55","2","0.08","0.26",".245","0.325",".272",".359"
"Kyle Seager","SEA","3B","164","NT 4","33","","287","2.71","443","23","55","63","2","0.10","0.19",".229","0.248",".239",".340"
"Brian Goodwin","(N/A)","OF","165","MSBC","30","","285","2.1","458","17","65","47","7","0.08","0.28",".208","0.337",".262",".339"
"Fernando Tatis Jr.","SD","SS","166","MSBC","21","","284.5","3.39","372","22","61","53","16","0.08","0.30",".272","0.410",".317",".407"
"Wil Myers","SD","OF","167","NT 13","30","","283","1.83","490","18","58","53","16","0.10","0.34",".179","0.344",".239",".324"
"Willson Contreras","CHC","C","168","BFT","28","","282.5","2.69","409","24","57","64","1","0.09","0.25",".261","0.314",".272",".375"
"James McCann","NYM","C","169","FA","30","","282.5","2.39","476","18","62","60","4","0.06","0.29",".187","0.359",".273",".340"
"Manuel Margot","TB","OF","170","DEAL","26","","281","1.86","441","12","59","37","20","0.09","0.20",".153","0.272",".234",".301"
"Jarrod Dyson","CHW","OF","171","FA","36","","281","2.16","452","7","65","27","30","0.10","0.19",".090","0.275",".230",".289"
"Miguel Rojas","MIA","SS","172","BFT","31","","280.5","2.12","526","5","52","46","9","0.06","0.12",".095","0.314",".284",".313"
"Kike Hernandez","(N/A)","2B","173","NT 13","29","","277.5","2.13","460","17","57","64","4","0.08","0.21",".174","0.266",".237",".307"
"Robbie Grossman","OAK","OF","174","MSBC","31","","275.5","2","482","6","57","38","9","0.12","0.18",".107","0.288",".240",".307"
"Yadier Molina","STL","C","175","NT 4","38","","275.5","2.44","452","10","45","57","6","0.05","0.13",".129","0.289",".270",".311"
"David Peralta","ARI","OF","176","NT 4","33","","271","2.74","423","12","48","57","0","0.08","0.21",".186","0.327",".275",".345"
"Colin Moran","PIT","1B","177","BART","28","","271","1.82","503","13","46","80","0","0.06","0.23",".152","0.341",".277",".321"
"Tommy Edman","STL","3B,OF","178","DEAL","25","","267","2.9","349","11","59","36","15","0.05","0.17",".196","0.346",".304",".366"
"Jonathan Schoop","DET","2B","179","BFT","29","","266","2.2","464","23","61","59","1","0.04","0.25",".217","0.298",".256",".331"
"Matt Carpenter","STL","3B","180","FA","35","","266","2.06","492","15","59","46","6","0.13","0.26",".166","0.285",".226",".323"
"Roberto Perez","CLE","C","181","FA","31","","262.5","2.21","449","24","46","63","0","0.10","0.28",".213","0.285",".239",".328"
"Brandon Crawford","SF","SS","182","BFT","33","","262","1.78","560","11","58","59","3","0.09","0.21",".122","0.274",".228",".286"
"Marwin Gonzalez","MIN","2B,3B","183","Ass","31","","262","2.3","463","15","52","55","1","0.07","0.21",".151","0.310",".264",".320"
"Robinson Chirinos","NYM","C","184","FA","36","","262","2.3","437","17","57","58","1","0.12","0.29",".205","0.306",".238",".343"
"Anthony Santander","BAL","OF","185","NCNF","26","","261","2.81","405","20","46","59","1","0.05","0.21",".216","0.285",".261",".328"
"Orlando Arcia","MIL","SS","186","FA","26","","260","1.71","546","15","51","59","8","0.08","0.20",".128","0.253",".223",".273"
"Lourdes Gurriel Jr.","TOR","OF","187","DEAL","27","","259.5","3.09","343","20","52","50","6","0.06","0.25",".264","0.318",".277",".365"
"Nick Senzel","CIN","OF","188","MSBC","25","","258","2.48","414","12","55","42","14","0.07","0.24",".171","0.319",".256",".320"
"Travis d'Arnaud","ATL","C","189","ZL","31","","257.5","2.5","391","16","52","69","0","0.08","0.22",".182","0.281",".251",".322"
"Willie Calhoun","TEX","UT","190","NT 13","26","","257","3.1","337","21","51","48","0","0.07","0.16",".256","0.262",".269",".359"
"Carlos Correa","HOU","SS","191","MSBC","26","","256.5","3.42","321","21","42","59","1","0.11","0.23",".289","0.303",".279",".390"
"Alex Verdugo","BOS","OF","192","BFT","24","","256.5","2.42","377","12","43","44","4","0.07","0.13",".181","0.309",".294",".350"
"Raimel Tapia","COL","OF","193","NCNF","26","","256","1.86","447","9","54","44","9","0.05","0.22",".141","0.341",".275",".315"
"Harold Ramirez","MIA","OF","194","FA","26","","256","2.15","446","11","54","50","2","0.04","0.20",".140","0.328",".276",".316"
"Niko Goodrum","DET","SS","195","FA","28","","255.5","2.28","472","12","61","45","12","0.10","0.29",".173","0.338",".248",".324"
"Joe Panik","TOR","2B","196","FA","30","","255.5","1.8","491","5","50","39","4","0.09","0.10",".091","0.262",".244",".290"
"Jesse Winker","CIN","UT","197","BART","27","","255","2.26","384","16","51","38","0","0.10","0.16",".204","0.286",".269",".359"
"Maikel Franco","(N/A)","3B","198","NT 4","28","","252.5","2.05","428","17","48","56","0","0.08","0.14",".175","0.236",".234",".275"
"Mitch Moreland","SD","1B","199","FA","35","","250.5","2.75","335","19","48","58","1","0.10","0.22",".255","0.271",".252",".356"
"Chris Taylor","LAD","SS,OF","200","DEAL","30","","248.5","2","414","12","52","52","8","0.09","0.28",".199","0.344",".262",".336"
"Garrett Cooper","MIA","UT","201","BFT","29","","246.5","2.3","421","15","52","50","0","0.08","0.26",".165","0.357",".281",".346"
"Byron Buxton","MIN","OF","202","CP DLT","26","","243","2.79","295","10","48","46","14","0.06","0.23",".251","0.314",".262",".345"
"Joey Gallo","TEX","OF","203","Luka","27","","243","3.47","297","22","54","49","4","0.18","0.38",".344","0.368",".253",".403"
"Rowdy Tellez","TOR","1B","204","FA","25","","241.5","2.18","409","21","49","54","1","0.07","0.28",".222","0.267",".227",".313"
"Luis Arraez","MIN","2B","205","FA","23","","241","2.62","366","4","54","28","2","0.10","0.08",".104","0.355",".334",".371"
"Yolmer Sanchez","CHW","3B","206","FA","28","","241","1.62","555","2","59","43","5","0.08","0.21",".069","0.324",".252",".286"
"Keston Hiura","MIL","2B","207","VP","24","","240.5","2.86","348","19","51","49","9","0.07","0.31",".268","0.402",".303",".396"
"Melky Cabrera","NYM","OF","208","FA","36","","240","1.8","397","7","43","47","2","0.04","0.10",".119","0.300",".280",".307"
"Carson Kelly","ARI","C","209","FA","26","","236.5","2.13","365","18","46","47","0","0.13","0.22",".232","0.271",".245",".338"
"Andrelton Simmons","(N/A)","SS","210","CP DLT","31","","236.5","2.3","424","7","47","40","10","0.06","0.09",".101","0.277",".264",".298"
"Jay Bruce","PHI","OF","211","FA","33","","236.5","2.41","333","26","43","59","1","0.06","0.25",".306","0.200",".216",".324"
"Yandy Diaz","TB","3B","212","FA","29","","236","2.99","347","14","53","38","2","0.10","0.18",".208","0.288",".267",".349"
"AJ Pollock","LAD","OF","213","MBC","33","","235.5","2.74","342","15","49","47","5","0.07","0.22",".201","0.300",".266",".340"
